alias_city,alias_address,georeferencingString,tyoe
ABBIATEGRASSO,Territorio comunale,ABBIATEGRASSO MI,POINT
ALBAIRATE,Territorio comunale,ALBAIRATE MI,POINT
ARCONATE,Territorio comunale,ARCONATE MI,POINT
ARESE,Territorio comunale,ARESE MI,POINT
ARLUNO,Territorio comunale,ARLUNO MI,POINT
ASSAGO,Territorio comunale,ASSAGO MI,POINT
BARANZATE,Territorio comunale,BARANZATE MI,POINT
BAREGGIO,Territorio comunale,BAREGGIO MI,POINT
BASIANO,Territorio comunale,BASIANO MI,POINT
BASIGLIO,Territorio comunale,BASIGLIO MI,POINT
BELLINZAGO LOMBARDO,Territorio comunale,BELLINZAGO LOMBARDO MI,POINT
BERNATE TICINO,Territorio comunale,BERNATE TICINO MI,POINT
BESATE,Territorio comunale,BESATE MI,POINT
BINASCO,Territorio comunale,BINASCO MI,POINT
BOFFALORA SOPRA TICINO,Territorio comunale,BOFFALORA SOPRA TICINO MI,POINT
BOLLATE,Territorio comunale,BOLLATE MI,POINT
BRESSO,Territorio comunale,BRESSO MI,POINT
BUBBIANO,Territorio comunale,BUBBIANO MI,POINT
BUCCINASCO,Territorio comunale,BUCCINASCO MI,POINT
BUSCATE,Territorio comunale,BUSCATE MI,POINT
BUSSERO,Territorio comunale,BUSSERO MI,POINT
BUSTO GAROLFO,Territorio comunale,BUSTO GAROLFO MI,POINT
CALVIGNASCO,Territorio comunale,CALVIGNASCO MI,POINT
CAMBIAGO,Territorio comunale,CAMBIAGO MI,POINT
CANEGRATE,Territorio comunale,CANEGRATE MI,POINT
CARPIANO,Territorio comunale,CARPIANO MI,POINT
CARUGATE,Territorio comunale,CARUGATE MI,POINT
CASARILE,Territorio comunale,CASARILE MI,POINT
CASOREZZO,Territorio comunale,CASOREZZO MI,POINT
CASSANO D'ADDA,Territorio comunale,CASSANO D'ADDA MI,POINT
CASSINA DE' PECCHI,Territorio comunale,CASSINA DE' PECCHI MI,POINT
CASSINETTA DI LUGAGNANO,Territorio comunale,CASSINETTA DI LUGAGNANO MI,POINT
CASTANO PRIMO,Territorio comunale,CASTANO PRIMO MI,POINT
CASTELLANZA,Territorio comunale,CASTELLANZA MI,POINT
CERNUSCO SUL NAVIGLIO,Territorio comunale,CERNUSCO SUL NAVIGLIO MI,POINT
CERRO AL LAMBRO,Territorio comunale,CERRO AL LAMBRO MI,POINT
CERRO MAGGIORE,Territorio comunale,CERRO MAGGIORE MI,POINT
CESANO BOSCONE,Territorio comunale,CESANO BOSCONE MI,POINT
CESATE,Territorio comunale,CESATE MI,POINT
CINISELLO BALSAMO,Territorio comunale,CINISELLO BALSAMO MI,POINT
CISLIANO,Territorio comunale,CISLIANO MI,POINT
COLOGNO MONZESE,Territorio comunale,COLOGNO MONZESE MI,POINT
COLTURANO,Territorio comunale,COLTURANO MI,POINT
CORBETTA,Territorio comunale,CORBETTA MI,POINT
CORMANO,Territorio comunale,CORMANO MI,POINT
CORNAREDO,Territorio comunale,CORNAREDO MI,POINT
CORSICO,Territorio comunale,CORSICO MI,POINT
CUGGIONO,Territorio comunale,CUGGIONO MI,POINT
CUSAGO,Territorio comunale,CUSAGO MI,POINT
CUSANO MILANINO,Territorio comunale,CUSANO MILANINO MI,POINT
DAIRAGO,Territorio comunale,DAIRAGO MI,POINT
DRESANO,Territorio comunale,DRESANO MI,POINT
GAGGIANO,Territorio comunale,GAGGIANO MI,POINT
GARBAGNATE MILANESE,Territorio comunale,GARBAGNATE MILANESE MI,POINT
GESSATE,Territorio comunale,GESSATE MI,POINT
GORGONZOLA,Territorio comunale,GORGONZOLA MI,POINT
GREZZAGO,Territorio comunale,GREZZAGO MI,POINT
GUDO VISCONTI,Territorio comunale,GUDO VISCONTI MI,POINT
INVERUNO,Territorio comunale,INVERUNO MI,POINT
INZAGO,Territorio comunale,INZAGO MI,POINT
LACCHIARELLA,Territorio comunale,LACCHIARELLA MI,POINT
LAINATE,Territorio comunale,LAINATE MI,POINT
LEGNANO,Territorio comunale,LEGNANO MI,POINT
LISCATE,Territorio comunale,LISCATE MI,POINT
LOCATE DI TRIULZI,Territorio comunale,LOCATE DI TRIULZI MI,POINT
MAGENTA,Territorio comunale,MAGENTA MI,POINT
MAGNAGO,Territorio comunale,MAGNAGO MI,POINT
MARCALLO CON CASONE,Territorio comunale,MARCALLO CON CASONE MI,POINT
MASATE,Territorio comunale,MASATE MI,POINT
MEDIGLIA,Territorio comunale,MEDIGLIA MI,POINT
MELEGNANO,Territorio comunale,MELEGNANO MI,POINT
MELZO,Territorio comunale,MELZO MI,POINT
MESERO,Territorio comunale,MESERO MI,POINT
MORIMONDO,Territorio comunale,MORIMONDO MI,POINT
MOTTA VISCONTI,Territorio comunale,MOTTA VISCONTI MI,POINT
NERVIANO,Territorio comunale,NERVIANO MI,POINT
NOSATE,Territorio comunale,NOSATE MI,POINT
NOVATE MILANESE,Territorio comunale,NOVATE MILANESE MI,POINT
NOVIGLIO,Territorio comunale,NOVIGLIO MI,POINT
OPERA,Territorio comunale,OPERA MI,POINT
OSSONA,Territorio comunale,OSSONA MI,POINT
OZZERO,Territorio comunale,OZZERO MI,POINT
PADERNO DUGNANO,Territorio comunale,PADERNO DUGNANO MI,POINT
PANTIGLIATE,Territorio comunale,PANTIGLIATE MI,POINT
PARABIAGO,Territorio comunale,PARABIAGO MI,POINT
PAULLO,Territorio comunale,PAULLO MI,POINT
PERO,Territorio comunale,PERO MI,POINT
PESCHIERA BORROMEO,Territorio comunale,PESCHIERA BORROMEO MI,POINT
PESSANO CON BORNAGO,Territorio comunale,PESSANO CON BORNAGO MI,POINT
PIEVE EMANUELE,Territorio comunale,PIEVE EMANUELE MI,POINT
PIOLTELLO,Territorio comunale,PIOLTELLO MI,POINT
POGLIANO MILANESE,Territorio comunale,POGLIANO MILANESE MI,POINT
POZZO D'ADDA,Territorio comunale,POZZO D'ADDA MI,POINT
POZZUOLO MARTESANA,Territorio comunale,POZZUOLO MARTESANA MI,POINT
PREGNANA MILANESE,Territorio comunale,PREGNANA MILANESE MI,POINT
RESCALDINA,Territorio comunale,RESCALDINA MI,POINT
RHO,Territorio comunale,RHO MI,POINT
ROBECCHETTO CON INDUNO,Territorio comunale,ROBECCHETTO CON INDUNO MI,POINT
ROBECCO SUL NAVIGLIO,Territorio comunale,ROBECCO SUL NAVIGLIO MI,POINT
RODANO,Territorio comunale,RODANO MI,POINT
ROSATE,Territorio comunale,ROSATE MI,POINT
ROZZANO,Territorio comunale,ROZZANO MI,POINT
SAN COLOMBANO AL LAMBRO,Territorio comunale,SAN COLOMBANO AL LAMBRO MI,POINT
SAN DONATO MILANESE,Territorio comunale,SAN DONATO MILANESE MI,POINT
SAN GIORGIO SU LEGNANO,Territorio comunale,SAN GIORGIO SU LEGNANO MI,POINT
SAN GIULIANO MILANESE,Territorio comunale,SAN GIULIANO MILANESE MI,POINT
SAN VITTORE OLONA,Territorio comunale,SAN VITTORE OLONA MI,POINT
SAN ZENONE AL LAMBRO,Territorio comunale,SAN ZENONE AL LAMBRO MI,POINT
SANTO STEFANO TICINO,Territorio comunale,SANTO STEFANO TICINO MI,POINT
SEDRIANO,Territorio comunale,SEDRIANO MI,POINT
SEGRATE,Territorio comunale,SEGRATE MI,POINT
SENAGO,Territorio comunale,SENAGO MI,POINT
SESTO SAN GIOVANNI,Territorio comunale,SESTO SAN GIOVANNI MI,POINT
SETTALA,Territorio comunale,SETTALA MI,POINT
SETTIMO MILANESE,Territorio comunale,SETTIMO MILANESE MI,POINT
SOLARO,Territorio comunale,SOLARO MI,POINT
