Comune;pH;Conducibilità [µS/cm];Residuo secco a 180° [mg/l];Durezza Totale [°f];Bicarbonato (HCO3) [mg/l];Calcio (Ca) [mg/l];Magnesio (Mg) [mg/l];Sodio (Na) [mg/l];Potassio (K) [mg/l];Cloruri (Cl) [mg/l];Fluoruri (F) [mg/l];Nitrati (NO3) [mg/l];Solfati (SO4) [mg/l];Ammonio (NH4) [mg/l];Nitriti (NO2) [mg/l];Arsenico (As) [µg/l];Cromo (Cr)  [µg/l];Manganese (Mn) [µg/l];Microiquinanti tot [µg/l];Solventi Clorurati tot [µg/l];Tricloro + Tetracloroetilene [µg/l];Escherichia Coli [UFC/100ml];Enterococchi [UFC/100ml];Batteri Coliformi a 37°C [UFC/100ml]
limiti DL 31/01;6,5-9,5;2500;1500;50;;;;200;;250;1,5;50;250;0,5;0,5;10;50;50;0,5;30;10;0;0;0
ABBIATEGRASSO;7,63;399;291;21;289;60;13;5;1;6;< 0,3;17;22;< 0,1;< 0,02;1;< 5;< 5;0,06;< 1;< 1;0;0;0
ALBAIRATE;7,70;411;297;21;326;62;13;4;< 1;5;< 0,3;17;14;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
ARCONATE;7,83;430;310;22;302;64;15;8;1;14;< 0,3;18;16;< 0,1;< 0,02;1;< 5;< 5;< 0,02;2;< 1;0;0;0
ARESE;7,71;387;283;19;307;55;11;8;< 1;16;< 0,3;33;27;< 0,1;< 0,02;< 1;5;< 5;< 0,02;2;< 1;0;0;0
ARLUNO;7,70;562;406;29;340;84;19;10;2;17;< 0,3;34;35;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;< 1;0;0;0
ASSAGO;7,87;289;218;14;260;41;10;6;< 1;< 5;< 0,3;7;17;< 0,1;< 0,02;2;< 5;< 5;< 0,02;4;< 1;0;0;0
BARANZATE;7,70;397;286;20;275;57;14;6;< 1;17;< 0,3;40;31;< 0,1;< 0,02;< 1;8;< 5;< 0,02;3;< 1;0;0;0
BAREGGIO;7,60;524;378;27;319;78;18;7;2;18;< 0,3;31;41;< 0,1;0,0;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BASIANO;7,70;438;316;23;311;61;19;6;< 1;12;< 0,3;31;17;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BASIGLIO;7,86;307;236;16;286;45;11;7;< 1;< 5;< 0,3;< 5;12;< 0,1;< 0,02;2;< 5;< 5;0,02;5;< 1;0;0;0
BELLINZAGO LOMBARDO;7,44;598;432;31;442;89;22;8;1;17;< 0,3;37;30;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BERNATE TICINO;7,70;481;347;25;308;73;16;5;1;25;< 0,3;24;31;< 0,1;< 0,02;< 1;< 5;< 5;0,03;5;< 1;0;0;0
BESATE;7,50;372;272;18;214;53;12;5;1;< 5;< 0,3;13;41;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BINASCO;7,78;381;275;21;310;60;13;5;1;< 5;< 0,3;< 5;30;< 0,1;0,06;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BOFFALORA SOPRA TICINO;7,67;408;294;21;313;61;14;7;1;9;< 0,3;19;15;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
BOLLATE;7,91;274;207;14;221;41;8;5;< 1;8;< 0,3;23;11;< 0,1;< 0,02;1;5;< 5;< 0,02;2;1;0;0;0
BRESSO;7,47;620;448;31;323;97;16;12;2;29;< 0,3;41;43;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;3;2;0;0;0
BUBBIANO;7,60;380;274;20;309;56;13;4;< 1;6;< 0,3;6;14;< 0,1;< 0,02;< 1;< 5;< 5;0,06;< 1;< 1;0;0;0
BUCCINASCO;7,84;388;283;20;291;56;14;8;< 1;11;< 0,3;15;26;< 0,1;< 0,02;< 1;< 5;< 5;0,06;2;2;0;0;0
BUSCATE;7,66;497;359;25;319;72;16;7;1;26;< 0,3;22;24;< 0,1;< 0,02;< 1;< 5;< 5;0,02;7;< 1;0;0;0
BUSSERO;7,45;637;460;31;395;91;21;16;2;26;< 0,3;27;35;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;1;< 1;0;0;0
BUSTO GAROLFO;7,80;431;312;22;305;62;15;6;1;15;< 0,3;26;21;< 0,1;< 0,02;1;< 5;< 5;< 0,02;6;4;0;0;0
CALVIGNASCO;7,70;375;271;19;278;56;13;4;< 1;< 5;< 0,3;9;12;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CAMBIAGO;7,60;514;370;28;308;76;21;6;< 1;11;< 0,3;26;23;< 0,1;< 0,02;< 1;< 5;6;0,02;4;< 1;0;0;0
CANEGRATE;7,76;354;258;20;262;57;13;5;1;7;< 0,3;18;11;< 0,1;< 0,02;2;< 5;< 5;< 0,02;2;< 1;0;0;0
CARPIANO;7,80;436;322;23;315;72;11;7;3;11;< 0,3;7;35;< 0,1;< 0,02;1;< 5;< 5;0,02;< 1;< 1;0;0;0
CARUGATE;7,47;617;446;28;442;83;19;18;1;27;< 0,3;27;32;< 0,1;< 0,02;< 1;< 5;< 5;0,02;1;< 1;0;0;0
CASARILE;7,80;389;280;20;318;59;13;4;1;< 5;< 0,3;< 5;30;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CASOREZZO;7,80;392;283;21;262;61;15;5;1;7;< 0,3;19;14;< 0,1;< 0,02;1;< 5;< 5;< 0,02;1;1;0;0;0
CASSANO D'ADDA;7,68;428;310;23;288;63;17;6;1;9;< 0,3;22;27;< 0,1;< 0,02;1;< 5;< 5;0,06;2;1;0;0;0
CASSINA DE' PECCHI;7,43;337;244;17;254;49;11;7;1;13;< 0,3;14;19;< 0,1;0,02;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CASSINETTA DI LUGAGNANO;7,57;458;330;25;294;71;16;5;< 1;9;< 0,3;27;30;< 0,1;0,04;< 1;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CASTANO PRIMO;7,75;386;281;20;291;57;12;7;< 1;10;< 0,3;23;14;< 0,1;< 0,02;1;< 5;< 5;< 0,02;3;2;0;0;0
CASTELLANZA;7,84;284;215;15;255;43;9;9;1;5;< 0,3;12;14;< 0,1;< 0,02;3;< 5;< 5;< 0,02;< 1;< 1;0;0;0
CERNUSCO SUL NAVIGLIO;7,51;597;431;30;351;85;20;12;2;22;< 0,3;24;33;< 0,1;< 0,02;< 1;< 5;< 5;< 0,02;2;2;0;0;0
