alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
C.DA DELLA FONTANA,Abbadia Lariana,0.0,3.32,192.03,32.42,,1.05,291.7,13/04/2020,16.71,0.0,0.06,20.95,0.0,8.18,0.0,8.16,0.47,224.61,1.18,9.91
FRAZ. CERE',Airuno,0.0,0.0,391.86,97.56,0.03,13.43,640.4,13/04/2020,38.2,0.0,0.08,33.61,0.0,15.75,0.0,7.37,3.22,461.09,9.45,49.59
VIA SANT'ANTONIO,Annone Brianza,0.0,3.35,112.97,37.44,,4.26,224.7,13/04/2020,11.87,0.0,0.12,6.11,0.0,3.59,0.0,8.07,1.39,173.02,3.24,27.8
VIA PRIV.ROCCOLO ALDE' (RESIN),Ballabio,0.0,1.42,202.76,38.69,0.02,1.09,295.8,13/04/2020,18.06,0.0,0.05,20.41,0.0,8.15,0.0,8.07,0.46,227.77,0.86,10.89
LOCALITA' CASCINA PELTRAIO - C,Barzago,0.0,5.81,92.48,31.78,,3.31,200.3,13/04/2020,10.21,0.0,0.1,5.52,0.0,2.95,0.01,8.6,1.16,154.23,2.86,27.19
LARGO DIAZ,Barzano,0.0,1.03,112.73,36.58,0.02,4.23,226.8,13/04/2020,11.67,0.0,0.11,6.13,0.0,3.4,0.0,7.77,1.34,174.64,3.11,26.5
LOC. BALISIO,Barzio,0.0,0.0,173.73,44.51,,0.81,335.2,13/04/2020,19.28,12.3,0.08,19.83,0.0,3.78,0.0,8.03,0.38,241.34,0.54,54.4
FR. BIOSIO,Bellano,0.0,2.37,170.56,51.61,0.02,4.73,362.3,13/04/2020,19.96,34.88,0.1,17.17,0.0,6.79,0.0,8.06,1.39,260.86,4.14,57.88
P.ZA DELL'OSPEDALE,Bosisio Parini,0.0,2.47,254.25,58.75,,9.21,402.5,13/04/2020,21.78,0.0,0.18,17.26,0.0,3.61,0.0,7.68,2.64,289.8,8.67,12.29
FRAZIONE CANOSSE,Brivio,0.0,2.93,296.7,75.45,0.05,0.68,538.9,13/04/2020,29.83,0.0,0.09,26.68,0.0,19.76,0.0,7.78,3.24,388.01,9.07,44.96
