alias_address,alias_city,geocode,geometry,georeferencingString,type
Rovagnate,VIA SAN GIORGIO,"Via San Giorgio, 23888, La Valletta Brianza, Lecco","{'type': 'Point', 'coordinates': [9.372574785661973, 45.73880434597835]}","VIA SAN GIORGIO, Rovagnate",POINT
C.DA DELLA FONTANA,Abbadia Lariana,"Abbadia Lariana, Lecco","{'type': 'Point', 'coordinates': [9.330120000000022, 45.90462000000008]}","Abbadia Lariana, Lecco, Lombardia",POINT
FRAZ. CERE',Airuno,"Airuno, Lecco","{'type': 'Point', 'coordinates': [9.426720000000046, 45.75574000000006]}","Airuno, Lecco, Lombardia",POINT
VIA SANT'ANTONIO,Annone Brianza,"Annone di Brianza, Lecco","{'type': 'Point', 'coordinates': [9.331700000000069, 45.80295000000007]}","Annone Brianza, Lecco, Lombardia",POINT
VIA PRIV.ROCCOLO ALDE' (RESIN),Ballabio,"Ballabio, Lecco","{'type': 'Point', 'coordinates': [9.420170000000041, 45.902730000000076]}","Ballabio, Lecco, Lombardia",POINT
LOCALITA' CASCINA PELTRAIO - C,Barzago,"Barzago, Lecco","{'type': 'Point', 'coordinates': [9.312750000000051, 45.75425000000007]}","Barzago, Lecco, Lombardia",POINT
LARGO DIAZ,Barzano,"Barzanò, Lecco","{'type': 'Point', 'coordinates': [9.316980000000058, 45.73392000000007]}","Barzano, Lecco, Lombardia",POINT
LOC. BALISIO,Barzio,"Barzio, Lecco","{'type': 'Point', 'coordinates': [9.464180000000056, 45.94380000000007]}","Barzio, Lecco, Lombardia",POINT
FR. BIOSIO,Bellano,"Bellano, Lecco","{'type': 'Point', 'coordinates': [9.30257000000006, 46.04371000000003]}","Bellano, Lecco, Lombardia",POINT
P.ZA DELL'OSPEDALE,Bosisio Parini,"Bosisio Parini, Lecco","{'type': 'Point', 'coordinates': [9.289550000000077, 45.80207000000007]}","Bosisio Parini, Lecco, Lombardia",POINT
FRAZIONE CANOSSE,Brivio,"Brivio, Lecco","{'type': 'Point', 'coordinates': [9.44643000000002, 45.74228000000005]}","Brivio, Lecco, Lombardia",POINT
VIA BELVEDERE,Bulciago,"Bulciago, Lecco","{'type': 'Point', 'coordinates': [9.289560000000051, 45.75410000000005]}","Bulciago, Lecco, Lombardia",POINT
VIA S. ROCCO,Calco,"Calco, Lecco","{'type': 'Point', 'coordinates': [9.415900000000022, 45.72472000000005]}","Calco, Lecco, Lombardia",POINT
C.SO DANTE,Calolziocorte,"Calolziocorte, Lecco","{'type': 'Point', 'coordinates': [9.436770000000024, 45.794260000000065]}","Calolziocorte, Lecco, Lombardia",POINT
FRAZIONE PERTUSINO,Carenno,"Carenno, Lecco","{'type': 'Point', 'coordinates': [9.463570000000061, 45.802220000000034]}","Carenno, Lecco, Lombardia",POINT
LOC. CHIARELLI,Casargo,"Casargo, Lecco","{'type': 'Point', 'coordinates': [9.388050000000021, 46.03915000000006]}","Casargo, Lecco, Lombardia",POINT
VIA PRIV. BELLE VILLE,Casatenovo,"Casatenovo, Lecco","{'type': 'Point', 'coordinates': [9.312290000000075, 45.69712000000004]}","Casatenovo, Lecco, Lombardia",POINT
L.TA' COSTA,Cassago Brianza,"Cassago Brianza, Lecco","{'type': 'Point', 'coordinates': [9.29284000000007, 45.737790000000075]}","Cassago Brianza, Lecco, Lombardia",POINT
P.ZA CANTELLO,Cassina Valsassina,"Cassina Valsassina, Lecco","{'type': 'Point', 'coordinates': [9.483090000000061, 45.930990000000065]}","Cassina Valsassina, Lecco, Lombardia",POINT
VIA ROMA,Castello Brianza,"Castello di Brianza, Lecco","{'type': 'Point', 'coordinates': [9.34012000000007, 45.76218000000006]}","Castello Brianza, Lecco, Lombardia",POINT
L.TA' ANDEGARDO,Cernusco Lombardone,"Cernusco Lombardone, Lecco","{'type': 'Point', 'coordinates': [9.401030000000048, 45.695260000000076]}","Cernusco Lombardone, Lecco, Lombardia",POINT
VIA A. MORO,Cesana Brianza,"Cesana Brianza, Lecco","{'type': 'Point', 'coordinates': [9.300110000000075, 45.81595000000004]}","Cesana Brianza, Lecco, Lombardia",POINT
VIA FIUME,Civate,"Civate, Lecco","{'type': 'Point', 'coordinates': [9.344370000000026, 45.828040000000044]}","Civate, Lecco, Lombardia",POINT
L.GO S. GIORGIO,Colico,"Colico, Lecco","{'type': 'Point', 'coordinates': [9.373990000000049, 46.136970000000076]}","Colico, Lecco, Lombardia",POINT
VIA LECCO,Colle Brianza,"Colle Brianza, Lecco","{'type': 'Point', 'coordinates': [9.364140000000077, 45.76312000000007]}","Colle Brianza, Lecco, Lombardia",POINT
LARGO DE' VECCHI,Cortenova,"Cortenova, Lecco","{'type': 'Point', 'coordinates': [9.387100000000032, 46.00219000000004]}","Cortenova, Lecco, Lombardia",POINT
PZA GIUSEPPE COLOMBO,Costa Masnaga,"Costa Masnaga, Lecco","{'type': 'Point', 'coordinates': [9.273750000000064, 45.76664000000005]}","Costa Masnaga, Lecco, Lombardia",POINT
P.ZA FONTANA,Crandola Valsassina,"Crandola Valsassina, Lecco","{'type': 'Point', 'coordinates': [9.378340000000037, 46.02348000000006]}","Crandola Valsassina, Lecco, Lombardia",POINT
GIOVINEZZA,Cremella,"Cremella, Lecco","{'type': 'Point', 'coordinates': [9.303600000000074, 45.73961000000003]}","Cremella, Lecco, Lombardia",POINT
CASALE ALLA PIAZZA,Cremeno,"Cremeno, Lecco","{'type': 'Point', 'coordinates': [9.471920000000068, 45.934600000000046]}","Cremeno, Lecco, Lombardia",POINT
FRAZ. CASTELLO,Dervio,"Dervio, Lecco","{'type': 'Point', 'coordinates': [9.30457000000007, 46.076880000000074]}","Dervio, Lecco, Lombardia",POINT
CASCINA GORLA,Dolzago,"Dolzago, Lecco","{'type': 'Point', 'coordinates': [9.340810000000033, 45.76941000000005]}","Dolzago, Lecco, Lombardia",POINT
FRAZIONE TORCHIEDO,Dorio,"Dorio, Lecco","{'type': 'Point', 'coordinates': [9.31842000000006, 46.101780000000076]}","Dorio, Lecco, Lombardia",POINT
CASTELLO BRIANZA,Ello,"Ello, Lecco","{'type': 'Point', 'coordinates': [9.364680000000021, 45.78574000000003]}","Ello, Lecco, Lombardia",POINT
LOC. LOCALITA' GNET,Erve,"Erve, Lecco","{'type': 'Point', 'coordinates': [9.450810000000047, 45.81941000000006]}","Erve, Lecco, Lombardia",POINT
LOC. BRACCI,Esino Lario,"Esino Lario, Lecco","{'type': 'Point', 'coordinates': [9.336040000000025, 45.995040000000074]}","Esino Lario, Lecco, Lombardia",POINT
VIA MONTI ETTORE,Galbiate,"Galbiate, Lecco","{'type': 'Point', 'coordinates': [9.377200000000073, 45.81653000000006]}","Galbiate, Lecco, Lombardia",POINT
P.ZA BUTTI,Garbagnate Monastero,"Garbagnate Monastero, Lecco","{'type': 'Point', 'coordinates': [9.303160000000048, 45.77439000000004]}","Garbagnate Monastero, Lecco, Lombardia",POINT
P.ZA FOPPA,Garlate,"Garlate, Lecco","{'type': 'Point', 'coordinates': [9.403050000000064, 45.80659000000003]}","Garlate, Lecco, Lombardia",POINT
COLOMBE',Imbersago,"Imbersago, Lecco","{'type': 'Point', 'coordinates': [9.449320000000057, 45.70556000000005]}","Imbersago, Lecco, Lombardia",POINT
AI FORNI,Introbio,"Introbio, Lecco","{'type': 'Point', 'coordinates': [9.448380000000043, 45.97580000000005]}","Introbio, Lecco, Lombardia",POINT
LUNGO LARIO PIAVE,Lecco,Lecco,"{'type': 'Point', 'coordinates': [9.39187000000004, 45.85166000000004]}","Lecco, Lecco, Lombardia",POINT
LOC.TA' SAIOLI,Lierna,"Lierna, Lecco","{'type': 'Point', 'coordinates': [9.301410000000033, 45.962000000000046]}","Lierna, Lecco, Lombardia",POINT
VIA 1° MAGGIO,Lomagna,"Lomagna, Lecco","{'type': 'Point', 'coordinates': [9.374220000000037, 45.67107000000004]}","Lomagna, Lecco, Lombardia",POINT
VIA SAN MICHELE,Malgrate,"Malgrate, Lecco","{'type': 'Point', 'coordinates': [9.388690000000054, 45.84796000000006]}","Malgrate, Lecco, Lombardia",POINT
VIA STATALE,Mandello del Lario,"Mandello del Lario, Lecco","{'type': 'Point', 'coordinates': [9.316870000000051, 45.922330000000045]}","Mandello del Lario, Lecco, Lombardia",POINT
