alias_city,alias_address
Abbadia Lariana,C.DA DELLA FONTANA
Abbadia Lariana,C.DA GADDI
Abbadia Lariana,LOC. CALEC
Abbadia Lariana,LOC. FORNACI
Abbadia Lariana,LOC. NATOLA
Abbadia Lariana,LOC. PERLA
Abbadia Lariana,P.ZZA CENTRALE
Abbadia Lariana,P.ZZA D.COSTITUZ.REPUBBLICANA
Abbadia Lariana,P.ZZA GIOVANNI XXIII
Abbadia Lariana,P.ZZA GUZZI
Abbadia Lariana,P.ZZA S.ROCCO
Abbadia Lariana,P.ZZA XXV APRILE
Abbadia Lariana,PIAZZA ALLA STAZIONE
Abbadia Lariana,RAMPA ALLA NAZIONALE
Abbadia Lariana,RAMPA DEI PESCATORI
Abbadia Lariana,STRADA DELLA PIAZZA
Abbadia Lariana,VIA A.GRANDI
Abbadia Lariana,VIA A.MANZONI
Abbadia Lariana,VIA A.STOPPANI
Abbadia Lariana,VIA A.VOLTA
Abbadia Lariana,VIA AL CAMPEGGIO
Abbadia Lariana,VIA AL GAGGIO
Abbadia Lariana,VIA AL LAVATOIO
Abbadia Lariana,VIA AL SELVETTO
Abbadia Lariana,VIA ALLA CHIESETTA
Abbadia Lariana,VIA ALLA GRIGNETTA
Abbadia Lariana,VIA ALLA PIAZZETTA
Abbadia Lariana,VIA ALLA STAZIONE
Abbadia Lariana,VIA ALL'ASILO
Abbadia Lariana,VIA BENVENUTO
Abbadia Lariana,VIA CAMPAVEDO
Abbadia Lariana,VIA CENTRALE
Abbadia Lariana,VIA CORTE AMERICANA
Abbadia Lariana,VIA CORTE NUOVA
Abbadia Lariana,VIA D.ALIGHIERI
Abbadia Lariana,VIA DEGLI AMBROSONI
Abbadia Lariana,VIA DEGLI ANGELI
Abbadia Lariana,VIA DEI MULINI
Abbadia Lariana,VIA DEL CONVENTO
Abbadia Lariana,VIA DEL POZZO
Abbadia Lariana,VIA DEL VIANDANTE
Abbadia Lariana,VIA DELLA CHIESA
Abbadia Lariana,VIA DELLA CORONA
Abbadia Lariana,VIA DELLA COSTITUZIONE
Abbadia Lariana,VIA DELLA QUADRA
Abbadia Lariana,VIA DI MEZZO
Abbadia Lariana,VIA DON CARLO RASPINI
Abbadia Lariana,VIA G.DI VITTORIO
Abbadia Lariana,VIA GIORDANONI
Abbadia Lariana,VIA LOC.CAMPELLI
Abbadia Lariana,VIA LOC.CASTELLO
Abbadia Lariana,VIA LOC.CHIESA ROTTA
Abbadia Lariana,VIA LUNGO LAGO
Abbadia Lariana,VIA NAZIONALE
Abbadia Lariana,VIA ONEDO
Abbadia Lariana,VIA PARROCCHIALE
Abbadia Lariana,VIA PER CASTELLO
Abbadia Lariana,VIA PER LINZANICO
Abbadia Lariana,VIA PER MAGGIANA
Abbadia Lariana,VIA PER NOVEGOLO
Abbadia Lariana,VIA PER POINO
Abbadia Lariana,VIA PER ROBIANICO
Abbadia Lariana,VIA PER ZANA
Abbadia Lariana,VIA PERTUS
Abbadia Lariana,VIA RISORGIMENTO
Abbadia Lariana,VIA S.ROCCO
Abbadia Lariana,VIA SAN MARTINO
Abbadia Lariana,VIA V ALPINI
Abbadia Lariana,VIA VAL ZERBO
Abbadia Lariana,VIA VECCHIA
Abbadia Lariana,VIA VIANDANTE L.ROBIANICO
Abbadia Lariana,VIA VIANDANTE LOC.MULINI
Abbadia Lariana,VIA VIANDANTE-LOC. BORBINO
Abbadia Lariana,VIA CASSIN (RESINELLI - ABBAD)
Abbadia Lariana,VIA VIANDANTE-LOC. NOVEGOLO
Abbadia Lariana,VIA XXIV MAGGIO
Abbadia Lariana,VICOLO ALIPPI
Abbadia Lariana,V.LO CORONA
Abbadia Lariana,VICOLO DEL PORTONE
Abbadia Lariana,VICOLO DEL TORCHIO
