alias_city,alias_address,georeferencingString,type
Abbadia Lariana,C.DA DELLA FONTANA,"Abbadia Lariana, Lecco, Lombardia",POINT
Airuno,FRAZ. CERE',"Airuno, Lecco, Lombardia",POINT
Annone Brianza,VIA SANT'ANTONIO,"Annone Brianza, Lecco, Lombardia",POINT
Ballabio,VIA PRIV.ROCCOLO ALDE' (RESIN),"Ballabio, Lecco, Lombardia",POINT
Barzago,LOCALITA' CASCINA PELTRAIO - C,"Barzago, Lecco, Lombardia",POINT
Barzano,LARGO DIAZ,"Barzano, Lecco, Lombardia",POINT
Barzio,LOC. BALISIO,"Barzio, Lecco, Lombardia",POINT
Bellano,FR. BIOSIO,"Bellano, Lecco, Lombardia",POINT
Bosisio Parini,P.ZA DELL'OSPEDALE,"Bosisio Parini, Lecco, Lombardia",POINT
Brivio,FRAZIONE CANOSSE,"Brivio, Lecco, Lombardia",POINT
Bulciago,VIA BELVEDERE,"Bulciago, Lecco, Lombardia",POINT
Calco,VIA S. ROCCO,"Calco, Lecco, Lombardia",POINT
Calolziocorte,C.SO DANTE,"Calolziocorte, Lecco, Lombardia",POINT
Carenno,FRAZIONE PERTUSINO,"Carenno, Lecco, Lombardia",POINT
Casargo,LOC. CHIARELLI,"Casargo, Lecco, Lombardia",POINT
Casatenovo,VIA PRIV. BELLE VILLE,"Casatenovo, Lecco, Lombardia",POINT
Cassago Brianza,L.TA' COSTA,"Cassago Brianza, Lecco, Lombardia",POINT
Cassina Valsassina,P.ZA CANTELLO,"Cassina Valsassina, Lecco, Lombardia",POINT
Castello Brianza,VIA ROMA,"Castello Brianza, Lecco, Lombardia",POINT
Cernusco Lombardone,L.TA' ANDEGARDO,"Cernusco Lombardone, Lecco, Lombardia",POINT
Cesana Brianza,VIA A. MORO,"Cesana Brianza, Lecco, Lombardia",POINT
Civate,VIA FIUME,"Civate, Lecco, Lombardia",POINT
Colico,L.GO S. GIORGIO,"Colico, Lecco, Lombardia",POINT
Colle Brianza,VIA LECCO,"Colle Brianza, Lecco, Lombardia",POINT
Cortenova,LARGO DE' VECCHI,"Cortenova, Lecco, Lombardia",POINT
Costa Masnaga,PZA GIUSEPPE COLOMBO,"Costa Masnaga, Lecco, Lombardia",POINT
Crandola Valsassina,P.ZA FONTANA,"Crandola Valsassina, Lecco, Lombardia",POINT
Cremella,GIOVINEZZA,"Cremella, Lecco, Lombardia",POINT
Cremeno,CASALE ALLA PIAZZA,"Cremeno, Lecco, Lombardia",POINT
Dervio,FRAZ. CASTELLO,"Dervio, Lecco, Lombardia",POINT
Dolzago,CASCINA GORLA,"Dolzago, Lecco, Lombardia",POINT
Dorio,FRAZIONE TORCHIEDO,"Dorio, Lecco, Lombardia",POINT
Ello,CASTELLO BRIANZA,"Ello, Lecco, Lombardia",POINT
Erve,LOC. LOCALITA' GNET,"Erve, Lecco, Lombardia",POINT
Esino Lario,LOC. BRACCI,"Esino Lario, Lecco, Lombardia",POINT
Galbiate,VIA MONTI ETTORE,"Galbiate, Lecco, Lombardia",POINT
Garbagnate Monastero,P.ZA BUTTI,"Garbagnate Monastero, Lecco, Lombardia",POINT
Garlate,P.ZA FOPPA,"Garlate, Lecco, Lombardia",POINT
Imbersago,COLOMBE',"Imbersago, Lecco, Lombardia",POINT
Introbio,AI FORNI,"Introbio, Lecco, Lombardia",POINT
Lecco,LUNGO LARIO PIAVE,"Lecco, Lecco, Lombardia",POINT
Lierna,LOC.TA' SAIOLI,"Lierna, Lecco, Lombardia",POINT
Lomagna,VIA 1° MAGGIO,"Lomagna, Lecco, Lombardia",POINT
Malgrate,VIA SAN MICHELE,"Malgrate, Lecco, Lombardia",POINT
Mandello del Lario,VIA STATALE,"Mandello del Lario, Lecco, Lombardia",POINT
Margno,LOC. ALPE GRASSO,"Margno, Lecco, Lombardia",POINT
Merate,VIA IV NOVEMBRE,"Merate, Lecco, Lombardia",POINT
Missaglia,VIA DEL MORO,"Missaglia, Lecco, Lombardia",POINT
Moggio,LOC. IL PERO,"Moggio, Lecco, Lombardia",POINT
Molteno,P.ZA BIFFI DON GIUSEPPE,"Molteno, Lecco, Lombardia",POINT
Monte Marenzo,VIA PRATO DELLA SORTE,"Monte Marenzo, Lecco, Lombardia",POINT
Montevecchia,VIA BASSA DEL POGGIO,"Montevecchia, Lecco, Lombardia",POINT
Monticello Brianza,VIA CASATI GAETANO,"Monticello Brianza, Lecco, Lombardia",POINT
Morterone,LOCALITA' BOSCO,"Morterone, Lecco, Lombardia",POINT
Nibionno,LOCALITA' CALIFORNIA,"Nibionno, Lecco, Lombardia",POINT
Oggiono,P.ZA GARIBALDI,"Oggiono, Lecco, Lombardia",POINT
Olgiate Molgora,VIA AI CAMPI,"Olgiate Molgora, Lecco, Lombardia",POINT
Olginate,VIA REDAELLI,"Olginate, Lecco, Lombardia",POINT
Oliveto Lario,P.ZA CONCILIAZIONE,"Oliveto Lario, Lecco, Lombardia",POINT
Osnago,VIA S.ANNA,"Osnago, Lecco, Lombardia",POINT
Paderno d'Adda,CASCINA NUOVA,"Paderno d'Adda, Lecco, Lombardia",POINT
Pagnona,LOC. PIAZZOLA,"Pagnona, Lecco, Lombardia",POINT
Parlasco,LOC. CHIARELLO,"Parlasco, Lecco, Lombardia",POINT
Pasturo,DIVERSE MONTI DI PASTURO,"Pasturo, Lecco, Lombardia",POINT
Perledo,CNT DEGLI OREFICI,"Perledo, Lecco, Lombardia",POINT
Pescate,P.ZA DON G. RIVA,"Pescate, Lecco, Lombardia",POINT
Premana,L.TA' PIAZZAGORLA,"Premana, Lecco, Lombardia",POINT
Primaluna,CASC. CATTOLOSA,"Primaluna, Lecco, Lombardia",POINT
Robbiate,CASCINA REBUSTA,"Robbiate, Lecco, Lombardia",POINT
Rogeno,P.ZA V. EMANUELE II,"Rogeno, Lecco, Lombardia",POINT
Rovagnate,VIA SAN GIORGIO,"Rovagnate, Lecco, Lombardia",POINT
Santa Maria Hoe',P.ZZA PADRE FAUSTO TENTORIO,"Santa Maria Hoe', Lecco, Lombardia",POINT
Sirone,L.TA' BERTA,"Sirone, Lecco, Lombardia",POINT
Sirtori,LOCALITA' ISOLA D'ELBA,"Sirtori, Lecco, Lombardia",POINT
Sueglio,ARTESSO,"Sueglio, Lecco, Lombardia",POINT
Suello,VIA PROVINCIALE,"Suello, Lecco, Lombardia",POINT
Taceno,VIA AI CAMPI,"Taceno, Lecco, Lombardia",POINT
Valgreghentino,FRAZ. BORNEDA,"Valgreghentino, Lecco, Lombardia",POINT
Valmadrera,VIA STRECCIOLA,"Valmadrera, Lecco, Lombardia",POINT
Varenna,NON UTILIZ.-COD.CORRETTO 92264,"Varenna, Lecco, Lombardia",POINT
Vercurago,P.ZA MANZONI,"Vercurago, Lecco, Lombardia",POINT
Verderio,VERDERIO INFERIORE,"Verderio, Lecco, Lombardia",POINT
Vigano',CASCINA GIOVANNA,"Vigano', Lecco, Lombardia",POINT
