alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
LUNGO LARIO PIAVE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DELL' ABBADIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DELLE CAVIATE,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MONTE SPLUGA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA SANTO STEFANO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DE GASPERI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA STELVIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA MORO ALDO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA DALLA CHIESA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
P.ZA CAPPUCCINI,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA PERAZZO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA VENETO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA POLA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA TRENTO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA CAPODISTRIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA AQUILEIA,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA GRADO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA D' ANNUNZIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
VIA SONDRIO,Lecco,0.0,0.0,232.78,47.88,0.09,3.64,372.7,13/04/2020,21.34,0.0,0.05,22.79,0.0,8.36,0.0,7.79,0.71,268.34,2.17,24.43
