alias_address,alias_city,ammoniaca,arsenico,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Brunate,<0.02,3.5,27,0.04,6,200,31/12/2019,9.2,<10,<0.20,6,3,4,0.11,8.1,1,144,6,25
Comune,Cernobbio,0.02,1.9,86,0.07,27,530,31/12/2019,28.2,<10,<0.20,12,1,16,<0.10,7.6,3,370,13,27
Comune,Como,<0.10,4,27,0.10,6,201,31/12/2019,9.8,10,<0.20,6,2,4,<0.10,8.1,1,147,7,28
Comune,Arcisate,0.03,1.8,79,0.04,27,682,31/12/2019,29.8,<10,<0.2,24,1.6,23,0.11,7.4,2.2,488,11,29
Comune,Azzate,<0.02,<1,78,<0.04,46,629,31/12/2019,26,<10,<0.20,15,4,20,<0.10,7.7,1,450,23,19
Comune,Barasso,<0.02,<1,76,0.07,<5,298,31/12/2019,12,<10,<0.20,5,<1,10,<0.10,7.9,<1,229,2,<10
Comune,Besnate,<0.02,<1,40,0.26,<5,257,31/12/2019,13,<10,<0.20,7,<1,13,<0.10,7.7,2,198,8,<10
Comune,Bodio Lomnago,<0.02,<1,73,0.08,34,567,31/12/2019,22,<10,<0.20,9,<1,22,<0.10,7.4,2,406,21,18
Comune,Brezzo di Bedero - Zona 1,<0.02,1,29,0.17,7,246,31/12/2019,11,<10,<0.20,8,<1,13,<0.10,7.7,2,189,4,<10
Comune,Brezzo di Bedero - Zona 2,<0.02,1,29,0.17,7,246,31/12/2019,11,<10,<0.20,8,<1,13,<0.10,7.7,2,189,4,<10
Comune,Buguggiate,0.03,<1,108,0.11,117,819,31/12/2019,36,<10,<0.20,21,1,21,<0.10,7.5,2,608,46,25
Comune,Cantello,0.02,2,82,0.07,24,656,31/12/2019,28,<10,<0.20,18,1,23,<0.10,7.7,3,432,14,45
Comune,Caravate,<0.02,1,71,0.08,19,566,31/12/2019,23,<10,<0.20,14,<1,16,<0.10,7.5,2,406,14,21
Comune,Carnago,<0.02,1,56,<0.04,19,494,31/12/2019,21,<10,<0.20,14,<1,22,<0.10,7.1,2,353,9,14
Comune,Caronno Varesino,<0.02,<1,70,0.07,94,549,31/12/2019,21,<10,<0.20,9,<1,18,<0.10,7.5,2,393,9,18
Comune,Casciago,<0.02,<1,44,<0.04,13,413,31/12/2019,14,<10,<0.20,8,<1,19,<0.10,7.7,<1,296,4,<10
Comune,Castronno,<0.02,<1,79,0.08,47,670,31/12/2019,24,<10,<0.20,10,<1,19,<0.10,7.5,1,480,28,18
Comune,Cazzago Brabbia,<0.02,6,47,<0.04,11,375,31/12/2019,17,<10,<0.20,13,1,18,<0.10,8.1,4,268,6,34
Comune,Cittiglio,<0.02,<1,70,0.09,8,465,31/12/2019,21,<10,<0.20,8,<1,18,<0.10,7.6,1,333,4,11
Comune,Cittiglio Zona Vararo,<0.02,<1,70,0.09,8,465,31/12/2019,21,<10,<0.20,8,<1,18,<0.10,7.6,1,333,4,11
Comune,Comerio,<0.02,<1,38,0.10,<5,298,31/12/2019,12,<10,<0.20,5,<1,10,<0.10,7.8,<1,230,2,<10
Comune,Cunardo,<0.02,<1,30,0.08,12,302,31/12/2019,13,<10,0.23,13,<1,16,<0.10,7.2,2,232,6,<10
Comune,Daverio,<0.02,<1,100,0.10,34,667,31/12/2019,30,<10,<0.20,14,23,17,<0.10,7.7,1,282,17,24
Comune,Galliate Lombardo,<0.02,2,89,0.07,33,656,31/12/2019,28,<10,<0.20,14,<1,17,<0.10,7.9,2,470,15,24
Comune,Gazzada Schianno,0.03,4,63,0.10,12,461,31/12/2019,23,<10,<0.20,17,<1,14,<0.10,8.0,2,330,16,26
Comune,Germignaga Zona 1,<0.02,2,20,0.06,6,195,31/12/2019,8,<10,<0.20,7,3,10,<0.10,7.5,2,157,5,12
Comune,Germignaga Zona 2,<0.02,2,20,0.06,6,195,31/12/2019,8,<10,<0.20,7,3,10,<0.10,7.5,2,157,5,12
Comune,Inarzo,<0.02,7,47,0.05,11,383,31/12/2019,17,<10,<0.20,13,<1,18,<0.10,8.1,3,274,6,34
