alias_address,alias_city,geocode,geometry,georeferencingString,type
Calcinate Degli Orrigoni,Varese zona 1,"Via Valle Luna, 21100, Varese",,"Via Valle Luna, Varese, Lombardia, Italia",POINT
Bizzozzero,Varese zona 2,"Via Carletto Ferrari, 21100, Varese","{'type': 'Point', 'coordinates': [8.85109869461006, 45.79019007289578]}","Via Carletto Ferrari, Varese",POINT
Biumo Inferiore,Varese zona 1,"Via Giuseppe Garibaldi, 21100, Varese, VA","{'type': 'Point', 'coordinates': [8.833299454016242, 45.821583000000004]}",Via Giuseppe Garibaldi 21100 Varese VA,POINT
Fogliaro,Varese zona 4,"Via Archimede, 21100, Varese","{'type': 'Point', 'coordinates': [8.802912458704894, 45.84579140851443]}",Via archimede Varese,POINT
Varese centro,Varese zona 1,"Via Como, 21100, Varese","{'type': 'Point', 'coordinates': [8.830679518918622, 45.81822246305843]}","Via Como, Varese, Lombardia, Italia",POINT
S.Carlo,Varese zona 1,"Via Osoppo, 21100, Varese","{'type': 'Point', 'coordinates': [8.848832247697615, 45.80219632343912]}","Via Osoppo,21100 Varese, Lombardia, Italia",POINT
Campo dei Fiori,Varese zona 6,"Strada Provinciale del Campo dei Fiori, 21030, Brinzio, Varese","{'type': 'Point', 'coordinates': [8.780797583055197, 45.887858498938]}","Campo dei Fiori, Brinzio, Lombardia, Italia",POINT
Cartabbia,Varese zona 1,"Via Torquato Tasso, 21100, Varese","{'type': 'Point', 'coordinates': [8.82841439270923, 45.79933820243026]}","Via Torquato Tasso, 21100, Varese",POINT
S.Gallo,Varese zona 1,"Via San Gallo, 21029, Vergiate, Varese","{'type': 'Point', 'coordinates': [8.68880162026285, 45.74808647828139]}","Via San Gallo, Varese",POINT
S. Fermo,Varese zona 1,"Via Tarvisio, 21100, Varese","{'type': 'Point', 'coordinates': [8.84749259463188, 45.83390821381052]}","Via Tarvisio, 21100, Varese",POINT
Masnago,Varese zona 3,"Masnago, Provincia di Varese","{'type': 'Point', 'coordinates': [8.800000000000068, 45.833330000000046]}",Masnago,POINT
Montello,Varese zona 3,"Via Montello, 21100, Varese","{'type': 'Point', 'coordinates': [8.812484817710708, 45.83233268443656]}","Via Montello, Varese , Lombardia, Italia",POINT
Comune,Pino sul Lago Maggiore,"Pino sulla Sponda del Lago Maggiore, Maccagno con Pino e Veddasca, Varese","{'type': 'Point', 'coordinates': [8.740400000000022, 46.10152000000005]}","Pino sulla Sponda del Lago Maggiore, Varese, Lombardia, Italia",POINT
Ferè,Luino zona 2,"Luino, Varese","{'type': 'Point', 'coordinates': [8.744760000000042, 46.00011000000006]}","Ferè, Luino, Varese, Lombardia, Italia",POINT
Villaggio Menotti,Luino zona 2,"Via Ciro Menotti, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.750605284943527, 46.00361309917754]}","Villaggio Menotti, Luino, Varese, Lombardia, Italia",POINT
Pezze,Luino zona 2,"Via La Pezza, 21016, Luino, Varese","{'type': 'Point', 'coordinates': [8.752904570225883, 45.98836416179786]}","Pezze, Luino, Varese, Lombardia, Italia",POINT
Tamagno,Luino zona 7,"Luino, Varese","{'type': 'Point', 'coordinates': [8.744760000000042, 46.00011000000006]}","Tamagno, Luino, Varese, Lombardia, Italia",POINT
Giubiano,Varese zona 1,21100,"{'type': 'Point', 'coordinates': [8.810805000000073, 45.836223268000026]}",Giubiano 21100 Varese VA,POINT
