alias_city,alias_address,page,urlReport,data_report
Brunate,Comune,0,http://www.leretispa.it/documents/112807/113225/Brunate+IV+2019.pdf,31/12/2019
Cernobbio,Comune,0,http://www.leretispa.it/documents/112807/113225/Cernobbio+IV+2019.pdf,31/12/2019
Como,Comune,0,http://www.leretispa.it/documents/112807/113225/Como+IV+2019.pdf,31/12/2019
Arcisate,Comune,0,http://www.leretispa.it/documents/112807/113219/Arcisate+IV+2019.pdf,31/12/2019
Azzate,Comune,0,http://www.leretispa.it/documents/112807/113219/Azzate+IV+2019.pdf,31/12/2019
Barasso,Comune,0,http://www.leretispa.it/documents/112807/113219/Barasso+IV+2019.pdf,31/12/2019
Besnate,Comune,0,http://www.leretispa.it/documents/112807/113219/Besnate+IV+2019.pdf,31/12/2019
Bodio Lomnago,Comune,0,http://www.leretispa.it/documents/112807/113219/Bodio+L.+IV+2019.pdf,31/12/2019
Brezzo di Bedero - Zona 1,Comune,0,http://www.leretispa.it/documents/112807/113219/Brezzo+IV+2019.pdf,31/12/2019
Brezzo di Bedero - Zona 2,Comune,1,http://www.leretispa.it/documents/112807/113219/Brezzo+IV+2019.pdf,31/12/2019
Buguggiate,Comune,0,http://www.leretispa.it/documents/112807/113219/Buguggiate+L.+IV+2019.pdf,31/12/2019
Cantello,Comune,0,http://www.leretispa.it/documents/112807/113219/Cantello+IV+2019.pdf,31/12/2019
Caravate,Comune,0,http://www.leretispa.it/documents/112807/113219/Caravate+IV+2019.pdf,31/12/2019
Carnago,Comune,0,http://www.leretispa.it/documents/112807/113219/Carnago+IV+2019.pdf,31/12/2019
Caronno Varesino,Comune,0,http://www.leretispa.it/documents/112807/113219/Caronno+v+IV+2019.pdf,31/12/2019
Casciago,Comune,0,http://www.leretispa.it/documents/112807/113219/Casciago+IV+2019.pdf,31/12/2019
Castronno,Comune,0,http://www.leretispa.it/documents/112807/113219/Castronno+IV+2019.pdf,31/12/2019
Cazzago Brabbia,Comune,0,http://www.leretispa.it/documents/112807/113219/Cazzago+brabbia+IV+2019.pdf,31/12/2019
Cittiglio,Comune,0,http://www.leretispa.it/documents/112807/113219/Cittiglio+IV+2019.pdf,31/12/2019
Cittiglio Zona Vararo,Comune,1,http://www.leretispa.it/documents/112807/113219/Cittiglio+IV+2019.pdf,31/12/2019
Comerio,Comune,0,http://www.leretispa.it/documents/112807/113219/Comerio+IV+2019.pdf,31/12/2019
Cunardo,Comune,0,http://www.leretispa.it/documents/112807/113219/Cunardo+IV+2019.pdf,31/12/2019
Daverio,Comune,0,http://www.leretispa.it/documents/112807/113219/Daverio+IV+2019.pdf,31/12/2019
Galliate Lombardo,Comune,0,http://www.leretispa.it/documents/112807/113219/Galliate+IV+2019.pdf,31/12/2019
Gazzada Schianno,Comune,0,http://www.leretispa.it/documents/112807/113219/Gazzada+IV+2019.pdf,31/12/2019
Germignaga Zona 1,Comune,0,http://www.leretispa.it/documents/112807/113219/Germignaga+IV+2019.pdf,31/12/2019
Germignaga Zona 2,Comune,1,http://www.leretispa.it/documents/112807/113219/Germignaga+IV+2019.pdf,31/12/2019
Inarzo,Comune,0,http://www.leretispa.it/documents/112807/113219/Inarzo+IV+2019.pdf,31/12/2019
Induno Olona,Comune,0,http://www.leretispa.it/documents/112807/113219/Induno+olona+IV+2019.pdf,31/12/2019
Jerago con Orago,Comune,0,http://www.leretispa.it/documents/112807/113219/Jerago+IV+2019.pdf,31/12/2019
Lozza,Comune,0,http://www.leretispa.it/documents/112807/113219/Lozza+IV+2019.pdf,31/12/2019
Luino zona 1,Luino centro,0,http://www.acsm-agam.it/documents/112807/113219/Luino.pdf,24/01/2020
Luino zona 1,Voldomino Inferiore,0,http://www.acsm-agam.it/documents/112807/113219/Luino.pdf,24/01/2020
Luino zona 1,Baggiolina,0,http://www.acsm-agam.it/documents/112807/113219/Luino.pdf,24/01/2020
Luino zona 2,Loc. Longhirolo,1,http://www.acsm-agam.it/documents/112807/113219/Luino.pdf,24/01/2020
Luino zona 2,Pianazzo,1,http://www.acsm-agam.it/documents/112807/113219/Luino.pdf,24/01/2020
Luino zona 2,Torbere,1,http://www.acsm-agam.it/documents/112807/113219/Luino.pdf,24/01/2020
Luino zona 2,Ferè,1,http://www.acsm-agam.it/documents/112807/113219/Luino.pdf,24/01/2020
