alias_address,alias_city,type,georeferencingString
viale gadio,Milano,POINT,"20100 MILANO, viale gerolamo gadio"
piazzale marengo,Milano,POINT,"20100 MILANO, piazzale marengo"
bastioni di porta venezia,Milano,POINT,"20100 MILANO, bastioni di porta venezia"
via sassoferrato,Milano,POINT,"20100 MILANO, via sassoferrato"
largo d'aragona isabella,Milano,POINT,"20100 MILANO, largo isabella d'aragona"
via banfi antonio,Milano,POINT,"20100 MILANO, via antonio banfi"
viale alemagna emilio,Milano,POINT,"20100 MILANO, viale emilio alemagna"
piazza sempione,Milano,POINT,"20100 MILANO, piazza sempione"
piazzale baiamonti antonio,Milano,POINT,"20100 MILANO, piazzale antonio baiamonti"
viale brianza,Milano,POINT,"20100 MILANO, viale brianza"
largo de benedetti aldo,Milano,POINT,"20100 MILANO, largo aldo de benedetti"
via villani dino,Milano,POINT,"20100 MILANO, via dino villani"
via figini luigi,Milano,POINT,"20100 MILANO, via figini luigi"
via bauer riccardo,Milano,POINT,"20100 MILANO, via riccardo bauer"
via chiese,Milano,POINT,"20100 MILANO, via chiese"
via don roberto bigiogiera,Milano,POINT,"20100 MILANO, via don roberto bigiogera"
via del ricordo,Milano,POINT,"20100 MILANO, via del ricordo"
via feltre,Milano,POINT,"20100 MILANO, via feltre"
via valtorta lodovico,Milano,POINT,"20100 MILANO, via valtorta lodovico"
via predabissi francesco,Milano,POINT,"20100 MILANO, via francesco predabissi"
via castel morrone,Milano,POINT,"20100 MILANO, via castel morrone"
piazza occhialini giuseppe,Milano,POINT,"20100 MILANO, piazza giuseppe occhialini"
via tirone marco tullio,Milano,POINT,"20100 MILANO, via marco tullio tirone"
viale forlanini enrico,Milano,POINT,"20100 MILANO, viale enrico forlanini"
largo sereni vittorio,Milano,POINT,"20100 MILANO, largo vittorio sereni"
viale lazio,Milano,POINT,"20100 MILANO, viale lazio"
piazza buozzi bruno,Milano,POINT,"20100 MILANO, piazza bruno buozzi"
via colletta pietro,Milano,POINT,"20100 MILANO, via colletta pietro"
via tertulliano,Milano,POINT,"20100 MILANO, via tertulliano"
via taliedo,Milano,POINT,"20100 MILANO, via taliedo"
via vittorini elio,Milano,POINT,"20100 MILANO, via elio vittorini"
via george orwell,Milano,POINT,"20100 MILANO, via george orwell"
via pizzolpasso francesco,Milano,POINT,"20100 MILANO, via pizzolpasso francesco"
via sant'arialdo,Milano,POINT,"20100 MILANO, via sant'arialdo"
via sant'arialdo,Milano,POINT,"20100 MILANO, via sant'arialdo"
via san dionigi,Milano,POINT,"20100 MILANO, via san dionigi"
via spadolini giovanni,Milano,POINT,"20100 MILANO, via spadolini giovanni"
via ferrari virgilio,Milano,POINT,"20100 MILANO, via virgilio ferrari"
via camporgnago,Milano,POINT,"20100 MILANO, via camporgnago"
via pescara,Milano,POINT,"20100 MILANO, via pescara"
via romeo nicola,Milano,POINT,"20100 MILANO, via nicola romeo"
via ferrari virgilio,Milano,POINT,"20100 MILANO, via virgilio ferrari"
via gandino cristoforo,Milano,POINT,"20100 MILANO, via cristoforo gandino"
viale romolo,Milano,POINT,"20100 MILANO, viale romolo"
via carlo bo,Milano,POINT,"20100 MILANO, via carlo bo"
via mazzolari,Milano,POINT,"20100 MILANO, via don primo mazzolari"
via de finetti giuseppe,Milano,POINT,"20100 MILANO, via giuseppe de finetti"
via santi fernando,Milano,POINT,"20100 MILANO, via fernando santi"
via dei tulipani,Milano,POINT,"20100 MILANO, via dei tulipani"
via modigliani amedeo,Milano,POINT,"20100 MILANO, via amedeo modigliani"
via parmigianino,Milano,POINT,"20100 MILANO, via parmigianino"
via gio' ponti,Milano,POINT,"20100 MILANO, via gio' ponti"
via valsesia,Milano,POINT,"20100 MILANO, via valsesia"
largo don saturnino villa,Milano,POINT,"20100 MILANO, largo don saturnino villa"
