alias_address,alias_city,ammonio,arsenico,bicarbonato,calcio,cloro residuo,cloruri,conducibilità,data_report,durezza,fluoruri,magnesio,manganese,nitrati,nitriti,pH,potassio,residuo fisso 180°C,sodio,solfati
viale gadio,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazzale marengo,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
bastioni di porta venezia,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via sassoferrato,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
largo d'aragona isabella,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
via banfi antonio,Milano,"<0,10",<2,207,73,"<0,01",33,548, quarto trimestre 2019.,28,"<0,5",14.3,<1,25,"<0,20",7.6,1,356,19,55
viale alemagna emilio,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazza sempione,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
piazzale baiamonti antonio,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
viale brianza,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
largo de benedetti aldo,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via villani dino,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via figini luigi,Milano,"<0,10",<2,185,66,0.01,31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via bauer riccardo,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via chiese,Milano,"<0,10",<2,185,66,"<0,01",31,501, quarto trimestre 2019.,25,"<0,5",14.8,<1,30,"<0,20",7.4,1,326,18,46
via don roberto bigiogiera,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via del ricordo,Milano,"<0,10",<2,241,88,"<0,01",31,592, quarto trimestre 2019.,32,"<0,5",18.7,<1,37,"<0,20",7.5,2,385,16,46
via feltre,Milano,"<0,10",<2,234,85,0.01,34,602, quarto trimestre 2019.,31,"<0,5",19.3,<1,30,"<0,20",7.6,2,391,19,55
