alias_address,alias_city,geocode,geometry,georeferencingString,type
via palach jan,Milano,"Via Jan Palach, Conca Fallata, Municipio 5, Milano, Lombardia, 20142, Italia","{'type': 'Point', 'coordinates': [9.166932, 45.4287736]}",via palach jan,POINT
via stephenson giorgio,Milano,"Via Giorgio Stephenson, Maggiore - Musocco, Roserio, Milano, Lombardia, 20151, Italia","{'type': 'Point', 'coordinates': [9.1133368, 45.5140864]}",via stephenson giorgio,POINT
via vaiano valle,Milano,"Via Vaiano Valle, Parco delle Abbazie, Municipio 5, Vaiano Valle, Milano, Lombardia, 20139, Italia","{'type': 'Point', 'coordinates': [9.2160039, 45.4291911]}",via vaiano valle,POINT
via bardolino,Milano,"Via Bardolino, Parco dei Navigli, Ronchetto sul Naviglio, Milano, Lombardia, 20090, Italia","{'type': 'Point', 'coordinates': [9.1370393, 45.4255889]}",via bardolino,POINT
via san vittore,Milano,"Via San Vittore, San Vittore, Municipio 1, Milano, Lombardia, 20144, Italia","{'type': 'Point', 'coordinates': [9.166747, 45.4644312]}",via san vittore,POINT
via senofonte,Milano,"Via Senofonte, Tre Torri, Tre Torri-Fiera, Milano, Lombardia, 20145, Italia","{'type': 'Point', 'coordinates': [9.1591415, 45.4752568]}",via senofonte,POINT
via quintosole,Milano,"Via Quintosole, Quintosole, Municipio 5, Quintosole, Milano, Lombardia, 20141, Italia","{'type': 'Point', 'coordinates': [9.2051699, 45.4034206]}",via quintosole,POINT
via de amicis edmondo,Milano,"Via Edmondo De Amicis, Sant'Ambrogio, Municipio 1, Milano, Lombardia, 20123, Italia","{'type': 'Point', 'coordinates': [9.1748675, 45.4605267]}","Via Edmondo De Amicis, Sant'Ambrogio, Municipio 1, Milano, Lombardia, 20123, Italia",POINT
viale sarca,Milano,"Viale Sarca, Bicocca, Milano, Lombardia, 20126, Italia","{'type': 'Point', 'coordinates': [9.209236, 45.5164327]}","Viale Sarca, Bicocca, Milano, Lombardia, 20126, Italia",POINT
via de vincenti angelo,Milano,"Via Angelo de Vincenti, Selinunte, San Siro, Milano, Lombardia, 20148, Italia","{'type': 'Point', 'coordinates': [9.1406221, 45.476897]}","Via Angelo de Vincenti, Selinunte, San Siro, Milano, Lombardia, 20148, Italia",POINT
via ripamonti giuseppe,Milano,"Via Giuseppe Ripamonti, Ripamonti, Vigentino, Milano, Lombardia, 20141, Italia","{'type': 'Point', 'coordinates': [9.2006036, 45.4361686]}",via ripamonti giuseppe,POINT
via martinazzoli antonio,Milano,"Via Antonio Martinazzoli, Bruzzano, Milano, Lombardia, 20161, Italia","{'type': 'Point', 'coordinates': [9.1759686, 45.5285213]}",via martinazzoli antonio,POINT
via achille,Milano,"Via Achille, San Siro, Lampugnano, Milano, Lombardia, 20148, Italia","{'type': 'Point', 'coordinates': [9.1247643, 45.4798235]}",via achille,POINT
