alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
F.P. - FENGO - VIA GRUMELLO,Acquanegra Cremonese,<0.1,7,300,84,4,507, 15/11/2019,26,279,0.08,13.6,<5,2,<0.05,7.9,1.08,314,11,<1
F.P. - BERINZAGA,Agnadello,<0.1,1,249,71,5,484, 15/11/2019,25,<5,<0.05,19.7,<5,12,<0.05,7.4,1.15,300,3,32
F.P. - GRONTORTO - V. S. ANDREA,Annicco,<0.1,9,332,89,5,517, 15/11/2019,27,<5,0.07,12.4,<5,2,<0.05,7.6,1.30,320,8,2
F.P. - REPUBBLICA,Annicco,<0.1,9,318,89,5,514, 15/11/2019,27,23,0.07,12.2,<5,2,<0.05,7.6,1.26,319,8,2
F.P. - AZZANELLO - VIA VALCARENGHI,Azzanello,<0.1,2,260,73,1,424, 15/11/2019,22,<5,0.09,10.8,<5,1,<0.05,7.8,1.28,263,8,10
F.P. - DONATORI SANGUE,Bagnolo Cremasco,<0.1,3,240,59,1,426, 15/11/2019,22,<5,0.06,17.8,<5,<1,<0.05,7.9,1.58,264,7,13
F.P. - GATTOLINO,Bagnolo Cremasco,<0.1,3,254,61,1,432, 15/11/2019,23,<5,0.07,18.8,<5,1,<0.05,7.9,1.50,268,8,13
"F.P. - ANSELMI (Via Anselmi,  15 Bonemerse)",Bonemerse,<0.1,5,282,71,18,515, 15/11/2019,23,56,0.05,14.1,<5,4,<0.05,7.9,1.08,319,23,<1
F.P. - BORDOLANO - V. CALZI,Bordolano,<0.1,2,256,73,1,426, 15/11/2019,22,5,0.09,10.8,<5,1,<0.05,7.8,1.28,264,8,10
F.P. - CA' D'ANDREA - PIAZZA della VITTORIA,Ca' d'Andrea,<0.1,1,312,66,9,498, 15/11/2019,22,<5,0.05,14.2,<5,6,<0.05,7.7,1.13,309,24,<1
F.P. - CASANOVA D'OFFREDI - Via NENNI,Ca' d'Andrea,<0.1,1,312,67,9,500, 15/11/2019,22,<5,<0.05,14.1,<5,6,<0.05,7.8,1.08,310,24,<1
F.P. - CALVATONE - VIA S. MARIA,Calvatone,0.16,6,296,70,1,484, 15/11/2019,24,40,0.07,15.4,6,6,<0.05,7.9,0.89,300,18,5
F.P. - CAMISANO - P.zza MAGGIORE,Camisano,<0.1,1,221,75,26,523, 15/11/2019,26,<5,<0.05,18.8,<5,14,<0.05,7.6,0.85,324,4,34
F.P. - CAMPAGNOLA C.SCA - PONTE RINO,Campagnola Cremasca,<0.1,2,371,128,22,805, 15/11/2019,43,15,0.05,26.5,<5,18,<0.05,7.4,1.30,499,9,79
F.P. - Capergnanica - S. MARTINO,Capergnanica,<0.1,2,265,62,1,443, 15/11/2019,23,<5,0.06,19.4,<5,1,<0.05,8.0,1.47,274,8,10
F.P. - P.zza del MUNICIPIO,Cappella Cantone,<0.1,4,313,86,1,500, 15/11/2019,27,<5,0.08,13.8,<5,1,<0.05,7.9,1.09,310,6,3
