alias_address,alias_city,geocode,geometry,georeferencingString,type
F.P. - CAMPO DI MARTE,Crema,"Campo di Marte, Via Giovanni Vailati, 26013, Crema, Cremona, ITA","{'type': 'Point', 'coordinates': [9.68545000000006, 45.35928000000007]}","Campo di Marte, Via Giovanni Vailati, 26013, Crema, Cremona, ITA",POINT
F.P. - CAMPAGNOLA C.SCA - PONTE RINO,Campagnola Cremasca,"26010, Cascina Colombara, Campagnola Cremasca, CR, Lombardia","{'type': 'Point', 'coordinates': [9.672909305122632, 45.403223590802256]}","26010, Cascina Colombara, Campagnola Cremasca, CR, Lombardia",POINT
F.P. - MOTTA B. - P.zza PIERINO GABOARDI,Motta Baluffi,"Piazza Gaboardi, 26045, Motta Baluffi, CR","{'type': 'Point', 'coordinates': [10.260032491591534, 45.05411626657714]}",Piazza Gaboardi 26045 Motta Baluffi CR,POINT
F.P. - P.ZA PARI,Ostiano,"Piazza B. Pari, 26032, Ostiano, CR","{'type': 'Point', 'coordinates': [10.25347533038832, 45.223416660776664]}",Piazza Bruno Pari 26032 Ostiano CR,POINT
F.P. - PIEVE S. GIACOMO - P.ZA VOLONT. SANGUE,Pieve S. Giacomo,"Piazza Volontari del Sangue, 26035, Pieve San Giacomo, CR","{'type': 'Point', 'coordinates': [10.186795558288651, 45.12776358437021]}",Piazza Volontari del Sangue 26035 Pieve San Giacomo CR,POINT
F.P. - RIVAROLO DEL RE - V. APORTI,Rivarolo del Re,"Via Ferrante Aporti, 26036, Rivarolo del Re ed Uniti, CR","{'type': 'Point', 'coordinates': [10.467313456568702, 45.02853509131373]}",Via Ferrante Aporti 26036 Rivarolo del re ed Uniti CR,POINT
F.P - GIARDINI,Soresina,"Via Guglielmo Marconi, 26015, Soresina, Cremona","{'type': 'Point', 'coordinates': [9.854040874733174, 45.288357375917776]}","via marconi Soresina, Lombardia",POINT
F.P. - FENGO - VIA GRUMELLO,Acquanegra Cremonese,"Via Grumello, 26020, Acquanegra Cremonese, Cremona","{'type': 'Point', 'coordinates': [9.88548466221678, 45.18585198521434]}","FENGO - VIA GRUMELLO, Acquanegra Cremonese, Lombardia",POINT
F.P. - BERINZAGA,Agnadello,"Via Berinzaga, 26020, Agnadello, Cremona","{'type': 'Point', 'coordinates': [9.562353821836634, 45.44726194244518]}","BERINZAGA, Agnadello, Lombardia",POINT
F.P. - GRONTORTO - V. S. ANDREA,Annicco,"Grontorto, Annicco, Cremona","{'type': 'Point', 'coordinates': [9.876820000000066, 45.26446000000004]}","GRONTORTO - V. S. ANDREA, Annicco, Lombardia",POINT
F.P. - REPUBBLICA,Annicco,"Via della Repubblica, 26021, Annicco, Cremona","{'type': 'Point', 'coordinates': [9.872823684271635, 45.2447437238206]}","REPUBBLICA, Annicco, Lombardia",POINT
F.P. - AZZANELLO - VIA VALCARENGHI,Azzanello,"Via Antonio Valcarenghi, 26010, Azzanello, Cremona","{'type': 'Point', 'coordinates': [9.924188997781373, 45.311696581122284]}","AZZANELLO - VIA VALCARENGHI, Azzanello, Lombardia",POINT
F.P. - DONATORI SANGUE,Bagnolo Cremasco,"Via Donatori del Sangue, 26010, Bagnolo Cremasco, Cremona","{'type': 'Point', 'coordinates': [9.617024265623346, 45.364919747741475]}","DONATORI SANGUE, Bagnolo Cremasco, Lombardia",POINT
F.P. - GATTOLINO,Bagnolo Cremasco,"Gattolino, Bagnolo Cremasco, Cremona","{'type': 'Point', 'coordinates': [9.629180000000076, 45.34984000000003]}","GATTOLINO, Bagnolo Cremasco, Lombardia",POINT
"F.P. - ANSELMI (Via Anselmi,  15 Bonemerse)",Bonemerse,"Via Alessandro Anselmi 15, 26040, Bonemerse, Cremona","{'type': 'Point', 'coordinates': [10.080941185959935, 45.114896556206354]}","ANSELMI (Via Anselmi,  15 Bonemerse), Bonemerse, Lombardia",POINT
F.P. - BORDOLANO - V. CALZI,Bordolano,"Via Carlo Calzi, 26020, Bordolano, Cremona","{'type': 'Point', 'coordinates': [9.987369813606914, 45.29501018720911]}","BORDOLANO - V. CALZI, Bordolano, Lombardia",POINT
F.P. - CA' D'ANDREA - PIAZZA della VITTORIA,Ca' d'Andrea,"Piazza della Vittoria, 26038, Torre de' Picenardi, Cremona","{'type': 'Point', 'coordinates': [10.2763552284218, 45.119640650981445]}","CA' D'ANDREA - PIAZZA della VITTORIA, Ca' d'Andrea, Lombardia",POINT
F.P. - CASANOVA D'OFFREDI - Via NENNI,Ca' d'Andrea,"Via Pietro Nenni, 26030, Torre de' Picenardi, Cremona","{'type': 'Point', 'coordinates': [10.289912474466236, 45.106588214315686]}","CASANOVA D'OFFREDI - Via NENNI, Ca' d'Andrea, Lombardia",POINT
F.P. - CALVATONE - VIA S. MARIA,Calvatone,"Via Santa Maria, 26030, Calvatone, Cremona","{'type': 'Point', 'coordinates': [10.438966471818988, 45.12924649060633]}","CALVATONE - VIA S. MARIA, Calvatone, Lombardia",POINT
F.P. - CAMISANO - P.zza MAGGIORE,Camisano,"Piazza Maggiore, 26010, Camisano, Cremona","{'type': 'Point', 'coordinates': [9.744431849064183, 45.44337669396924]}","CAMISANO - P.zza MAGGIORE, Camisano, Lombardia",POINT
F.P. - Capergnanica - S. MARTINO,Capergnanica,"Capergnanica, Cremona","{'type': 'Point', 'coordinates': [9.648580000000038, 45.33856000000003]}","Capergnanica - S. MARTINO, Capergnanica, Lombardia",POINT
F.P. - P.zza del MUNICIPIO,Cappella Cantone,"Piazza del Municipio, 26020, Cappella Cantone, Cremona","{'type': 'Point', 'coordinates': [9.83858382227016, 45.24636071188072]}","P.zza del MUNICIPIO, Cappella Cantone, Lombardia",POINT
F.P. - CAPPELLA P. - Via 25 Aprile- incr. V.ROMA,Cappella de' Picenardi,"Via 25 Aprile, 26030, Cappella de' Picenardi, Cremona","{'type': 'Point', 'coordinates': [10.23021821444871, 45.16080653014652]}","CAPPELLA P. - Via 25 Aprile- incr. V.ROMA, Cappella de' Picenardi, Lombardia",POINT
F.P. - P. EUROPA,Capralba,"Piazza Europa, 26010, Capralba, Cremona","{'type': 'Point', 'coordinates': [9.644757176895864, 45.44516192196466]}","P. EUROPA, Capralba, Lombardia",POINT
F.P. - P.ZZA M.SCAGLIA,Casalbuttano,Casalbuttano,"{'type': 'Point', 'coordinates': [9.964590000000044, 45.24851000000007]}","P.ZZA M.SCAGLIA, Casalbuttano, Lombardia",POINT
F.P. - POLENGO - V. XX SETTEMBRE,Casalbuttano,"Via 20 Settembre, 26011, Casalbuttano ed Uniti, Cremona","{'type': 'Point', 'coordinates': [9.962619556918861, 45.23670824558461]}","POLENGO - V. XX SETTEMBRE, Casalbuttano, Lombardia",POINT
F.P. - ROMA,Casale Cremasco,"Via Roma, 26010, Casale Cremasco-Vidolasco, Cremona","{'type': 'Point', 'coordinates': [9.713164148407163, 45.43370375213681]}","ROMA, Casale Cremasco, Lombardia",POINT
F.P. - VIDOLASCO - V.MINORE,Casale Cremasco,"Via Minore, 26010, Casale Cremasco-Vidolasco, Cremona","{'type': 'Point', 'coordinates': [9.712471748344845, 45.45213647682762]}","VIDOLASCO - V.MINORE, Casale Cremasco, Lombardia",POINT
F.P. - CASALETTO C. - MAZZINI,Casaletto Ceredano,"Via Giuseppe Mazzini, 26010, Casaletto Ceredano, Cremona","{'type': 'Point', 'coordinates': [9.62108674144034, 45.31765922054319]}","CASALETTO C. - MAZZINI, Casaletto Ceredano, Lombardia",POINT
F.P. - DON ALBINO DALL'OLMO,Casaletto Sopra,"Via Don Albino dall'Olmo, 26014, Casaletto di Sopra, Cremona","{'type': 'Point', 'coordinates': [9.782481673438182, 45.41774323182015]}","DON ALBINO DALL'OLMO, Casaletto Sopra, Lombardia",POINT
F.P. - CASALETTO VAPRIO - VIA STRADIVARI,Casaletto Vaprio,"Casaletto Vaprio, Cremona","{'type': 'Point', 'coordinates': [9.633940000000052, 45.40291000000008]}","CASALETTO VAPRIO - VIA STRADIVARI, Casaletto Vaprio, Lombardia",POINT
F.P. - ADDA,Casalmaggiore,"Via Adda, 26041, Casalmaggiore, Cremona","{'type': 'Point', 'coordinates': [10.425631431721893, 44.98794496861761]}","ADDA, Casalmaggiore, Lombardia",POINT
F.P. - AGOIOLO - V. BOVIO,Casalmaggiore,"Via Giovanni Bovio, 26041, Casalmaggiore, Cremona","{'type': 'Point', 'coordinates': [10.395994539527303, 45.00288430730437]}","AGOIOLO - V. BOVIO, Casalmaggiore, Lombardia",POINT
F.P. - C.COMMERC. PADANO,Casalmaggiore,Padano,"{'type': 'Point', 'coordinates': [10.428720057850217, 44.98071995167092]}","C.COMMERC. PADANO, Casalmaggiore, Lombardia",POINT
F.P. - CAIROLI,Casalmaggiore,"Via Fratelli Cairoli, 26041, Casalmaggiore, Cremona","{'type': 'Point', 'coordinates': [10.418497352543367, 44.981865998026166]}","CAIROLI, Casalmaggiore, Lombardia",POINT
F.P. - VICOBONEGHISIO - V. BELLINI,Casalmaggiore,"Vicoboneghisio, Casalmaggiore, Cremona","{'type': 'Point', 'coordinates': [10.424850000000049, 45.00948000000005]}","VICOBONEGHISIO - V. BELLINI, Casalmaggiore, Lombardia",POINT
F.P. - VICOMOSCANO - VIA MANZONI,Casalmaggiore,"Via Alessandro Manzoni, 26041, Casalmaggiore, Cremona","{'type': 'Point', 'coordinates': [10.441727845516036, 44.97566434136209]}","VICOMOSCANO - VIA MANZONI, Casalmaggiore, Lombardia",POINT
F.P. - MALOSSI,Casalmorano,"Via Malossi, 26020, Casalmorano, Cremona","{'type': 'Point', 'coordinates': [9.898732618575611, 45.28716159867317]}","MALOSSI, Casalmorano, Lombardia",POINT
F.P. - MIRABELLO - VIA OLDRAGHI,Casalmorano,"Via Oldraghi, 26020, Casalmorano, Cremona","{'type': 'Point', 'coordinates': [9.931667637004594, 45.282611498323014]}","MIRABELLO - VIA OLDRAGHI, Casalmorano, Lombardia",POINT
F.P. - Via ROMA ang. V. Monte Grappa,Castel Gabbiano,"Via Roma & Via Monte Grappa, 26010, Castel Gabbiano, Cremona","{'type': 'Point', 'coordinates': [9.715216500000002, 45.469647000000016]}","Via ROMA ang. V. Monte Grappa, Castel Gabbiano, Lombardia",POINT
F.P. - CASTELDIDONE - VIA ROMA,Casteldidone,"Casteldidone, Cremona","{'type': 'Point', 'coordinates': [10.405240000000049, 45.072550000000035]}","CASTELDIDONE - VIA ROMA, Casteldidone, Lombardia",POINT
F.P - FRAZ. LE VALLI,Castelleone,"Le Valli, Castelleone, Cremona","{'type': 'Point', 'coordinates': [9.767340000000047, 45.312490000000025]}","F.P - FRAZ. LE VALLI, Castelleone, Lombardia",POINT
F.P - VIA MIRABELLO - FRAZ. CORTEMADAMA,Castelleone,"Via Mirabello, 26012, Castelleone, Cremona","{'type': 'Point', 'coordinates': [9.77947989180609, 45.269663505297004]}","F.P - VIA MIRABELLO - FRAZ. CORTEMADAMA, Castelleone, Lombardia",POINT
F.P. - VIA FULCHERIA,Castelleone,"Via Fulcheria, 26012, Castelleone, Cremona","{'type': 'Point', 'coordinates': [9.757853513218016, 45.29895431497839]}","VIA FULCHERIA, Castelleone, Lombardia",POINT
F.P. - CASTELNUOVO DEL ZAPPA - VIA MANZONI,Castelverde,"Castelnuovo del Zappa, Castelverde, Cremona","{'type': 'Point', 'coordinates': [9.963750000000061, 45.19874000000004]}","CASTELNUOVO DEL ZAPPA - VIA MANZONI, Castelverde, Lombardia",POINT
F.P. - COSTA S. A. - V. AZZALI,Castelverde,"Castelverde, Cremona","{'type': 'Point', 'coordinates': [9.995820000000037, 45.18760000000003]}","COSTA S. A. - V. AZZALI, Castelverde, Lombardia",POINT
F.P. - LIVRASCO - VIA PASUBIO,Castelverde,"Via Pasubio, 26022, Castelverde, Cremona","{'type': 'Point', 'coordinates': [10.011195718455914, 45.192306124004666]}","LIVRASCO - VIA PASUBIO, Castelverde, Lombardia",POINT
F.P. - MARZALENGO - VIA PIAVE,Castelverde,"Marzalengo, Castelverde, Cremona","{'type': 'Point', 'coordinates': [9.997060000000033, 45.210590000000025]}","MARZALENGO - VIA PIAVE, Castelverde, Lombardia",POINT
F.P. - P.ZZA C. COLOMBO,Castelverde,"Piazza Cristoforo Colombo, 26022, Castelverde, Cremona","{'type': 'Point', 'coordinates': [9.990334547311903, 45.185513742114686]}","P.ZZA C. COLOMBO, Castelverde, Lombardia",POINT
F.P. - CASTELVISCONTI - VIA AZZANELLO,Castelvisconti,"Castelvisconti, Cremona","{'type': 'Point', 'coordinates': [9.939940000000036, 45.30457000000007]}","CASTELVISCONTI - VIA AZZANELLO, Castelvisconti, Lombardia",POINT
F.P. - CELLA DATI - MUNICIPIO - Via Roma,Cella Dati,"Via Roma, 26040, Cella Dati, Cremona","{'type': 'Point', 'coordinates': [10.223673185995823, 45.10532512904823]}","CELLA DATI - MUNICIPIO - Via Roma, Cella Dati, Lombardia",POINT
F.P. - CHIEVE - S.GIORGIO,Chieve,"Via San Giorgio, 26010, Chieve, Cremona","{'type': 'Point', 'coordinates': [9.615916103001148, 45.336156104622006]}","CHIEVE - S.GIORGIO, Chieve, Lombardia",POINT
F.P. - CICOGNOLO - P.ZA FADIGATI,Cicognolo,"Cicognolo, Cremona","{'type': 'Point', 'coordinates': [10.195830000000058, 45.16461000000004]}","CICOGNOLO - P.ZA FADIGATI, Cicognolo, Lombardia",POINT
F.P. - CINGIA - PIAZZA ROMA,Cingia de' Botti,"Piazza Roma, 26042, Cingia de' Botti, Cremona","{'type': 'Point', 'coordinates': [10.277602323291088, 45.08385303656046]}","CINGIA - PIAZZA ROMA, Cingia de' Botti, Lombardia",POINT
F.P. - VIDICETO,Cingia de' Botti,"Vidiceto, Cingia de' Botti, Cremona","{'type': 'Point', 'coordinates': [10.250700000000052, 45.08764000000008]}","VIDICETO, Cingia de' Botti, Lombardia",POINT
F.P. - ASPICE - P.zza I MAGGIO,Corte de'  Frati,"Piazza 1 Maggio, 26010, Corte de' Frati, Cremona","{'type': 'Point', 'coordinates': [10.107377966997147, 45.21971510370467]}","ASPICE - P.zza I MAGGIO, Corte de'  Frati, Lombardia",POINT
