alias_city,alias_address,georeferencingString,type
Acquanegra Cremonese,F.P. - FENGO - VIA GRUMELLO,"FENGO - VIA GRUMELLO, Acquanegra Cremonese, Lombardia",POINT
Agnadello,F.P. - BERINZAGA,"BERINZAGA, Agnadello, Lombardia",POINT
Annicco,F.P. - GRONTORTO - V. S. ANDREA,"GRONTORTO - V. S. ANDREA, Annicco, Lombardia",POINT
Annicco,F.P. - REPUBBLICA,"REPUBBLICA, Annicco, Lombardia",POINT
Azzanello,F.P. - AZZANELLO - VIA VALCARENGHI,"AZZANELLO - VIA VALCARENGHI, Azzanello, Lombardia",POINT
Bagnolo Cremasco,F.P. - DONATORI SANGUE,"DONATORI SANGUE, Bagnolo Cremasco, Lombardia",POINT
Bagnolo Cremasco,F.P. - GATTOLINO,"GATTOLINO, Bagnolo Cremasco, Lombardia",POINT
Bonemerse,"F.P. - ANSELMI (Via Anselmi,  15 Bonemerse)","ANSELMI (Via Anselmi,  15 Bonemerse), Bonemerse, Lombardia",POINT
Bordolano,F.P. - BORDOLANO - V. CALZI,"BORDOLANO - V. CALZI, Bordolano, Lombardia",POINT
Ca' d'Andrea,F.P. - CA' D'ANDREA - PIAZZA della VITTORIA,"CA' D'ANDREA - PIAZZA della VITTORIA, Ca' d'Andrea, Lombardia",POINT
Ca' d'Andrea,F.P. - CASANOVA D'OFFREDI - Via NENNI,"CASANOVA D'OFFREDI - Via NENNI, Ca' d'Andrea, Lombardia",POINT
Calvatone,F.P. - CALVATONE - VIA S. MARIA,"CALVATONE - VIA S. MARIA, Calvatone, Lombardia",POINT
Camisano,F.P. - CAMISANO - P.zza MAGGIORE,"CAMISANO - P.zza MAGGIORE, Camisano, Lombardia",POINT
Campagnola Cremasca,F.P. - CAMPAGNOLA C.SCA - PONTE RINO,"CAMPAGNOLA C.SCA - PONTE RINO, Campagnola Cremasca, Lombardia",POINT
Capergnanica,F.P. - Capergnanica - S. MARTINO,"Capergnanica - S. MARTINO, Capergnanica, Lombardia",POINT
Cappella Cantone,F.P. - P.zza del MUNICIPIO,"P.zza del MUNICIPIO, Cappella Cantone, Lombardia",POINT
Cappella de' Picenardi,F.P. - CAPPELLA P. - Via 25 Aprile- incr. V.ROMA,"CAPPELLA P. - Via 25 Aprile- incr. V.ROMA, Cappella de' Picenardi, Lombardia",POINT
Capralba,F.P. - P. EUROPA,"P. EUROPA, Capralba, Lombardia",POINT
Casalbuttano,F.P. - P.ZZA M.SCAGLIA,"P.ZZA M.SCAGLIA, Casalbuttano, Lombardia",POINT
Casalbuttano,F.P. - POLENGO - V. XX SETTEMBRE,"POLENGO - V. XX SETTEMBRE, Casalbuttano, Lombardia",POINT
Casale Cremasco,F.P. - ROMA,"ROMA, Casale Cremasco, Lombardia",POINT
Casale Cremasco,F.P. - VIDOLASCO - V.MINORE,"VIDOLASCO - V.MINORE, Casale Cremasco, Lombardia",POINT
Casaletto Ceredano,F.P. - CASALETTO C. - MAZZINI,"CASALETTO C. - MAZZINI, Casaletto Ceredano, Lombardia",POINT
Casaletto Sopra,F.P. - DON ALBINO DALL'OLMO,"DON ALBINO DALL'OLMO, Casaletto Sopra, Lombardia",POINT
Casaletto Vaprio,F.P. - CASALETTO VAPRIO - VIA STRADIVARI,"CASALETTO VAPRIO - VIA STRADIVARI, Casaletto Vaprio, Lombardia",POINT
Casalmaggiore,F.P. - ADDA,"ADDA, Casalmaggiore, Lombardia",POINT
Casalmaggiore,F.P. - AGOIOLO - V. BOVIO,"AGOIOLO - V. BOVIO, Casalmaggiore, Lombardia",POINT
Casalmaggiore,F.P. - C.COMMERC. PADANO,"C.COMMERC. PADANO, Casalmaggiore, Lombardia",POINT
Casalmaggiore,F.P. - CAIROLI,"CAIROLI, Casalmaggiore, Lombardia",POINT
Casalmaggiore,F.P. - VICOBONEGHISIO - V. BELLINI,"VICOBONEGHISIO - V. BELLINI, Casalmaggiore, Lombardia",POINT
Casalmaggiore,F.P. - VICOMOSCANO - VIA MANZONI,"VICOMOSCANO - VIA MANZONI, Casalmaggiore, Lombardia",POINT
Casalmorano,F.P. - MALOSSI,"MALOSSI, Casalmorano, Lombardia",POINT
Casalmorano,F.P. - MIRABELLO - VIA OLDRAGHI,"MIRABELLO - VIA OLDRAGHI, Casalmorano, Lombardia",POINT
Castel Gabbiano,F.P. - Via ROMA ang. V. Monte Grappa,"Via ROMA ang. V. Monte Grappa, Castel Gabbiano, Lombardia",POINT
Casteldidone,F.P. - CASTELDIDONE - VIA ROMA,"CASTELDIDONE - VIA ROMA, Casteldidone, Lombardia",POINT
Castelleone,F.P - FRAZ. LE VALLI,"F.P - FRAZ. LE VALLI, Castelleone, Lombardia",POINT
Castelleone,F.P - VIA MIRABELLO - FRAZ. CORTEMADAMA,"F.P - VIA MIRABELLO - FRAZ. CORTEMADAMA, Castelleone, Lombardia",POINT
Castelleone,F.P. - VIA FULCHERIA,"VIA FULCHERIA, Castelleone, Lombardia",POINT
Castelverde,F.P. - CASTELNUOVO DEL ZAPPA - VIA MANZONI,"CASTELNUOVO DEL ZAPPA - VIA MANZONI, Castelverde, Lombardia",POINT
Castelverde,F.P. - COSTA S. A. - V. AZZALI,"COSTA S. A. - V. AZZALI, Castelverde, Lombardia",POINT
Castelverde,F.P. - LIVRASCO - VIA PASUBIO,"LIVRASCO - VIA PASUBIO, Castelverde, Lombardia",POINT
Castelverde,F.P. - MARZALENGO - VIA PIAVE,"MARZALENGO - VIA PIAVE, Castelverde, Lombardia",POINT
Castelverde,F.P. - P.ZZA C. COLOMBO,"P.ZZA C. COLOMBO, Castelverde, Lombardia",POINT
Castelvisconti,F.P. - CASTELVISCONTI - VIA AZZANELLO,"CASTELVISCONTI - VIA AZZANELLO, Castelvisconti, Lombardia",POINT
Cella Dati,F.P. - CELLA DATI - MUNICIPIO - Via Roma,"CELLA DATI - MUNICIPIO - Via Roma, Cella Dati, Lombardia",POINT
Chieve,F.P. - CHIEVE - S.GIORGIO,"CHIEVE - S.GIORGIO, Chieve, Lombardia",POINT
Cicognolo,F.P. - CICOGNOLO - P.ZA FADIGATI,"CICOGNOLO - P.ZA FADIGATI, Cicognolo, Lombardia",POINT
Cingia de' Botti,F.P. - CINGIA - PIAZZA ROMA,"CINGIA - PIAZZA ROMA, Cingia de' Botti, Lombardia",POINT
Cingia de' Botti,F.P. - VIDICETO,"VIDICETO, Cingia de' Botti, Lombardia",POINT
Corte de'  Frati,F.P. - ASPICE - P.zza I MAGGIO,"ASPICE - P.zza I MAGGIO, Corte de'  Frati, Lombardia",POINT
Corte de'  Frati,F.P. - NOCI GARIONI - VIA VERDI,"NOCI GARIONI - VIA VERDI, Corte de'  Frati, Lombardia",POINT
Corte de' Cortesi,F.P. - CIGNONE - V. DALLA CHIESA,"CIGNONE - V. DALLA CHIESA, Corte de' Cortesi, Lombardia",POINT
Corte de' Cortesi,F.P. - Corte C. - Via L. BISSOLATI,"Corte C. - Via L. BISSOLATI, Corte de' Cortesi, Lombardia",POINT
