alias_address,alias_city,ammoniaca,arsenico,calcio,cloruro,conducibilita,cromo,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
C-Albonese - Via Manara Negrone dietro casa di,ALBONESE,<0.1,5.9,26,1,178,<0.2,03/02/2020,8,15,0.10,4.8,1,1,<0.05,7.6,0.48,110,9,<1
C-Bastida Pancarana - via G. del Bo -,BASTIDA PANCARANA,<0.1,<0.1,154,23,1006,<0.2,31/01/2020,54,46,0.10,38.9,7,<1,<0.05,7.0,2.5,624,24,89
C-Battuda,BATTUDA,<0.1,0.6,50,1,329,<0.2,27/01/2020,16,6,0.12,9.8,0,<1,<0.05,6.7,1.8,204,7,6
C-Belgioioso,BELGIOIOSO,<0.1,1.2,82,30,652,<0.2,27/01/2020,27,<0.5,0.10,16.2,1,1,<0.05,7.4,2.1,405,23,55
C-Borgarello,BORGARELLO,<0.1,<0.1,47,1,313,<0.2,27/01/2020,15,93,0.19,9.1,11,<1,<0.05,7.8,1.6,194,8,9
C-Breme - via Abbazia San Pietro -,BREME,<0.1,<0.1,33,12,295,<0.2,17/01/2020,11,16.5,0.08,6.8,0.8,<1,<0.05,7.0,1.2,183,23,<1
C-Bressana Bottarone,BRESSANA BOTTARONE,<0.1,<0.1,187,173,1568,<0.2,31/01/2020,71,3,0.29,59.1,1,6,<0.05,7.1,7.2,972,86,144
C-Candia Lomellina - Via Mazzini -,CANDIA LOMELLINA,<0.1,1.7,50,3,322,<0.2,03/02/2020,17,151,0.10,10.0,5,<1,<0.05,7.8,1.1,200,6,26
R-Colli Verdi - Canevino paese,CANEVINO,<0.1,3.1,68,15,483,<0.2,17/01/2020,22,1.5,0.11,13.4,0.5,4,<0.05,7.0,1.6,299,16,25
C-Carbonara al Ticino,CARBONARA AL TICINO,<0.1,3.0,68,5,443,<0.2,27/01/2020,23,1,0.09,13.5,1,1,<0.05,7.7,0.73,275,7,55
Verifica : PO0180399UIM04 - Castello d'Agogna-,CASTELLO D’AGOGNA,<0.1,4,24,<1,164,nan,27/06/2019,8,<5,nan,3.9,<5,1,<0.05,7.5,nan,102,nan,<1
CASTELNOVETTO,CASTELNOVETTO,nan,5.1,nan,nan,nan,nan,10/01/2020,nan,20.3,nan,nan,23.5,nan,nan,nan,nan,nan,nan,nan
R-Cava Manara via Giordano Bruno -,CAVA MANARA,<0.1,8.6,26,8,336,<0.2,20/01/2020,9,16.1,0.12,6.5,41.0,2,<0.05,7.6,0.70,209,40,16
C-Ceranova,CERANOVA,<0.1,1.5,35,1,243,<0.2,27/01/2020,12,6,0.09,7.2,2,<1,<0.05,7.5,1.5,150,8,4
CERETTO LOMELLINA,CERETTO LOMELLINA,<0.1,4,52,2,328,nan,01/08/2019,17,<5,nan,8.4,<5,<1,<0.05,7.4,nan,203,nan,17
Verifica : PO0180459UIM01 - Cergnago-out,CERGNAGO,<0.1,3,65,4,415,nan,31/05/2019,21,24,nan,12.5,<5,<1,<0.05,7.5,nan,257,nan,43
C-Certosa di Pavia Zona Monumento,CERTOSA DI PAVIA,<0.1,0.8,49,2,328,<0.2,13/01/2020,16,7.9,0.22,9.8,0.4,<1,<0.05,7.7,1.5,204,8,9
C-Cervesina - via Garibaldi,CERVESINA,<0.1,0.2,87,30,673,1.5,31/01/2020,30,3,0.15,20.9,0,10,<0.05,7.3,2.9,418,28,69
Verifica : PO0180509UIM03 - Cilavegna Via di,CILAVEGNA,<0.1,3,68,9,508,nan,01/08/2019,25,<5,nan,20.0,<5,5,<0.05,7.7,nan,315,nan,44
Verifica : PO0180529UIM02 - Confienza-out,CONFIENZA,<0.1,3,26,2,189,nan,31/05/2019,8,8,nan,4.5,<5,1,<0.05,7.4,nan,117,nan,<1
C-Cornale e Bastida - via Giuseppe Garibaldi -,CORNALE,<0.1,<0.1,147,21,920,<0.2,31/01/2020,51,37,0.11,34.3,3,<1,<0.05,6.9,2.9,570,20,130
C-Corteolona e Genzone - via De Gasperi -,CORTEOLONA,<0.1,3.3,49,4,344,<0.2,27/01/2020,16,1,0.08,10.3,<0.1,<1,<0.05,7.4,1.4,213,12,9
C-Corvino San Quirico - via Marconi -,CORVINO SAN QUIRICO,<0.1,0.3,166,118,1416,6.2,27/01/2020,62,21,0.26,49.3,0,42,<0.05,7.2,4.4,878,65,136
C-Cura Carpignano,CURA CARPIGNANO,<0.1,0.3,38,1,257,<0.2,27/01/2020,13,3,0.08,7.4,0,<1,<0.05,7.9,1.3,160,8,4
C-Belgioioso,FILIGHERA,<0.1,1.2,82,30,652,<0.2,27/01/2020,27,<0.5,0.10,16.2,1,1,<0.05,7.4,2.1,405,23,55
C-Corteolona e Genzone - via De Gasperi -,GENZONE,<0.1,3.3,49,4,344,<0.2,27/01/2020,16,1,0.08,10.3,<0.1,<1,<0.05,7.4,1.4,213,12,9
C-Gerenzago - via Inverno - SE0180719U0001,GERENZAGO,<0.1,2.9,38,2,262,<0.2,27/01/2020,12,5,0.06,7.2,1,<1,<0.05,7.6,1.5,163,7,3
C-Giussago,GIUSSAGO,<0.1,0.1,54,2,369,0.3,27/01/2020,18,4,0.12,11.6,1,<1,<0.05,7.6,1.3,229,6,18
"C-Giussago - Piazza del Volontariato, 1 -",GIUSSAGO,<0.1,0.1,49,2,337,<0.2,27/01/2020,17,140,0.14,10.4,30,<1,<0.05,7.7,1.4,209,8,8
"C-Giussago - Via Giuseppe Garibaldi, 38 -",GIUSSAGO,<0.1,0.3,50,3,358,<0.2,27/01/2020,18,9,0.21,12.3,0,<1,<0.05,7.2,1.5,222,9,13
GODIASCO,GODIASCO,<0.1,0.5,143,43,1132,0.3,31/01/2020,54,3,0.30,45.4,1,25,<0.05,7.1,5.0,702,44,188
R-Godiasco Salice Terme - strada Cá Garello,GODIASCO,<0.1,0.1,135,31,832,2.1,31/01/2020,42,5,0.12,19.6,0,37,<0.05,7.2,1.9,516,20,53
GOLFERENZO,GOLFERENZO,<0.1,2.0,91,24,659,0.2,17/01/2020,31,53.8,0.16,18.8,1.7,7,<0.05,6.8,1.8,408,21,59
