alias_address,alias_city,geocode,geometry,georeferencingString,type
ALAGNA,ALAGNA,"Alagna, PV","{'type': 'Point', 'coordinates': [8.891530000000046, 45.17136000000005]}","ALAGNA, PV",POINT
ALBAREDO ARNABOLDI,ALBAREDO ARNABOLDI,"Albaredo Arnaboldi, PV","{'type': 'Point', 'coordinates': [9.240930000000048, 45.11214000000007]}","ALBAREDO ARNABOLDI, PV",POINT
C-Albonese - Via Manara Negrone dietro casa di,ALBONESE,Albonese,"{'type': 'Point', 'coordinates': [8.706240000000037, 45.29382000000004]}","C-Albonese - Via Manara Negrone dietro casa di, PV",POINT
ALBUZZANO,ALBUZZANO,"Albuzzano, PV","{'type': 'Point', 'coordinates': [9.268230000000074, 45.187940000000026]}","ALBUZZANO, PV",POINT
ARENA PO,ARENA PO,"Arena Po, PV","{'type': 'Point', 'coordinates': [9.361790000000042, 45.09393000000006]}","ARENA PO, PV",POINT
BADIA PAVESE,BADIA PAVESE,"Badia Pavese, PV","{'type': 'Point', 'coordinates': [9.468560000000025, 45.121500000000026]}","BADIA PAVESE, PV",POINT
BAGNARIA,BAGNARIA,"Bagnaria, PV","{'type': 'Point', 'coordinates': [9.121800000000064, 44.826910000000055]}","BAGNARIA, PV",POINT
BARBIANELLO,BARBIANELLO,"Barbianello, PV","{'type': 'Point', 'coordinates': [9.205610000000036, 45.07601000000005]}","BARBIANELLO, PV",POINT
BASCAPE’,BASCAPE’,"Bascapè, PV","{'type': 'Point', 'coordinates': [9.312230000000056, 45.307990000000075]}","BASCAPE’, PV",POINT
C-Bastida Pancarana - via G. del Bo -,BASTIDA PANCARANA,"Via Giuseppe del Bo', 27061, Bastida Pancarana, Pavia","{'type': 'Point', 'coordinates': [9.077961412670616, 45.0820499816541]}","C-Bastida Pancarana - via G. del Bo -, PV",POINT
C-Battuda,BATTUDA,"Battuda, PV","{'type': 'Point', 'coordinates': [9.076690000000042, 45.274650000000065]}","C-Battuda, PV",POINT
C-Belgioioso,BELGIOIOSO,"Belgioioso, PV","{'type': 'Point', 'coordinates': [9.314700000000073, 45.15958000000006]}","C-Belgioioso, PV",POINT
BEREGUARDO,BEREGUARDO,"Bereguardo, PV","{'type': 'Point', 'coordinates': [9.027310000000057, 45.25759000000005]}","BEREGUARDO, PV",POINT
C-Borgarello,BORGARELLO,"Borgarello, PV","{'type': 'Point', 'coordinates': [9.134840000000054, 45.24114000000003]}","C-Borgarello, PV",POINT
BORGO PRIOLO,BORGO PRIOLO,"Borgo Priolo, PV","{'type': 'Point', 'coordinates': [9.147410000000036, 44.966630000000066]}","BORGO PRIOLO, PV",POINT
BORGO SAN SIRO,BORGO SAN SIRO,"Borgo San Siro, PV","{'type': 'Point', 'coordinates': [8.915500000000065, 45.23670000000004]}","BORGO SAN SIRO, PV",POINT
BORGORATTO MORMOROLO,BORGORATTO MORMOROLO,"Borgoratto Mormorolo, PV","{'type': 'Point', 'coordinates': [9.190570000000037, 44.92971000000006]}","BORGORATTO MORMOROLO, PV",POINT
BORNASCO,BORNASCO,"Bornasco, PV","{'type': 'Point', 'coordinates': [9.218740000000025, 45.26618000000008]}","BORNASCO, PV",POINT
BOSNASCO,BOSNASCO,"Bosnasco, PV","{'type': 'Point', 'coordinates': [9.358900000000062, 45.065690000000075]}","BOSNASCO, PV",POINT
BRALLO DI PREGOLA,BRALLO DI PREGOLA,"Brallo di Pregola, PV","{'type': 'Point', 'coordinates': [9.281160000000057, 44.73810000000003]}","BRALLO DI PREGOLA, PV",POINT
C-Breme - via Abbazia San Pietro -,BREME,"Via Abbazia San Pietro, 27020, Breme, PV","{'type': 'Point', 'coordinates': [8.621689917207531, 45.127406175486776]}","C-Breme - via Abbazia San Pietro -, PV",POINT
C-Bressana Bottarone,BRESSANA BOTTARONE,"Bressana Bottarone, PV","{'type': 'Point', 'coordinates': [9.123500000000035, 45.080130000000054]}","C-Bressana Bottarone, PV",POINT
BRONI,BRONI,"Broni, PV","{'type': 'Point', 'coordinates': [9.266180000000077, 45.06889000000007]}","BRONI, PV",POINT
CALVIGNANO,CALVIGNANO,"Calvignano, PV","{'type': 'Point', 'coordinates': [9.168710000000033, 44.98270000000008]}","CALVIGNANO, PV",POINT
C-Candia Lomellina - Via Mazzini -,CANDIA LOMELLINA,"Candia Lomellina, PV","{'type': 'Point', 'coordinates': [8.592160000000035, 45.17779000000007]}","C-Candia Lomellina - Via Mazzini -, PV",POINT
R-Colli Verdi - Canevino paese,CANEVINO,"Canevino, Colli Verdi, Pavia","{'type': 'Point', 'coordinates': [9.27735000000007, 44.93750000000006]}","R-Colli Verdi - Canevino paese, PV",POINT
CANNETO PAVESE,CANNETO PAVESE,"Canneto Pavese, PV","{'type': 'Point', 'coordinates': [9.281490000000076, 45.05177000000003]}","CANNETO PAVESE, PV",POINT
C-Carbonara al Ticino,CARBONARA AL TICINO,"Carbonara al Ticino, PV","{'type': 'Point', 'coordinates': [9.061800000000062, 45.16579000000007]}","C-Carbonara al Ticino, PV",POINT
CASATISMA,CASATISMA,"Casatisma, PV","{'type': 'Point', 'coordinates': [9.128810000000044, 45.047210000000064]}","CASATISMA, PV",POINT
CASEI GEROLA,CASEI GEROLA,"Casei Gerola, PV","{'type': 'Point', 'coordinates': [8.924190000000067, 45.006740000000036]}","CASEI GEROLA, PV",POINT
CASORATE PRIMO,CASORATE PRIMO,"Casorate Primo, PV","{'type': 'Point', 'coordinates': [9.019010000000037, 45.31227000000007]}","CASORATE PRIMO, PV",POINT
CASSOLNOVO,CASSOLNOVO,"Cassolnovo, PV","{'type': 'Point', 'coordinates': [8.808480000000031, 45.36429000000004]}","CASSOLNOVO, PV",POINT
CASTANA,CASTANA,"Castana, PV","{'type': 'Point', 'coordinates': [9.271220000000028, 45.027570000000026]}","CASTANA, PV",POINT
CASTEGGIO,CASTEGGIO,"Casteggio, PV","{'type': 'Point', 'coordinates': [9.127490000000023, 45.01306000000005]}","CASTEGGIO, PV",POINT
CASTELLETTO DI BRANDUZZO,CASTELLETTO DI BRANDUZZO,"Castelletto di Branduzzo, PV","{'type': 'Point', 'coordinates': [9.09874000000002, 45.072280000000035]}","CASTELLETTO DI BRANDUZZO, PV",POINT
Verifica : PO0180399UIM04 - Castello d'Agogna-,CASTELLO D’AGOGNA,"Castello d'Agogna, PV","{'type': 'Point', 'coordinates': [8.688090000000045, 45.23550000000006]}","Verifica : PO0180399UIM04 - Castello d'Agogna-, PV",POINT
CASTELNOVETTO,CASTELNOVETTO,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
R-Cava Manara via Giordano Bruno -,CAVA MANARA,"Via Giordano Bruno, 27051, Cava Manara, Pavia","{'type': 'Point', 'coordinates': [9.104511196832375, 45.13974730616441]}","R-Cava Manara via Giordano Bruno -, PV",POINT
CECIMA,CECIMA,"Cecima, PV","{'type': 'Point', 'coordinates': [9.08233000000007, 44.851870000000076]}","CECIMA, PV",POINT
C-Ceranova,CERANOVA,"Ceranova, PV","{'type': 'Point', 'coordinates': [9.242270000000076, 45.25938000000008]}","C-Ceranova, PV",POINT
CERETTO LOMELLINA,CERETTO LOMELLINA,"PV, País Vasco","{'type': 'Point', 'coordinates': [-2.617003246999957, 43.04317555400007]}",", PV",POINT
