alias_city,alias_address,georeferencingString,type
ALAGNA,ALAGNA,"ALAGNA, PV",POINT
ALBAREDO ARNABOLDI,ALBAREDO ARNABOLDI,"ALBAREDO ARNABOLDI, PV",POINT
ALBONESE,C-Albonese - Via Manara Negrone dietro casa di,"C-Albonese - Via Manara Negrone dietro casa di, PV",POINT
ALBUZZANO,ALBUZZANO,"ALBUZZANO, PV",POINT
ARENA PO,ARENA PO,"ARENA PO, PV",POINT
BADIA PAVESE,BADIA PAVESE,"BADIA PAVESE, PV",POINT
BAGNARIA,BAGNARIA,"BAGNARIA, PV",POINT
BARBIANELLO,BARBIANELLO,"BARBIANELLO, PV",POINT
BASCAPE’,BASCAPE’,"BASCAPE’, PV",POINT
BASTIDA PANCARANA,C-Bastida Pancarana - via G. del Bo -,"C-Bastida Pancarana - via G. del Bo -, PV",POINT
BATTUDA,C-Battuda,"C-Battuda, PV",POINT
BELGIOIOSO,C-Belgioioso,"C-Belgioioso, PV",POINT
BEREGUARDO,BEREGUARDO,"BEREGUARDO, PV",POINT
BORGARELLO,C-Borgarello,"C-Borgarello, PV",POINT
BORGO PRIOLO,BORGO PRIOLO,"BORGO PRIOLO, PV",POINT
BORGO SAN SIRO,BORGO SAN SIRO,"BORGO SAN SIRO, PV",POINT
BORGORATTO MORMOROLO,BORGORATTO MORMOROLO,"BORGORATTO MORMOROLO, PV",POINT
BORNASCO,BORNASCO,"BORNASCO, PV",POINT
BOSNASCO,BOSNASCO,"BOSNASCO, PV",POINT
BRALLO DI PREGOLA,BRALLO DI PREGOLA,"BRALLO DI PREGOLA, PV",POINT
BREME,C-Breme - via Abbazia San Pietro -,"C-Breme - via Abbazia San Pietro -, PV",POINT
BRESSANA BOTTARONE,C-Bressana Bottarone,"C-Bressana Bottarone, PV",POINT
BRONI,BRONI,"BRONI, PV",POINT
CALVIGNANO,CALVIGNANO,"CALVIGNANO, PV",POINT
CANDIA LOMELLINA,C-Candia Lomellina - Via Mazzini -,"C-Candia Lomellina - Via Mazzini -, PV",POINT
CANEVINO,R-Colli Verdi - Canevino paese,"R-Colli Verdi - Canevino paese, PV",POINT
CANNETO PAVESE,CANNETO PAVESE,"CANNETO PAVESE, PV",POINT
CARBONARA AL TICINO,C-Carbonara al Ticino,"C-Carbonara al Ticino, PV",POINT
CASATISMA,CASATISMA,"CASATISMA, PV",POINT
CASEI GEROLA,CASEI GEROLA,"CASEI GEROLA, PV",POINT
CASORATE PRIMO,CASORATE PRIMO,"CASORATE PRIMO, PV",POINT
CASSOLNOVO,CASSOLNOVO,"CASSOLNOVO, PV",POINT
CASTANA,CASTANA,"CASTANA, PV",POINT
CASTEGGIO,CASTEGGIO,"CASTEGGIO, PV",POINT
CASTELLETTO DI BRANDUZZO,CASTELLETTO DI BRANDUZZO,"CASTELLETTO DI BRANDUZZO, PV",POINT
