alias_city,alias_address,urlReport
ALAGNA,ALAGNA,http://www.paviaacque.it/wp-content/uploads/2017/11/Alagna-3.pdf
ALBAREDO ARNABOLDI,ALBAREDO ARNABOLDI,http://www.paviaacque.it/wp-content/uploads/2017/11/Albaredo_Arnaboldi.pdf
ALBONESE,C-Albonese - Via Manara Negrone dietro casa di,http://www.paviaacque.it/wp-content/uploads/2017/11/Albonese-4.pdf
ALBUZZANO,ALBUZZANO,http://www.paviaacque.it/wp-content/uploads/2017/11/albuzzano-dicembre-2019.pdf
ARENA PO,ARENA PO,http://www.paviaacque.it/wp-content/uploads/2017/11/Portalbera-Durina-1.pdf
BADIA PAVESE,BADIA PAVESE,http://www.paviaacque.it/wp-content/uploads/2017/11/badia-pavese-dicembre-2019.pdf
BAGNARIA,BAGNARIA,http://www.paviaacque.it/wp-content/uploads/2017/11/Bagnaria-1.pdf
BARBIANELLO,BARBIANELLO,http://www.paviaacque.it/wp-content/uploads/2017/11/Barbianello-1.pdf
BASCAPE’,BASCAPE’,http://www.paviaacque.it/wp-content/uploads/2017/11/bascape-dicembre-2019.pdf
BASTIDA PANCARANA,C-Bastida Pancarana - via G. del Bo -,http://www.paviaacque.it/wp-content/uploads/2017/11/Bastida-Pancarana.pdf
BATTUDA,C-Battuda,http://www.paviaacque.it/wp-content/uploads/2017/11/Battuda-3.pdf
BELGIOIOSO,C-Belgioioso,http://www.paviaacque.it/wp-content/uploads/2019/05/Belgioioso-1.pdf
BEREGUARDO,BEREGUARDO,http://www.paviaacque.it/wp-content/uploads/2017/11/Bereguardo-2.pdf
BORGARELLO,C-Borgarello,http://www.paviaacque.it/wp-content/uploads/2017/11/Borgarello-3.pdf
BORGO PRIOLO,BORGO PRIOLO,http://www.paviaacque.it/wp-content/uploads/2017/11/Borgo_Priolo-4.pdf
BORGO SAN SIRO,BORGO SAN SIRO,http://www.paviaacque.it/wp-content/uploads/2017/11/Borgo_San_Siro-2.pdf
BORGORATTO MORMOROLO,BORGORATTO MORMOROLO,http://www.paviaacque.it/wp-content/uploads/2017/11/Borgoratto_Mormorolo.pdf
BORNASCO,BORNASCO,http://www.paviaacque.it/wp-content/uploads/2017/11/Bornasco-4.pdf
BOSNASCO,BOSNASCO,http://www.paviaacque.it/wp-content/uploads/2017/11/Bosnasco-1.pdf
BRALLO DI PREGOLA,BRALLO DI PREGOLA,http://www.paviaacque.it/wp-content/uploads/2017/11/Brallo_di_Pregola.pdf
BREME,C-Breme - via Abbazia San Pietro -,http://www.paviaacque.it/wp-content/uploads/2017/11/Breme-3.pdf
BRESSANA BOTTARONE,C-Bressana Bottarone,http://www.paviaacque.it/wp-content/uploads/2017/11/Bressana-Bottorane.pdf
BRONI,BRONI,http://www.paviaacque.it/wp-content/uploads/2017/11/Broni-3.pdf
CALVIGNANO,CALVIGNANO,http://www.paviaacque.it/wp-content/uploads/2017/11/Calvignano.pdf
CANDIA LOMELLINA,C-Candia Lomellina - Via Mazzini -,http://www.paviaacque.it/wp-content/uploads/2017/11/Candia-10.pdf
CANEVINO,R-Colli Verdi - Canevino paese,http://www.paviaacque.it/wp-content/uploads/2017/11/Canevino-1.pdf
CANNETO PAVESE,CANNETO PAVESE,http://www.paviaacque.it/wp-content/uploads/2017/11/Portalbera-Durina-2.pdf
