alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Fontana Piazza S.Marco,Albaredo per San Marco,<0.05,1.9,30.7,5.5,<0.010,0.6,56,Analisi effettuata il 30/01/2019,2.1(1.2),<0.10,1.7,<0.5,2.1,<0.05,7.1,1.4,42,2.7,7.9
Fontana Via Caselle,Albosaggia,<0.05,1.1,73.2,19.8,<0.010,<0.5,150,Analisi effettuata il 24/07/2019,7.3(4.1),<0.10,5.7,<0.5,2.4,<0.05,7.6,1.3,113,2.0,22.8
Fontana Via Coltra,Albosaggia,<0.05,0.9,69.3,18.9,<0.010,1.0,146,Analisi effettuata il 24/07/2019,7.0(3.9),0.10,5.6,<0.5,1.9,<0.05,7.5,1.3,110,2.5,20.7
Fontana Via Moia,Albosaggia,<0.05,0.6,35.6,9.8,<0.010,0.6,86,Analisi effettuata il 24/07/2019,3.6(2.0),<0.10,2.9,<0.5,1.6,<0.05,7.3,1.0,65,2.6,16.4
Fontana Loc.tà Ca' Boscacci,Albosaggia,<0.05,<0.5,18.2,3.1,<0.010,2.0,44,Analisi effettuata il 24/07/2019,1.7(0.9),<0.10,2.3,<0.5,1.7,<0.05,7.0,0.8,33,1.9,5.3
Fontana Via Vanoni,Andalo Valtellino,<0.05,0.5,21.0,5.3,<0.010,<0.5,48,Analisi effettuata il 03/07/2019,1.8(1.0),<0.10,1.1,<0.5,3.9,<0.05,7.5,1.3,36,1.4,6.6
Fontana loc. Dosso,Aprica,<0.05,5.0,27.7,7.2,<0.010,0.6,64,Analisi effettuata il 16/07/2019,2.7(1.5),<0.10,2.3,2.3,1.0,<0.05,7.1,0.5,48,1.8,12.9
Fontana Via Liscedo,Aprica,<0.05,6.9,28.3,7.3,<0.010,0.6,64,Analisi effettuata il 16/07/2019,2.8(1.6),<0.10,2.3,<0.5,1.0,<0.05,7.2,0.5,48,1.8,13.2
Fontana Via Europa-S.Pietro,Aprica,<0.05,7.0,28.7,7.4,<0.010,0.6,64,Analisi effettuata il 16/07/2019,2.8(1.6),<0.10,2.3,<0.5,1.0,<0.05,7.2,0.5,48,1.8,13.4
Fontana Via Italia,Aprica,<0.05,5.9,32.4,8.2,<0.010,1.2,77,Analisi effettuata il 16/07/2018,3.0(1.7),<0.10,2.4,0.6,1.1,<0.05,7.4,0.8,58,2.2,15.0
Fontana Via Liscidini,Aprica,<0.05,6.0,30.8,8.0,<0.010,0.9,77,Analisi effettuata il 16/07/2018,3.0(1.7),<0.10,2.4,1.7,1.0,<0.05,7.4,0.5,58,1.9,15.0
Fontana Via Morano,Ardenno,<0.05,<0.5,23.3,6.7,<0.010,<0.5,58,Analisi effettuata il 08/08/2019,2.2(1.2),<0.10,1.2,<0.5,2.9,<0.05,7.4,1.6,44,1.9,7.1
Fontana Via Visconti Venosta / Via Guasto,Ardenno,<0.05,<0.5,23.3,6.9,<0.010,<0.5,56,Analisi effettuata il 08/08/2019,2.2(1.2),<0.10,1.2,<0.5,2.9,<0.05,7.4,1.5,42,1.8,6.9
Fontana Loc Gaggio,Ardenno,<0.05,<0.5,32.4,11.1,<0.010,0.8,82,Analisi effettuata il 08/08/2019,3.6(2.0),0.13,1.9,<0.5,2.6,<0.05,7.3,2.3,62,2.9,10.5
Fontana Loc. Biolo,Ardenno,<0.05,<0.5,24.8,7.1,<0.010,<0.5,58,Analisi effettuata il 08/08/2019,2.3(1.3),<0.10,1.2,<0.5,2.8,<0.05,7.5,1.4,44,1.7,6.8
Fontana Loc. Masino,Ardenno,<0.05,<0.5,22.6,6.8,<0.010,<0.5,57,Analisi effettuata il 08/08/2019,2.2(1.2),<0.10,1.3,<0.5,3.0,<0.05,7.4,1.8,43,1.8,7.0
