alias_address,alias_city,geocode,geometry,georeferencingString,type
Fontana Campo Coni (Parcheggio),Sondrio,"Viale dello Stadio, 23100, Sondrio","{'type': 'Point', 'coordinates': [9.853509657623333, 46.16646082257187]}","Via Stadio, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Fenile,Gerola Alta,"Via Fenile, 23010, Gerola Alta, Sondrio","{'type': 'Point', 'coordinates': [9.559702,46.049150]}","Via Fenile, 23010, Gerola Alta, Sondrio",POINT
Fontana Cimitero,Piantedo,"Piantedo, Sondrio","{'type': 'Point', 'coordinates': [9.430520000000058, 46.13435000000004]}","Piantedo, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Fontane,Valdisotto,"Località Fontane, 23030, Valdisotto, Sondrio","{'type': 'Point', 'coordinates': [10.34575494994588, 46.41178640587597]}","località  fontane, Valdisotto, Sondrio, Lombardia, Italia",POINT
Fontana Via Roma (Chiesa),Cedrasco,"Via Roma, 23010, Cedrasco, Sondrio","{'type': 'Point', 'coordinates': [9.765306483572045, 46.148693093157526]}","via roma (chiesa), Cedrasco, Sondrio, Lombardia, Italia",POINT
Fontana Piazzale Toccalli,Sondrio,"Piazzale Attilio Toccalli, 23100, Sondrio","{'type': 'Point', 'coordinates': [9.86580311704768, 46.17031015101896]}","piazzale toccalli, Sondrio, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Marveggia,Spriana,"Strada Vicinale di Marveggia, 23020, Spriana, Sondrio","{'type': 'Point', 'coordinates': [9.86286022684244, 46.22531929024288]}","località  marveggia, Spriana, Sondrio, Lombardia, Italia",POINT
Serbatoio Bongetti,Teglio,"Teglio, Sondrio","{'type': 'Point', 'coordinates': [10.07134000000002, 46.17064000000005]}","serbatoio bongetti, Teglio, Sondrio, Lombardia, Italia",POINT
Fontana Piazza S.Marco,Albaredo per San Marco,"Via San Marco, 23010, Albaredo per San Marco, Sondrio","{'type': 'Point', 'coordinates': [9.588543172698909, 46.10446894129366]}","piazza s.marco, Albaredo per San Marco, Sondrio, Lombardia, Italia",POINT
Fontana Via Caselle,Albosaggia,"Via Caselle, 23010, Albosaggia, Sondrio","{'type': 'Point', 'coordinates': [9.84112665054406, 46.15922175901556]}","via caselle, Albosaggia, Sondrio, Lombardia, Italia",POINT
Fontana Via Coltra,Albosaggia,"Via Coltra, 23010, Albosaggia, Sondrio","{'type': 'Point', 'coordinates': [9.852042568834174, 46.15937360141479]}","via coltra, Albosaggia, Sondrio, Lombardia, Italia",POINT
Fontana Via Moia,Albosaggia,"Via Moia, 23010, Albosaggia, Sondrio","{'type': 'Point', 'coordinates': [9.881745057809932, 46.15442571900489]}","via moia, Albosaggia, Sondrio, Lombardia, Italia",POINT
Fontana Loc.tà Ca' Boscacci,Albosaggia,"Via Boscacci, 23010, Albosaggia, Sondrio","{'type': 'Point', 'coordinates': [9.847359154002536, 46.158534924015115]}","località tà ca' boscacci, Albosaggia, Sondrio, Lombardia, Italia",POINT
Fontana Via Vanoni,Andalo Valtellino,"Via Vanoni, 23014, Andalo Valtellino, Sondrio","{'type': 'Point', 'coordinates': [9.471960108814683, 46.13628464608904]}","via vanoni, Andalo Valtellino, Sondrio, Lombardia, Italia",POINT
Fontana loc. Dosso,Aprica,"Via Dosso, 23031, Aprica, Sondrio","{'type': 'Point', 'coordinates': [10.14961747347478, 46.15469913813512]}","località  dosso, Aprica, Sondrio, Lombardia, Italia",POINT
Fontana Via Liscedo,Aprica,"Via Liscedo, 23031, Aprica, Sondrio","{'type': 'Point', 'coordinates': [10.12604764471673, 46.14911153132065]}","via liscedo, Aprica, Sondrio, Lombardia, Italia",POINT
Fontana Via Europa-S.Pietro,Aprica,"Via Europa, 23031, Aprica, Sondrio","{'type': 'Point', 'coordinates': [10.155200019948923, 46.1534334457935]}","via europa-s.pietro, Aprica, Sondrio, Lombardia, Italia",POINT
Fontana Via Italia,Aprica,"Via Italia, 23031, Aprica, Sondrio","{'type': 'Point', 'coordinates': [10.143840803259808, 46.15148917003364]}","via italia, Aprica, Sondrio, Lombardia, Italia",POINT
Fontana Via Liscidini,Aprica,"Via Liscidini, 23031, Aprica, Sondrio","{'type': 'Point', 'coordinates': [10.132234851819597, 46.149316755292176]}","via liscidini, Aprica, Sondrio, Lombardia, Italia",POINT
Fontana Via Morano,Ardenno,"Via Morano, 23011, Ardenno, Sondrio","{'type': 'Point', 'coordinates': [9.658318715440414, 46.17466826278456]}","via morano, Ardenno, Sondrio, Lombardia, Italia",POINT
Fontana Via Visconti Venosta / Via Guasto,Ardenno,"Via Visconti Venosta, 23011, Ardenno, Sondrio","{'type': 'Point', 'coordinates': [9.657272459741629, 46.173312148727646]}","via visconti venosta / via guasto, Ardenno, Sondrio, Lombardia, Italia",POINT
Fontana Loc Gaggio,Ardenno,"Via Gaggio, 23011, Ardenno, Sondrio","{'type': 'Point', 'coordinates': [9.657018454886662, 46.180484633474]}","località gaggio, Ardenno, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Biolo,Ardenno,"Via Biolo, 23011, Ardenno, Sondrio","{'type': 'Point', 'coordinates': [9.624140999999991, 46.171399500000014]}","località  biolo, Ardenno, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Masino,Ardenno,"Masino, Ardenno, Sondrio","{'type': 'Point', 'coordinates': [9.64447000000007, 46.16482000000008]}","località  masino, Ardenno, Sondrio, Lombardia, Italia",POINT
Fontana Via Roma,Bema,"Via Roma, 23010, Bema, Sondrio","{'type': 'Point', 'coordinates': [9.5642679556576, 46.107153079233164]}","via roma, Bema, Sondrio, Lombardia, Italia",POINT
Fontana Centro (Municipio),Berbenno,Municipio di Berbenno di Valtellina,"{'type': 'Point', 'coordinates': [9.742380000000026, 46.16886000000005]}","centro (municipio), Berbenno, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Polaggia (Chiesa),Berbenno,"Polaggia, Berbenno di Valtellina, Sondrio","{'type': 'Point', 'coordinates': [9.762060000000076, 46.169790000000035]}","località  polaggia (chiesa), Berbenno, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Pedemonte,Berbenno,"Via Pedemonte, 23030, Valdisotto, Sondrio","{'type': 'Point', 'coordinates': [10.351625412920743, 46.42790552289359]}","località  pedemonte, Berbenno, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Prato Maslino,Berbenno,"Località Prato, 23020, Torre di Santa Maria, Sondrio","{'type': 'Point', 'coordinates': [9.861130333065955, 46.219510714973296]}","località  prato maslino, Berbenno, Sondrio, Lombardia, Italia",POINT
Fontana Piazza Vanoni (Municipio),Bianzone,"Piazza Ezio Vanoni, 23030, Bianzone, Sondrio","{'type': 'Point', 'coordinates': [10.107133148124786, 46.18688240750087]}","piazza vanoni (municipio), Bianzone, Sondrio, Lombardia, Italia",POINT
Fontana Loc. Prada,Bianzone,"Via Prada, 23030, Bianzone, Sondrio","{'type': 'Point', 'coordinates': [10.108183487319993, 46.192276014901935]}","località  prada, Bianzone, Sondrio, Lombardia, Italia",POINT
