alias_city,alias_address,georeferencingString,type
Albaredo per San Marco,Fontana Piazza S.Marco,"piazza s.marco, Albaredo per San Marco, Sondrio, Lombardia, Italia",POINT
Albosaggia,Fontana Via Caselle,"via caselle, Albosaggia, Sondrio, Lombardia, Italia",POINT
Albosaggia,Fontana Via Coltra,"via coltra, Albosaggia, Sondrio, Lombardia, Italia",POINT
Albosaggia,Fontana Via Moia,"via moia, Albosaggia, Sondrio, Lombardia, Italia",POINT
Albosaggia,Fontana Loc.tà Ca' Boscacci,"località tà ca' boscacci, Albosaggia, Sondrio, Lombardia, Italia",POINT
Andalo Valtellino,Fontana Via Vanoni,"via vanoni, Andalo Valtellino, Sondrio, Lombardia, Italia",POINT
Aprica,Fontana loc. Dosso,"località  dosso, Aprica, Sondrio, Lombardia, Italia",POINT
Aprica,Fontana Via Liscedo,"via liscedo, Aprica, Sondrio, Lombardia, Italia",POINT
Aprica,Fontana Via Europa-S.Pietro,"via europa-s.pietro, Aprica, Sondrio, Lombardia, Italia",POINT
Aprica,Fontana Via Italia,"via italia, Aprica, Sondrio, Lombardia, Italia",POINT
Aprica,Fontana Via Liscidini,"via liscidini, Aprica, Sondrio, Lombardia, Italia",POINT
Ardenno,Fontana Via Morano,"via morano, Ardenno, Sondrio, Lombardia, Italia",POINT
Ardenno,Fontana Via Visconti Venosta / Via Guasto,"via visconti venosta / via guasto, Ardenno, Sondrio, Lombardia, Italia",POINT
Ardenno,Fontana Loc Gaggio,"località gaggio, Ardenno, Sondrio, Lombardia, Italia",POINT
Ardenno,Fontana Loc. Biolo,"località  biolo, Ardenno, Sondrio, Lombardia, Italia",POINT
Ardenno,Fontana Loc. Masino,"località  masino, Ardenno, Sondrio, Lombardia, Italia",POINT
Bema,Fontana Via Roma,"via roma, Bema, Sondrio, Lombardia, Italia",POINT
Berbenno,Fontana Centro (Municipio),"centro (municipio), Berbenno, Sondrio, Lombardia, Italia",POINT
Berbenno,Fontana Loc. Polaggia (Chiesa),"località  polaggia (chiesa), Berbenno, Sondrio, Lombardia, Italia",POINT
Berbenno,Fontana Loc. Pedemonte,"località  pedemonte, Berbenno, Sondrio, Lombardia, Italia",POINT
Berbenno,Fontana Loc. Prato Maslino,"località  prato maslino, Berbenno, Sondrio, Lombardia, Italia",POINT
Bianzone,Fontana Piazza Vanoni (Municipio),"piazza vanoni (municipio), Bianzone, Sondrio, Lombardia, Italia",POINT
Bianzone,Fontana Loc. Prada,"località  prada, Bianzone, Sondrio, Lombardia, Italia",POINT
Bormio,Fontana Piazza Crocefisso,"piazza crocefisso, Bormio, Sondrio, Lombardia, Italia",POINT
Bormio,Fontana Via Alberti,"via alberti, Bormio, Sondrio, Lombardia, Italia",POINT
Bormio,Fontana Via Milano,"via milano, Bormio, Sondrio, Lombardia, Italia",POINT
Buglio in Monte,Fontana Via Martiri 16 Giugno,"via martiri 16 giugno, Buglio in Monte, Sondrio, Lombardia, Italia",POINT
Buglio in Monte,Fontana Loc. Ere,"località  ere, Buglio in Monte, Sondrio, Lombardia, Italia",POINT
Buglio in Monte,Fontana Loc. Villapinta (Piazza Botterini),"località  villapinta (piazza botterini), Buglio in Monte, Sondrio, Lombardia, Italia",POINT
Caiolo,Fontana Via Livrio,"via livrio, Caiolo, Sondrio, Lombardia, Italia",POINT
Caiolo,Fontana Loc. Bachet,"località  bachet, Caiolo, Sondrio, Lombardia, Italia",POINT
Caiolo,Fontana Loc.Palù,"località palù, Caiolo, Sondrio, Lombardia, Italia",POINT
Caiolo,Fontana Loc. S. Bernardo,"località  s. bernardo, Caiolo, Sondrio, Lombardia, Italia",POINT
Campodolcino,Fontana Via Tini,"via tini, Campodolcino, Sondrio, Lombardia, Italia",POINT
Campodolcino,Fontana Loc. Fraciscio (Casa Don Guanella),"località  fraciscio (casa don guanella), Campodolcino, Sondrio, Lombardia, Italia",POINT
Campodolcino,Fontana Loc. Gualdera,"località  gualdera, Campodolcino, Sondrio, Lombardia, Italia",POINT
Campodolcino,Fontana Loc. Corti,"località  corti, Campodolcino, Sondrio, Lombardia, Italia",POINT
Campodolcino,Fontana Loc. Prestone (Via de Lè),"località  prestone (via de lè), Campodolcino, Sondrio, Lombardia, Italia",POINT
Campodolcino,Fontana Loc. Motta,"località  motta, Campodolcino, Sondrio, Lombardia, Italia",POINT
