alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Canneto sull'Oglio,0.01,6.06,269.21,65.92,0.15,5.98,461.88,2° SEMESTRE 2019,13.69,0.07,17.36,0.60,7.82,0.00,7.69,0.82,330.67,14.83,3.37
Comune,Castel Goffredo,0.03,0.92,213.09,59.69,0.16,6.95,418.27,2° SEMESTRE 2019,41.21,0.09,23.12,5.81,8.88,0.00,7.74,0.95,299.45,3.88,32.69
Comune,Medole,0.01,0.49,218.99,56.83,0.10,3.04,390.35,2° SEMESTRE 2019,22.18,0.09,22.66,2.35,7.59,0.00,7.80,0.90,279.46,3.66,29.58
Comune,Asola,0.04,4.30,270.35,63.11,0.09,3.17,450.66,2° SEMESTRE 2019,21.84,0.10,19.87,0.70,2.53,0.00,7.81,1.23,322.64,8.77,20.63
Comune,Cavriana,0.01,0.19,320.56,89.51,0.16,7.00,570.03,2° SEMESTRE 2019,2.89,0.09,28.88,0.76,24.73,0.00,7.67,1.62,408.09,5.51,33.43
Comune,Monzambano,0.00,1.18,329.40,60.65,0.00,3.63,571.67,2° SEMESTRE 2019,6.19,0.13,25.17,,12.13,0.00,7.83,1.98,409.27,8.67,22.86
Comune,Asola - località Castelnuovo,0.03,1.67,258.64,61.32,0.12,3.39,439.53,2° SEMESTRE 2019,39.18,0.09,22.14,5.11,0.11,0.00,7.81,1.03,314.67,4.40,35.11
Comune,Ceresara,0.01,0.53,226.31,56.06,0.07,3.66,399.45,2° SEMESTRE 2019,5.53,0.09,24.07,1.43,11.43,0.00,7.76,0.98,285.97,4.05,28.83
Comune,Redondesco,0.01,4.76,238.51,62.18,0.1,5.00,441.43,2° SEMESTRE 2019,0.63,0.10,18.65,,5.99,0.00,7.75,0.61,316.03,11.86,8.85
Comune,Casalmoro,0.02,1.74,202.52,63.44,0.09,2.70,411.80,2° SEMESTRE 2019,12.59,0.09,22.43,2.01,0.02,0.00,7.72,1.12,294.82,4.74,36.90
Comune,Goito,0.06,0.66,283.28,58.62,0.10,9.41,468.24,2° SEMESTRE 2019,2.00,0.04,21.04,1.14,0.84,0.00,7.80,1.57,335.22,14.37,10.84
Comune,Volta Mantovana,0.01,1.29,285.48,62.94,0.08,3.49,475.08,2° SEMESTRE 2019,8.77,0.12,25.59,1.45,1.86,0.00,7.74,2.05,340.12,10.09,14.23
Comune,Casaloldo,0.02,1.60,247.05,62.74,0.09,2.73,425.40,2° SEMESTRE 2019,30.24,0.09,22.61,3.60,0.63,0.00,7.77,1.05,304.55,4.21,35.65
Comune,Guidizzolo,0.01,0.64,227.73,56.77,0.07,3.73,390.37,2° SEMESTRE 2019,11.85,0.08,24.28,2.71,10.02,0.00,7.76,1.08,279.47,3.78,28.27
Comune,Solferino,0.00,0.98,313.95,87.89,0.08,16.74,662.87,2° SEMESTRE 2019,6.97,0.16,34.52,,0.13,0.00,7.43,3.46,474.56,17.22,33.83
Comune,Casalromano,0.02,4.53,245.22,65.47,0.11,4.31,447.70,2° SEMESTRE 2019,15.72,0.10,20.02,2.10,3.12,0.01,7.69,1.32,320.52,10.02,21.06
Comune,Mariana Mantovana,0.01,1.68,341.60,,0.30,,438.00,2° SEMESTRE 2019,0.80,,,,5.15,0.00,,,313.57,,5.97
Comune,Gazoldo degli Ippoliti,0.00,0.35,268.40,57.51,0.09,4.19,452.10,2° SEMESTRE 2019,21.71,0.09,24.55,2.39,12.43,0.00,7.97,1.05,323.67,3.61,28.04
Comune,Piubega,0.02,0.45,195.20,,0.07,,422.40,2° SEMESTRE 2019,4.32,,,0.10,8.02,0.00,,,302.40,,28.80
