alias_city,acquedotto,alias_address,georeferencingString,type
Canneto sull'Oglio,Rete di Canneto sull'Oglio,Comune,"Canneto sull'Oglio, MN",POINT
Castel Goffredo,Rete di Castel Goffredo,Comune,"Castel Goffredo, MN",POINT
Medole,Rete di Medole,Comune,"Medole, MN",POINT
Asola,Rete di Asola,Comune,"Asola, MN",POINT
Cavriana,Rete di Cavriana,Comune,"Cavriana, MN",POINT
Monzambano,Rete di Monzambano,Comune,"Monzambano, MN",POINT
Asola - località Castelnuovo,Rete di Asola - località Castelnuovo,Comune,"Asola - località Castelnuovo, MN",POINT
Ceresara,Rete di Ceresara,Comune,"Ceresara, MN",POINT
Redondesco,Rete di Redondesco,Comune,"Redondesco, MN",POINT
Casalmoro,Rete di Casalmoro,Comune,"Casalmoro, MN",POINT
Goito,Rete di Goito,Comune,"Goito, MN",POINT
Volta Mantovana,Rete di Volta Mantovana,Comune,"Volta Mantovana, MN",POINT
Casaloldo,Rete di Casaloldo,Comune,"Casaloldo, MN",POINT
Guidizzolo,Rete di Guidizzolo,Comune,"Guidizzolo, MN",POINT
Solferino,Rete di Solferino,Comune,"Solferino, MN",POINT
Casalromano,Rete di Casalromano,Comune,"Casalromano, MN",POINT
Mariana Mantovana,Rete di Mariana Mantovana,Comune,"Mariana Mantovana, MN",POINT
Gazoldo degli Ippoliti,Rete di Gazoldo degli Ippoliti,Comune,"Gazoldo degli Ippoliti, MN",POINT
Piubega,Rete di Piubega,Comune,"Piubega, MN",POINT
