alias_address,alias_city,data_report,urlReport
Comune,Canneto sull'Oglio,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Canneto_sO_2_2019.pdf
Comune,Castel Goffredo,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/CastelGoffredo_2_2019.pdf
Comune,Medole,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Medole_2_2019.pdf
Comune,Asola,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Asola_2_2019.pdf
Comune,Cavriana,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Cavriana_2_2019.pdf
Comune,Monzambano,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Monzambano_2_2019.pdf
Comune,Asola - località Castelnuovo,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/AsolaCastelnuovo_2_2019.pdf
Comune,Ceresara,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Ceresara_2_2019.pdf
Comune,Redondesco,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Redondesco_2_2019.pdf
Comune,Casalmoro,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Casalmoro_2_2019.pdf
Comune,Goito,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Goito_2_2019.pdf
Comune,Volta Mantovana,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/VoltaMN_2_2019.pdf
Comune,Casaloldo,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Casaloldo_2_2019.pdf
Comune,Guidizzolo,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Guidizzolo_2_2019.pdf
Comune,Solferino,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Solferino_2_2019.pdf
Comune,Casalromano,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Casalromano_2_2019.pdf
Comune,Mariana Mantovana,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/MarianaMN_2_2019.pdf
Comune,Gazoldo degli Ippoliti,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Gazoldo_2_2019.pdf
Comune,Piubega,2° SEMESTRE 2019,http://www.sisamspa.it/attachments/article/153/Piubega_2_2019.pdf
