alias_city,alias_address,georeferencingString,type
ponti,Comune,"ponti, Mantova, Italia",POINT
roverbella,Comune,"roverbella, Mantova, Italia",POINT
castelbelforte,Comune,"castelbelforte, Mantova, Italia",POINT
bigarello,Comune,"bigarello, Mantova, Italia",POINT
casteldario,Comune,"casteldario, Mantova, Italia",POINT
marmirolo,Comune,"marmirolo, Mantova, Italia",POINT
porto,Comune,"porto, Mantova, Italia",POINT
san giorgio,Comune,"san giorgio, Mantova, Italia",POINT
mantova,Comune,"mantova, Mantova, Italia",POINT
roncoferraro,Comune,"roncoferraro, Mantova, Italia",POINT
sustinente,Comune,"sustinente, Mantova, Italia",POINT
serravalle,Comune,"serravalle, Mantova, Italia",POINT
ostiglia,Comune,"ostiglia, Mantova, Italia",POINT
carbonara,Comune,"carbonara, Mantova, Italia",POINT
sermide,Comune,"sermide, Mantova, Italia",POINT
magnacavallo,Comune,"magnacavallo, Mantova, Italia",POINT
pieve,Comune,"pieve, Mantova, Italia",POINT
schivenoglia,Comune,"schivenoglia, Mantova, Italia",POINT
quingentole,Comune,"quingentole, Mantova, Italia",POINT
pegognaga,Comune,"pegognaga, Mantova, Italia",POINT
gonzaga,Comune,"gonzaga, Mantova, Italia",POINT
bagnolo,Comune,"bagnolo, Mantova, Italia",POINT
borgovirgilio,Comune,"borgovirgilio, Mantova, Italia",POINT
motteggiana,Comune,"motteggiana, Mantova, Italia",POINT
suzzara,Comune,"suzzara, Mantova, Italia",POINT
curtatone,Comune,"curtatone, Mantova, Italia",POINT
marcaria,Comune,"marcaria, Mantova, Italia",POINT
acquanegra,Comune,"acquanegra, Mantova, Italia",POINT
sanmartino,Comune,"sanmartino, Mantova, Italia",POINT
bozzolo,Comune,"bozzolo, Mantova, Italia",POINT
rivarolo,Comune,"rivarolo, Mantova, Italia",POINT
dosolo,Comune,"dosolo, Mantova, Italia",POINT
castellucchio,Comune,"castellucchio, Mantova, Italia",POINT
