alias_city,urlReport,alias_address
ponti,https://www.cometea.it/verifica-la-tua-acqua/ponti,Comune
roverbella,https://www.cometea.it/verifica-la-tua-acqua/roverbella,Comune
castelbelforte,https://www.cometea.it/verifica-la-tua-acqua/castelbelforte,Comune
bigarello,https://www.cometea.it/verifica-la-tua-acqua/bigarello,Comune
casteldario,https://www.cometea.it/verifica-la-tua-acqua/casteldario,Comune
marmirolo,https://www.cometea.it/verifica-la-tua-acqua/marmirolo,Comune
porto,https://www.cometea.it/verifica-la-tua-acqua/porto,Comune
san giorgio,https://www.cometea.it/verifica-la-tua-acqua/san-giorgio,Comune
mantova,https://www.cometea.it/verifica-la-tua-acqua/mantova,Comune
roncoferraro,https://www.cometea.it/verifica-la-tua-acqua/roncoferraro,Comune
sustinente,https://www.cometea.it/verifica-la-tua-acqua/sustinente,Comune
serravalle,https://www.cometea.it/verifica-la-tua-acqua/serravalle,Comune
ostiglia,https://www.cometea.it/verifica-la-tua-acqua/ostiglia,Comune
carbonara,https://www.cometea.it/verifica-la-tua-acqua/carbonara,Comune
sermide,https://www.cometea.it/verifica-la-tua-acqua/sermide,Comune
magnacavallo,https://www.cometea.it/verifica-la-tua-acqua/magnacavallo,Comune
pieve,https://www.cometea.it/verifica-la-tua-acqua/pieve,Comune
schivenoglia,https://www.cometea.it/verifica-la-tua-acqua/schivenoglia,Comune
quingentole,https://www.cometea.it/verifica-la-tua-acqua/quingentole,Comune
pegognaga,https://www.cometea.it/verifica-la-tua-acqua/pegognaga,Comune
gonzaga,https://www.cometea.it/verifica-la-tua-acqua/gonzaga,Comune
bagnolo,https://www.cometea.it/verifica-la-tua-acqua/bagnolo,Comune
borgovirgilio,https://www.cometea.it/verifica-la-tua-acqua/borgovirgilio,Comune
motteggiana,https://www.cometea.it/verifica-la-tua-acqua/motteggiana,Comune
suzzara,https://www.cometea.it/verifica-la-tua-acqua/suzzara,Comune
curtatone,https://www.cometea.it/verifica-la-tua-acqua/curtatone,Comune
marcaria,https://www.cometea.it/verifica-la-tua-acqua/marcaria,Comune
acquanegra,https://www.cometea.it/verifica-la-tua-acqua/acquanegra,Comune
sanmartino,https://www.cometea.it/verifica-la-tua-acqua/sanmartino,Comune
bozzolo,https://www.cometea.it/verifica-la-tua-acqua/bozzolo,Comune
rivarolo,https://www.cometea.it/verifica-la-tua-acqua/rivarolo,Comune
dosolo,https://www.cometea.it/verifica-la-tua-acqua/dosolo,Comune
castellucchio,https://www.cometea.it/verifica-la-tua-acqua/castellucchio,Comune
