alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
"MUNICIPIO - VIA MARCONI, 1",ADRARA S.ROCCO,<0.1,<1,215,73.0,<0.1,<2,334,31 Dicembre 2019,20,0.06,3.8,<5,14,<0.05,8.1,<0.5,234,1,6
SCUOLA ELEMENTARE - VIA CAPPELLI,ADRARA S.ROCCO,<0.1,<1,218,76.1,<0.1,<2,342,31 Dicembre 2019,21,0.07,4.1,<5,12,<0.05,7.9,<0.5,239,2,6
FONTANELLA VALICO COLLI DI SAN FERMO,ADRARA SAN MARTINO,<0.1,<1,234,56.2,<0.1,2,371,31 Dicembre 2019,23,0.16,21.2,<5,7,<0.05,8.0,0.6,260,2,11
"FONTANELLA VIA PEZZE, PRESSO CHIESA",ADRARA SAN MARTINO,<0.1,<1,248,80.2,01,<2,409,31 Dicembre 2019,24,0.18,8.6,<5,5,<0.05,7.9,<0.5,286,1,29
"LOCALITA' GAZZENDA,15",ADRARA SAN MARTINO,<0.1,<1,193,85.7,<0.1,7,403,31 Dicembre 2019,23,0.11,4.4,<5,14,<0.05,7.8,2.1,282,6,15
MUNICIPIO - FONTANELLA PIAZZA UMBERTO I,ADRARA SAN MARTINO,<0.1,<1,248,89.1,01,5,409,31 Dicembre 2019,24,0.11,4.8,<5,10,<0.05,7.8,1.3,287,4,16
NICCHIA VIA COSTA / VICOLO DELLE BETULLE,ADRARA SAN MARTINO,<0.1,<1,127,45.4,<0.1,<2,196,31 Dicembre 2019,12,<0.05,<1,<5,6,<0.05,8.0,<0.5,138,1,<3
FONTANELLA  VIA COLOMBO,ALBANO S.ALESSANDRO,<0.1,<1,177,43.6,<0.1,<2,264,31 Dicembre 2019,16,<0.05,12.3,<5,4,<0.05,8.0,<0.5,185,<1,18
MUNICIPIO - PIAZZA CADUTI,ALBANO S.ALESSANDRO,<0.1,<1,189,49.0,<0.1,2,284,31 Dicembre 2019,18,<0.05,13.8,<5,4,<0.05,7.9,<0.5,199,2,17
ABITAZIONE ARMELLINI - VIA BELLOLOCO,ALBINO,<0.1,<1,389,142.7,<0.1,<2,603,31 Dicembre 2019,39,0.07,8.0,<5,6,<0.05,7.5,0.8,422,2,26
