alias_address,alias_city,geocode,geometry,georeferencingString,type
SCUOLA ELEMENTARE - VIA VITTORIO VENETO,BERZO S.FERMO,"Via Vittorio Veneto, 24032, Torre de' Busi, Bergamo","{'type': 'Point', 'coordinates': [9.48040679358996, 45.77495365242216]}","VIA VITTORIO VENETO, BERZO S.FERMO, Bergamo, Lombardia, Italia",POINT
PUNTO CONSEGNA ACQUEDOTTO DEI LAGHI,BERZO S.FERMO,"Via San Fermo, 24060, Bossico, Bergamo","{'type': 'Point', 'coordinates': [10.04484261079054, 45.834035651489096]}","BERZO S.FERMO, Bergamo, Lombardia, Italia",POINT
STRADA PROVINCIALE 35 - TORRE PIEZOMETRICA ADDUTRICE SORG. COSTONE,CASNIGO,"Casnigo, Bergamo","{'type': 'Point', 'coordinates': [9.868360000000052, 45.81584000000004]}","SORG. COSTONE, CASNIGO, Bergamo, Lombardia, Italia",POINT
TRATTORIA ALPINA - VIA RIGOLI,DOSSENA,"Via Don Pietro Rigoli, 24010, Dossena, Bergamo","{'type': 'Point', 'coordinates': [9.69835319210939, 45.879534]}","VIA RIGOLI, DOSSENA, Bergamo, Lombardia, Italia",POINT
BAR ROAD 121 - VIA PROVINCIALE 4,LURANO,"Via Provinciale, 24040, Arcene, Bergamo","{'type': 'Point', 'coordinates': [9.610555700883292, 45.566413025847694]}","VIA PROVINCIALE 4, LURANO, Bergamo, Lombardia, Italia",POINT
RUBINETTO NICCHIA CONTATORI - VIA FRACCIA  STRADA  PROVINCIALE 21 (VALSECCA),S.OMOBONO TERME,"Valsecca, Sant'Omobono Terme, Bergamo","{'type': 'Point', 'coordinates': [9.498830000000055, 45.82743000000005]}","VIA FRACCIA (VALSECCA), S.OMOBONO TERME, Bergamo, Lombardia, Italia",POINT
LOCALITA' S.ALBERTO - RISTORANTE IL MORO,PARRE,"Via Sant'Alberto, 24020, Parre, Bergamo","{'type': 'Point', 'coordinates': [9.911023405044274, 45.88896063519445]}","LOCALITA' S.ALBERTO, PARRE, Bergamo, Lombardia, Italia",POINT
FRAZIONE RAVA - OSTERIA PONTE,VALTORTA,"Via Rava, 24010, Valtorta, Bergamo","{'type': 'Point', 'coordinates': [9.55109083186453, 45.97906817039544]}","FRAZIONE RAVA, VALTORTA, Bergamo, Lombardia, Italia",POINT
LOCALITA' FORNACI - TRATTORIA TIRO A SEGNO,TRESCORE BALNEARIO,"Via Fornaci, 24069, Trescore Balneario, Bergamo","{'type': 'Point', 'coordinates': [9.856758501483121, 45.70098540071189]}","Via Fornaci, Trescore Balneario, Bergamo",POINT
"MUNICIPIO - VIA MARCONI, 1",ADRARA S.ROCCO,"Via Guglielmo Marconi 1, 24010, Bracca, Bergamo","{'type': 'Point', 'coordinates': [9.717221027064445, 45.82303772078598]}","MUNICIPIO - VIA MARCONI, 1, ADRARA S.ROCCO, Bergamo, Lombardia, Italia",POINT
