alias_city,alias_address,georeferencingString,type
ADRARA S.ROCCO,"MUNICIPIO - VIA MARCONI, 1","MUNICIPIO - VIA MARCONI, 1, ADRARA S.ROCCO, Bergamo, Lombardia, Italia",POINT
ADRARA S.ROCCO,SCUOLA ELEMENTARE - VIA CAPPELLI,"SCUOLA ELEMENTARE - VIA CAPPELLI, ADRARA S.ROCCO, Bergamo, Lombardia, Italia",POINT
ADRARA SAN MARTINO,FONTANELLA VALICO COLLI DI SAN FERMO,"FONTANELLA VALICO COLLI DI SAN FERMO, ADRARA SAN MARTINO, Bergamo, Lombardia, Italia",POINT
ADRARA SAN MARTINO,"FONTANELLA VIA PEZZE, PRESSO CHIESA","FONTANELLA VIA PEZZE, PRESSO CHIESA, ADRARA SAN MARTINO, Bergamo, Lombardia, Italia",POINT
ADRARA SAN MARTINO,"LOCALITA' GAZZENDA,15","LOCALITA' GAZZENDA,15, ADRARA SAN MARTINO, Bergamo, Lombardia, Italia",POINT
ADRARA SAN MARTINO,MUNICIPIO - FONTANELLA PIAZZA UMBERTO I,"MUNICIPIO - FONTANELLA PIAZZA UMBERTO I, ADRARA SAN MARTINO, Bergamo, Lombardia, Italia",POINT
ADRARA SAN MARTINO,NICCHIA VIA COSTA / VICOLO DELLE BETULLE,"NICCHIA VIA COSTA / VICOLO DELLE BETULLE, ADRARA SAN MARTINO, Bergamo, Lombardia, Italia",POINT
ALBANO S.ALESSANDRO,FONTANELLA  VIA COLOMBO,"FONTANELLA  VIA COLOMBO, ALBANO S.ALESSANDRO, Bergamo, Lombardia, Italia",POINT
ALBANO S.ALESSANDRO,MUNICIPIO - PIAZZA CADUTI,"MUNICIPIO - PIAZZA CADUTI, ALBANO S.ALESSANDRO, Bergamo, Lombardia, Italia",POINT
ALBINO,ABITAZIONE ARMELLINI - VIA BELLOLOCO,"ABITAZIONE ARMELLINI - VIA BELLOLOCO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,ABITAZIONE PEGURRI - VIA DEGLI ALPINI,"ABITAZIONE PEGURRI - VIA DEGLI ALPINI, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,ABITAZIONE VEDOVATI - VIA P.GOBETTI,"ABITAZIONE VEDOVATI - VIA P.GOBETTI, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA SERBATOIO CHIODO BASSO,"FONTANELLA SERBATOIO CHIODO BASSO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA VIA CAVOUR,"FONTANELLA VIA CAVOUR, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA VIA G.DI VITTORIO,"FONTANELLA VIA G.DI VITTORIO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA VIA MADONNA DELLA NEVE,"FONTANELLA VIA MADONNA DELLA NEVE, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA VIA MAZZINI,"FONTANELLA VIA MAZZINI, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA VIA MONS.CARRARA,"FONTANELLA VIA MONS.CARRARA, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA VIA MONTE GRAPPA,"FONTANELLA VIA MONTE GRAPPA, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FONTANELLA VIA PONTE LUJO,"FONTANELLA VIA PONTE LUJO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,"FONTANELLA VIALE MILANO, PRESSO FUNIVIA","FONTANELLA VIALE MILANO, PRESSO FUNIVIA, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,"FONTANELLA VIALE STAZIONE, PRESSO ASL","FONTANELLA VIALE STAZIONE, PRESSO ASL, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FRAZIONE ABBAZIA - FONTANELLA,"FRAZIONE ABBAZIA - FONTANELLA, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FRAZIONE CASALE - CIMITERO,"FRAZIONE CASALE - CIMITERO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FRAZIONE DOSSELLO - FONTANELLA PRESSO CHIESA,"FRAZIONE DOSSELLO - FONTANELLA PRESSO CHIESA, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,FRAZIONE FIOBBIO - VIA 1° MAGGIO,"FRAZIONE FIOBBIO - VIA 1° MAGGIO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,RISTORANTE ISOLA ZIO BRUNO - VIA SERIO,"RISTORANTE ISOLA ZIO BRUNO - VIA SERIO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,VIA CEDRELLO 19/a,"VIA CEDRELLO 19/a, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,VIA DEI RONCHI,"VIA DEI RONCHI, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,VIA FIUMIANO,"VIA FIUMIANO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALBINO,VIA S.MARIA - INGRESSO BACINO COMENDUNO,"VIA S.MARIA - INGRESSO BACINO COMENDUNO, ALBINO, Bergamo, Lombardia, Italia",POINT
ALGUA,FRAZIONE FREROLA ALTA - FONTANELLA,"FRAZIONE FREROLA ALTA - FONTANELLA, ALGUA, Bergamo, Lombardia, Italia",POINT
ALGUA,FRAZIONE FREROLA BASSA - FONTANELLA,"FRAZIONE FREROLA BASSA - FONTANELLA, ALGUA, Bergamo, Lombardia, Italia",POINT
ALGUA,FRAZIONE PAGLIARO - FONTANELLA,"FRAZIONE PAGLIARO - FONTANELLA, ALGUA, Bergamo, Lombardia, Italia",POINT
ALGUA,"FRAZIONE RIGOSA - FONTANELLA RETE CALVEROLA, PRESSO CHIESA","FRAZIONE RIGOSA - FONTANELLA RETE CALVEROLA, PRESSO CHIESA, ALGUA, Bergamo, Lombardia, Italia",POINT
ALGUA,FRAZIONE RIGOSA - FONTANELLA RETE GREBEN,"FRAZIONE RIGOSA - FONTANELLA RETE GREBEN, ALGUA, Bergamo, Lombardia, Italia",POINT
ALGUA,FRAZIONE SAMBUSITA - FONTANELLA -,"FRAZIONE SAMBUSITA - FONTANELLA -, ALGUA, Bergamo, Lombardia, Italia",POINT
ALGUA,LOCALITA' POZZE - CAMERETTA DI CONTROLLO,"LOCALITA' POZZE - CAMERETTA DI CONTROLLO, ALGUA, Bergamo, Lombardia, Italia",POINT
ALGUA,MUNICIPIO - STRADA PROVINCIALE 27,"MUNICIPIO - STRADA PROVINCIALE 27, ALGUA, Bergamo, Lombardia, Italia",POINT
ALME',FONTANELLA PARCO,"FONTANELLA PARCO, ALME', Bergamo, Lombardia, Italia",POINT
ALMENNO S.SALVATORE,FONTANELLA VIA ADAMELLO,"FONTANELLA VIA ADAMELLO, ALMENNO S.SALVATORE, Bergamo, Lombardia, Italia",POINT
ALMENNO S.SALVATORE,MUNICIPIO - PIAZZA S.SALVATORE,"MUNICIPIO - PIAZZA S.SALVATORE, ALMENNO S.SALVATORE, Bergamo, Lombardia, Italia",POINT
ALMENNO S.SALVATORE,SCUOLA MEDIA  - VIALE EUROPA,"SCUOLA MEDIA  - VIALE EUROPA, ALMENNO S.SALVATORE, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FONTANELLA PIAZZA ITALIA,"FONTANELLA PIAZZA ITALIA, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FONTANELLA PIAZZA S.LORENZO,"FONTANELLA PIAZZA S.LORENZO, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FONTANELLA TIRO A SEGNO,"FONTANELLA TIRO A SEGNO, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,"FONTANELLA VIA PROVINCIALE, PRESSO OSPEDALE","FONTANELLA VIA PROVINCIALE, PRESSO OSPEDALE, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE BURRO - VIA BURRO,"FRAZIONE BURRO - VIA BURRO, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE BUSA - SCUOLA MATERNA VIA OLERA,"FRAZIONE BUSA - SCUOLA MATERNA VIA OLERA, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE MONTE DI NESE - ABITAZIONE LICINI/GHERARDI,"FRAZIONE MONTE DI NESE - ABITAZIONE LICINI/GHERARDI, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE MONTE DI NESE - BAR ITALIA,"FRAZIONE MONTE DI NESE - BAR ITALIA, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE MONTE DI NESE CASTELLO - ABITAZIONE CORTINOVIS,"FRAZIONE MONTE DI NESE CASTELLO - ABITAZIONE CORTINOVIS, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE NESE - VIA BELVEDERE,"FRAZIONE NESE - VIA BELVEDERE, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,"FRAZIONE NESE - VIA DEI CORNI, 20","FRAZIONE NESE - VIA DEI CORNI, 20, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE OLERA - CIMITERO,"FRAZIONE OLERA - CIMITERO, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,FRAZIONE OLERA ALTA  - FONTANELLA,"FRAZIONE OLERA ALTA  - FONTANELLA, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,TRATTORIA ANITA - VIA LUIO,"TRATTORIA ANITA - VIA LUIO, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,VIA FORNACI,"VIA FORNACI, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ALZANO LOMBARDO,VIA SPIAZZI - USCITA SERBATOIO,"VIA SPIAZZI - USCITA SERBATOIO, ALZANO LOMBARDO, Bergamo, Lombardia, Italia",POINT
ANTEGNATE,MUNICIPIO - VIA CASTELLO,"MUNICIPIO - VIA CASTELLO, ANTEGNATE, Bergamo, Lombardia, Italia",POINT
ARCENE,FONTANELLA PARCO DELLE BANDIERE - VIA G.LA PIRA,"FONTANELLA PARCO DELLE BANDIERE - VIA G.LA PIRA, ARCENE, Bergamo, Lombardia, Italia",POINT
ARCENE,SCUOLA MEDIA  - VIA PAPA GIOVANNI XXIII°,"SCUOLA MEDIA  - VIA PAPA GIOVANNI XXIII°, ARCENE, Bergamo, Lombardia, Italia",POINT
ARCENE,VIA PARTIGIANI,"VIA PARTIGIANI, ARCENE, Bergamo, Lombardia, Italia",POINT
ARDESIO,ABITAZIONE MOIOLI - VIA 1°MAGGIO,"ABITAZIONE MOIOLI - VIA 1°MAGGIO, ARDESIO, Bergamo, Lombardia, Italia",POINT
