alias_city,alias_address,georeferencingString,type
Antignano,Comune,"Antignano, AT, Piemonte",POINT
Buttigliera d'Asti,Comune,"Buttigliera d'Asti, AT, Piemonte",POINT
Cantarana d'Asti,Comune,"Cantarana d'Asti, AT, Piemonte",POINT
Cellarengo,Comune,"Cellarengo, AT, Piemonte",POINT
Celle Enomondo,Comune,"Celle Enomondo, AT, Piemonte",POINT
Cisterna d'Asti,Comune,"Cisterna d'Asti, AT, Piemonte",POINT
Dusino San Michele,Comune,"Dusino San Michele, AT, Piemonte",POINT
Ferrere,Comune,"Ferrere, AT, Piemonte",POINT
Monale,Comune,"Monale, AT, Piemonte",POINT
Montafia,Comune,"Montafia, AT, Piemonte",POINT
Revigliasco d'Asti,Comune,"Revigliasco d'Asti, AT, Piemonte",POINT
San Damiano d'Asti,Comune,"San Damiano d'Asti, AT, Piemonte",POINT
San Martino Alfieri,Comune,"San Martino Alfieri, AT, Piemonte",POINT
San Paolo Solbrito,Comune,"San Paolo Solbrito, AT, Piemonte",POINT
Tigliole,Comune,"Tigliole, AT, Piemonte",POINT
Valfenera,Comune,"Valfenera, AT, Piemonte",POINT
Villafranca d'Asti,Comune,"Villafranca d'Asti, AT, Piemonte",POINT
Villanova d'Asti,Comune,"Villanova d'Asti, AT, Piemonte",POINT
