alias_city,alias_address,urlReport
Antignano,Comune,https://www.acquedottopiana.it/_literature_132890/Antignano
Buttigliera d'Asti,Comune,https://www.acquedottopiana.it/_literature_132892/Buttigliera_d'Asti
Cantarana d'Asti,Comune,https://www.acquedottopiana.it/_literature_132893/Cantarana_d'Asti
Cellarengo,Comune,https://www.acquedottopiana.it/_literature_132895/Cellarengo
Celle Enomondo,Comune,https://www.acquedottopiana.it/_literature_132896/Celle_Enomondo
Cisterna d'Asti,Comune,https://www.acquedottopiana.it/_literature_132897/Cisterna_d'Asti
Dusino San Michele,Comune,https://www.acquedottopiana.it/_literature_132898/Dusino_San_Michele
Ferrere,Comune,https://www.acquedottopiana.it/_literature_132899/Ferrere
Monale,Comune,https://www.acquedottopiana.it/_literature_132900/Monale
Montafia,Comune,https://www.acquedottopiana.it/_literature_132909/Montafia
Revigliasco d'Asti,Comune,https://www.acquedottopiana.it/_literature_132901/Revigliasco_d'Asti
San Damiano d'Asti,Comune,https://www.acquedottopiana.it/_literature_132902/San_Damiano_d'Asti
San Martino Alfieri,Comune,https://www.acquedottopiana.it/_literature_132903/San_Martino_Alfieri
San Paolo Solbrito,Comune,https://www.acquedottopiana.it/_literature_132904/San_Paolo_Solbrito
Tigliole,Comune,https://www.acquedottopiana.it/_literature_132905/Tigliole
Valfenera,Comune,https://www.acquedottopiana.it/_literature_132906/Valfenera
Villafranca d'Asti,Comune,https://www.acquedottopiana.it/_literature_132907/Villafranca_d'Asti
Villanova d'Asti,Comune,https://www.acquedottopiana.it/_literature_132908/Villanova_d'Asti
