alias_address,alias_city,ammoniaca,arsenico,bicarbonato,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,CAMERANA,<0.05,<0.5,129,0.09,1.2,417,12/12/2019,21.0,61,<0.15,7.06,1.0,2.1,<0.05,8.03,0.82,343,1.8,133
Comune,NIELLA BELBO,<0.05,<0.5,129,0.09,1.2,417,12/12/2019,21.0,61,<0.15,7.06,1.0,2.1,<0.05,8.03,0.82,343,1.8,133
Comune,CASTINO,<0.05,<0.5,129,0.09,1.2,417,12/12/2019,21.0,61,<0.15,7.06,1.0,2.1,<0.05,8.03,0.82,343,1.8,133
Comune,PEZZOLO VALLE UZZONE - FR. TODOCCO,<0.05,<0.5,129,0.09,1.2,417,12/12/2019,21.0,61,<0.15,7.06,1.0,2.1,<0.05,8.03,0.82,343,1.8,133
Comune,CORTEMILIA,<0.05,<1.0,332,0.12,11,609,12/12/2019,32.6,3.0,0.18,25,0.14,5.8,<0.05,7.87,2.6,409,12,76
Comune,CRAVANZANA,0.08,<0.5,124,0.07,1.3,426,12/12/2019,20.4,,<0.15,7.2,0.86,2.2,<0.05,7.88,0.62,295,1.6,140
Comune,FEISOGLIO,<0.05,0.270,295.2,0.07,14.26,523,07/11/2019,30.4,,<0.15,11.85,0.04,10.55,<0.05,7.80,1.00,359,4.91,21.91
Comune,BONVICINO,<0.05,0.590,122.0,0.05,1.04,235,08/10/2019,13.0,,<0.15,4.41,1.11,1.66,<0.05,8.14,0.80,145,1.46,31.65
Comune,ALBARETTO DELLA TORRE,<0.05,0.590,122.0,0.05,1.04,235,08/10/2019,13.0,,<0.15,4.41,1.11,1.66,<0.05,8.14,0.80,145,1.46,31.65
Comune,ARGUELLO,<0.05,0.590,122.0,0.05,1.04,235,08/10/2019,13.0,,<0.15,4.41,1.11,1.66,<0.05,8.14,0.80,145,1.46,31.65
Comune,CERRETTO LANGHE,<0.05,0.590,122.0,0.05,1.04,235,08/10/2019,13.0,,<0.15,4.41,1.11,1.66,<0.05,8.14,0.80,145,1.46,31.65
Comune,SERRAVALLE LANGHE,<0.05,0.590,122.0,0.05,1.04,235,08/10/2019,13.0,,<0.15,4.41,1.11,1.66,<0.05,8.14,0.80,145,1.46,31.65
Comune,SOMANO,<0.05,0.590,122.0,0.05,1.04,235,08/10/2019,13.0,,<0.15,4.41,1.11,1.66,<0.05,8.14,0.80,145,1.46,31.65
Comune,BORGOMALE,<0.05,0.590,122.0,0.05,1.04,235,08/10/2019,13.0,,<0.15,4.41,1.11,1.66,<0.05,8.14,0.80,145,1.46,31.65
Comune,BOSIA,<0.05,<1.0,325,0.17,6.1,525,12/12/2019,30.4,7.8,<0.15,20,0.12,6.7,<0.05,7.77,1.7,343,4.1,44
Comune,BOSSOLASCO,<0.05,<1.0,117,0.07,1.1,261,12/12/2019,13.6,177,<0.15,4.9,4.6,1.6,<0.05,7.97,1.0,153,1.5,45
Comune,PERLETTO,<0.05,0.200,122,0.04,1.55,380,06/08/2019,20.0,,<0.15,6.15,2.40,2.18,<0.05,7.95,0.83,241.0,1.93,106.95
Comune,SAN BENEDETTO BELBO,<0.05,0.200,122,0.04,1.55,380,06/08/2019,20.0,,<0.15,6.15,2.40,2.18,<0.05,7.95,0.83,241.0,1.93,106.95
Comune,SALICETO,<0.05,0.200,122,0.04,1.55,380,06/08/2019,20.0,,<0.15,6.15,2.40,2.18,<0.05,7.95,0.83,241.0,1.93,106.95
Comune,PEZZOLO VALLE UZZONE - CAPOLUOGO,<0.05,<1.0,320,0.06,9.0,589,12/12/2019,34.2,2.4,0.18,26,0.06,6.3,<0.05,7.50,2.7,393,9.2,80
