alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,BORGORATTO,"Borgoratto Alessandrino, AL","{'type': 'Point', 'coordinates': [8.539730000000077, 44.839510000000075]}","BORGORATTO Alessandrino, AL, Piemonte",POINT
CANTALUPO,Alessandria,"Cantalupo, Alessandria, AL","{'type': 'Point', 'coordinates': [8.55382000000003, 44.86452000000003]}","CANTALUPO, Alessandria, AL, Piemonte",POINT
CABANETTE,Alessandria,"Cabanette, Alessandria, AL","{'type': 'Point', 'coordinates': [8.576430000000073, 44.88188000000008]}","CABANETTE, Alessandria, AL, Piemonte",POINT
CASCINAGROSSA,Alessandria,"Cascinagrossa, Alessandria, AL","{'type': 'Point', 'coordinates': [8.723040000000026, 44.88127000000003]}","CASCINAGROSSA, Alessandria, AL, Piemonte",POINT
LITTA PARODI,Alessandria,"Litta Parodi, Alessandria, AL","{'type': 'Point', 'coordinates': [8.705320000000029, 44.86900000000003]}","LITTA PARODI, Alessandria, AL, Piemonte",POINT
CASTELCERIOLO,Alessandria,"Castelceriolo, Alessandria, AL","{'type': 'Point', 'coordinates': [8.689710000000048, 44.916660000000036]}","CASTELCERIOLO, Alessandria, AL, Piemonte",POINT
LOBBI,Alessandria,"Lobbi, Alessandria, AL","{'type': 'Point', 'coordinates': [8.714460000000031, 44.93255000000005]}","LOBBI, Alessandria, AL, Piemonte",POINT
MANDROGNE,Alessandria,"Mandrogne, Alessandria, AL","{'type': 'Point', 'coordinates': [8.745200000000068, 44.86425000000003]}","MANDROGNE, Alessandria, AL, Piemonte",POINT
SAN GIULIANO VECCHIO,Alessandria,"San Giuliano Vecchio, Alessandria, AL","{'type': 'Point', 'coordinates': [8.761450000000025, 44.88892000000004]}","SAN GIULIANO VECCHIO, Alessandria, AL, Piemonte",POINT
SAN GIULIANO NUOVO,Alessandria,"San Giuliano Nuovo, Alessandria, AL","{'type': 'Point', 'coordinates': [8.766330000000039, 44.90758000000005]}","SAN GIULIANO NUOVO, Alessandria, AL, Piemonte",POINT
SPINETTA MARENGO,Alessandria,"Spinetta Marengo, Alessandria, AL","{'type': 'Point', 'coordinates': [8.681280000000072, 44.885230000000035]}","SPINETTA MARENGO, Alessandria, AL, Piemonte",POINT
VALLE SAN BARTOLOMEO,Alessandria,"Valle San Bartolomeo, Alessandria, AL","{'type': 'Point', 'coordinates': [8.641770000000065, 44.955700000000036]}","VALLE SAN BARTOLOMEO, Alessandria, AL, Piemonte",POINT
VALMADONNA,Alessandria,"Valmadonna, Alessandria, AL","{'type': 'Point', 'coordinates': [8.611470000000054, 44.972210000000075]}","VALMADONNA, Alessandria, AL, Piemonte",POINT
CASALBAGLIANO,Alessandria,"Casalbagliano, Alessandria, AL","{'type': 'Point', 'coordinates': [8.558460000000025, 44.89555000000007]}","CASALBAGLIANO, Alessandria, AL, Piemonte",POINT
VILLA DEL FORO,Alessandria,"Villa del Foro, Alessandria, AL","{'type': 'Point', 'coordinates': [8.529610000000048, 44.88570000000004]}","VILLA DEL FORO, Alessandria, AL, Piemonte",POINT
ZONA GALIMBERTI,Alessandria,"Via Galimberti, 15042, Bassignana, Alessandria","{'type': 'Point', 'coordinates': [8.687862426811348, 44.973321240464486]}","ZONA GALIMBERTI, Alessandria, AL, Piemonte",POINT
"ZONA OLTRE TANARO (S. MICHELE, ASTUTI)",Alessandria,"Astuti, Alessandria, AL","{'type': 'Point', 'coordinates': [8.572600000000023, 44.921790000000044]}","ZONA OLTRE TANARO (S. MICHELE, ASTUTI), Alessandria, AL, Piemonte",POINT
ZONA ORTI,Alessandria,"Case Sparse Orti, 15121, Alessandria, AL","{'type': 'Point', 'coordinates': [8.632856250000009, 44.92039049999999]}","ZONA ORTI, Alessandria, AL, Piemonte",POINT
ZONA PIAZZA CERIANA,Alessandria,"Piazza Luigi Ceriana, 15121, Alessandria, AL","{'type': 'Point', 'coordinates': [8.60046459541238, 44.9011375575025]}","ZONA PIAZZA CERIANA, Alessandria, AL, Piemonte",POINT
ZONA PISTA,Alessandria,"Alessandria, AL","{'type': 'Point', 'coordinates': [8.611560000000054, 44.90724000000006]}","ZONA PISTA, Alessandria, AL, Piemonte",POINT
ZONA SPALTO GAMONDIO,Alessandria,"Spalto Gamondio, 15121, Alessandria, AL","{'type': 'Point', 'coordinates': [8.618032442509366, 44.90776239180711]}","ZONA SPALTO GAMONDIO, Alessandria, AL, Piemonte",POINT
ZONA SPALTO MARENGO,Alessandria,"Spalto Marengo, 15121, Alessandria, AL","{'type': 'Point', 'coordinates': [8.623806219318837, 44.91615548431411]}","ZONA SPALTO MARENGO, Alessandria, AL, Piemonte",POINT
Comune,ACQUI TERME POTABILIZZATORE,"Acqui Terme, AL","{'type': 'Point', 'coordinates': [8.46661000000006, 44.67507000000006]}","ACQUI TERME POTABILIZZATORE, AL, Piemonte",POINT
Comune,ACQUI TERME RETE,"Acqui Terme, AL","{'type': 'Point', 'coordinates': [8.46661000000006, 44.67507000000006]}","ACQUI TERME RETE, AL, Piemonte",POINT
Comune,BISTAGNO,"Bistagno, AL","{'type': 'Point', 'coordinates': [8.369850000000042, 44.662540000000035]}","BISTAGNO, AL, Piemonte",POINT
Comune,BUBBIO,"Bubbio, Asti","{'type': 'Point', 'coordinates': [8.294150000000059, 44.66390000000007]}","BUBBIO, AL, Piemonte",POINT
Comune,CARPENETO,"Carpeneto, AL","{'type': 'Point', 'coordinates': [8.60686000000004, 44.67797000000007]}","CARPENETO, AL, Piemonte",POINT
Comune,CARTOSIO,"Cartosio, AL","{'type': 'Point', 'coordinates': [8.417900000000031, 44.59675000000004]}","CARTOSIO, AL, Piemonte",POINT
