alias_address,alias_city,georeferencingString,type
CANTALUPO,Alessandria,"CANTALUPO, Alessandria, AL, Piemonte",POINT
CABANETTE,Alessandria,"CABANETTE, Alessandria, AL, Piemonte",POINT
CASCINAGROSSA,Alessandria,"CASCINAGROSSA, Alessandria, AL, Piemonte",POINT
LITTA PARODI,Alessandria,"LITTA PARODI, Alessandria, AL, Piemonte",POINT
CASTELCERIOLO,Alessandria,"CASTELCERIOLO, Alessandria, AL, Piemonte",POINT
LOBBI,Alessandria,"LOBBI, Alessandria, AL, Piemonte",POINT
MANDROGNE,Alessandria,"MANDROGNE, Alessandria, AL, Piemonte",POINT
SAN GIULIANO VECCHIO,Alessandria,"SAN GIULIANO VECCHIO, Alessandria, AL, Piemonte",POINT
SAN GIULIANO NUOVO,Alessandria,"SAN GIULIANO NUOVO, Alessandria, AL, Piemonte",POINT
SPINETTA MARENGO,Alessandria,"SPINETTA MARENGO, Alessandria, AL, Piemonte",POINT
VALLE SAN BARTOLOMEO,Alessandria,"VALLE SAN BARTOLOMEO, Alessandria, AL, Piemonte",POINT
VALMADONNA,Alessandria,"VALMADONNA, Alessandria, AL, Piemonte",POINT
CASALBAGLIANO,Alessandria,"CASALBAGLIANO, Alessandria, AL, Piemonte",POINT
VILLA DEL FORO,Alessandria,"VILLA DEL FORO, Alessandria, AL, Piemonte",POINT
ZONA GALIMBERTI,Alessandria,"ZONA GALIMBERTI, Alessandria, AL, Piemonte",POINT
"ZONA OLTRE TANARO (S. MICHELE, ASTUTI)",Alessandria,"ZONA OLTRE TANARO (S. MICHELE, ASTUTI), Alessandria, AL, Piemonte",POINT
ZONA ORTI,Alessandria,"ZONA ORTI, Alessandria, AL, Piemonte",POINT
ZONA PIAZZA CERIANA,Alessandria,"ZONA PIAZZA CERIANA, Alessandria, AL, Piemonte",POINT
ZONA PISTA,Alessandria,"ZONA PISTA, Alessandria, AL, Piemonte",POINT
ZONA SPALTO GAMONDIO,Alessandria,"ZONA SPALTO GAMONDIO, Alessandria, AL, Piemonte",POINT
ZONA SPALTO MARENGO,Alessandria,"ZONA SPALTO MARENGO, Alessandria, AL, Piemonte",POINT
Comune,ACQUI TERME POTABILIZZATORE,"ACQUI TERME POTABILIZZATORE, AL, Piemonte",POINT
Comune,ACQUI TERME RETE,"ACQUI TERME RETE, AL, Piemonte",POINT
Comune,BISTAGNO,"BISTAGNO, AL, Piemonte",POINT
Comune,BORGORATTO,"BORGORATTO, AL, Piemonte",POINT
Comune,BUBBIO,"BUBBIO, AL, Piemonte",POINT
Comune,CARPENETO,"CARPENETO, AL, Piemonte",POINT
Comune,CARTOSIO,"CARTOSIO, AL, Piemonte",POINT
Comune,CASAL CERMELLI,"CASAL CERMELLI, AL, Piemonte",POINT
Comune,CASSINASCO,"CASSINASCO, AL, Piemonte",POINT
Comune,CASSINE,"CASSINE, AL, Piemonte",POINT
Comune,CASTELLETTO D'ERRO,"CASTELLETTO D'ERRO, AL, Piemonte",POINT
Comune,CASTELNUOVO BORMIDA,"CASTELNUOVO BORMIDA, AL, Piemonte",POINT
Comune,CAVATORE,"CAVATORE, AL, Piemonte",POINT
Comune,CESSOLE,"CESSOLE, AL, Piemonte",POINT
Comune,CREMOLINO,"CREMOLINO, AL, Piemonte",POINT
Comune,DENICE,"DENICE, AL, Piemonte",POINT
Comune,FRASCARO,"FRASCARO, AL, Piemonte",POINT
Comune,GAMALERO,"GAMALERO, AL, Piemonte",POINT
Comune,GROGNARDO,"GROGNARDO, AL, Piemonte",POINT
Comune,LOAZZOLO,"LOAZZOLO, AL, Piemonte",POINT
Comune,MALVICINO,"MALVICINO, AL, Piemonte",POINT
Comune,MELAZZO,"MELAZZO, AL, Piemonte",POINT
Comune,MERANA,"MERANA, AL, Piemonte",POINT
Comune,MOLARE,"MOLARE, AL, Piemonte",POINT
Comune,MONTALDO BORMIDA,"MONTALDO BORMIDA, AL, Piemonte",POINT
Comune,MONTECASTELLO,"MONTECASTELLO, AL, Piemonte",POINT
Comune,MONTECHIARO D'ACQUI,"MONTECHIARO D'ACQUI, AL, Piemonte",POINT
Comune,MORBELLO,"MORBELLO, AL, Piemonte",POINT
Comune,MORSASCO,"MORSASCO, AL, Piemonte",POINT
Comune,OLMO GENTILE,"OLMO GENTILE, AL, Piemonte",POINT
Comune,ORSARA BORMIDA,"ORSARA BORMIDA, AL, Piemonte",POINT
Comune,PARETO,"PARETO, AL, Piemonte",POINT
Comune,PIETRA MARAZZI,"PIETRA MARAZZI, AL, Piemonte",POINT
Comune,PIOVERA,"PIOVERA, AL, Piemonte",POINT
Comune,PONTI,"PONTI, AL, Piemonte",POINT
Comune,PONZONE,"PONZONE, AL, Piemonte",POINT
Comune,PRASCO,"PRASCO, AL, Piemonte",POINT
Comune,RIVARONE,"RIVARONE, AL, Piemonte",POINT
Comune,ROCCAVERANO,"ROCCAVERANO, AL, Piemonte",POINT
