alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,ferro,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Bianzè,<0.05,0.21,142,41,<0.05,10.1,353,11/02/2020,18,<5,<0.10,19,10,30.6,<0.01,7.3,1.3,238,3.9,37.3
Comune,Borgo Vercelli,0.071,1.3,120,23,<0.05,3.5,183,02/03/2020,8.1,11,<0.10,5.9,<5.0,0.94,0.028,8.0,0.67,126,10,2
Comune,Casanova Elvo,<0.05,2.2,98.2,17,0.12,1.88,148,10/02/2020,7,63,<0.10,6.4,18,0.70,<0.01,8.3,0.79,103,5.4,2.9
Comune,Cigliano,<0.05,0.7,232,66,0.18,10.8,438,11/02/2019,25,<5,<0.1,20,<5.0,25.3,<0.01,7.8,1.5,299,4.3,33.7
Comune,Desana,<0.05,0.7,176,38,0.11,1.71,259,10/02/2020,14,<5,<0.10,10,<5.0,<0.5,<0.01,8,1.5,171,5.5,8.4
Comune,Lamporo,<0.05,0.2,142,44,0.13,9.2,322,14/10/2019,17,<5.0,<0.10,15,<5.0,23.3,<0.01,7.1,1.3,223,4,33
Comune,Olcenengo,<0.05,3.8,89,18,0.05,1.4,135,16/09/2019,7,37.7,<0.10,5,<5,<0.5,<0.01,8.2,0.70,94,5,2
Comune,Palazzolo,<0.05,1.3,170,35,<0.05,7.5,275,15/07/2019,13,<5,<0.10,9,<5,<0.5,<0.01,8.4,1.0,175,15,8
Comune,Prarolo,<0.05,<0.2,133,26,0.07,2.16,194,09/03/2020,9,6,<0.10,7.2,<5,0.50,<0.01,8.0,0.94,130,7.3,1.99
Comune,Rive,<0.05,0.9,201,39,0.05,3.8,301,10/02/2020,14,<5,<0.10,11,<5,<0.5,<0.01,8.0,1.2,201,15,11.9
Comune,Saluggia,<0.05,,,33,0.10,3.4,218,01/04/2019,11,<5,<0.1,7.6,<5,11.9,<0.01,7.8,1,,3.4,9.9
Comune,Trino,<0.05,1.2,152,31,0.06,6.2,248,15/07/2019,11,<5.0,<0.10,8,<5.0,0.50,<0.01,8.0,0.9,158,14,6
Comune,Tronzano,<0.05,0.4,159,53,<0.05,9.8,354,13/01/2020,19,<5,<0.10,14,<5,31.4,<0.01,7.7,1.4,237,3.2,28.7
Comune,Villata,<0.05,0.6,97,18,0.24,1.13,139,11/02/2019,7,<5,<0.1,5.3,<5,<0.5,<0.01,8.1,0.74,104,5.8,2.02
Comune,Vercelli,<0.05,0.3,121,22,<0.05,1.03,178,17/06/2019,8,<5,<0.10,5.9,20,<0.5,<0.01,7.9,0.75,121,8.2,0.86
