alias_city,alias_address,georeferencingString,type
Asigliano,Comune,"Asigliano, Vercelli, Piemonte",POINT
Bianzè,Comune,"Bianzè, Vercelli, Piemonte",POINT
Borgo Vercelli,Comune,"Borgo Vercelli, Vercelli, Piemonte",POINT
Caresana,Comune,"Caresana, Vercelli, Piemonte",POINT
Caresanablot,Comune,"Caresanablot, Vercelli, Piemonte",POINT
Casanova Elvo,Comune,"Casanova Elvo, Vercelli, Piemonte",POINT
Cigliano,Comune,"Cigliano, Vercelli, Piemonte",POINT
Collobiano,Comune,"Collobiano, Vercelli, Piemonte",POINT
Costanzana,Comune,"Costanzana, Vercelli, Piemonte",POINT
Desana,Comune,"Desana, Vercelli, Piemonte",POINT
Lamporo,Comune,"Lamporo, Vercelli, Piemonte",POINT
Lignana,Comune,"Lignana, Vercelli, Piemonte",POINT
Motta de' Conti,Comune,"Motta de' Conti, Vercelli, Piemonte",POINT
Olcenengo,Comune,"Olcenengo, Vercelli, Piemonte",POINT
Oldenico,Comune,"Oldenico, Vercelli, Piemonte",POINT
Palazzolo,Comune,"Palazzolo, Vercelli, Piemonte",POINT
Pertengo,Comune,"Pertengo, Vercelli, Piemonte",POINT
Pezzana,Comune,"Pezzana, Vercelli, Piemonte",POINT
Prarolo,Comune,"Prarolo, Vercelli, Piemonte",POINT
Quinto Vercellese,Comune,"Quinto Vercellese, Vercelli, Piemonte",POINT
Rive,Comune,"Rive, Vercelli, Piemonte",POINT
Ronsecco,Comune,"Ronsecco, Vercelli, Piemonte",POINT
Salasco,Comune,"Salasco, Vercelli, Piemonte",POINT
Sali,Comune,"Sali, Vercelli, Piemonte",POINT
Saluggia,Comune,"Saluggia, Vercelli, Piemonte",POINT
San Germano,Comune,"San Germano, Vercelli, Piemonte",POINT
Stroppiana,Comune,"Stroppiana, Vercelli, Piemonte",POINT
Tricerro,Comune,"Tricerro, Vercelli, Piemonte",POINT
Trino,Comune,"Trino, Vercelli, Piemonte",POINT
Tronzano,Comune,"Tronzano, Vercelli, Piemonte",POINT
Villata,Comune,"Villata, Vercelli, Piemonte",POINT
Vercelli,Comune,"Vercelli, Piemonte",POINT
