alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Bricco Roasio n°88,Asti,<0.06,<1,225.00,69.7,0.21,427.00,giugno-dicembre 2019,23.6,<1,15.1,<1,<1,<0.07,8.4,1.6,306,14.5,31.3
Fraz. Montegrosso Cinaglio 11,Asti,<0.06,<1,220.00,69.7,0.17,433.00,giugno-dicembre 2019,21.8,<1,10.7,<1,<1,<0.07,8.1,1.6,310,16.2,33.6
Fraz. Casabianca 52/b,Asti,<0.06,z1,215.00,68.1,0.22,423.00,giugno-dicembre 2019,22,z1,12.2,1.50,z1,0.07,8,1.6,322,16.3,33.6
Strada Mazzola 76 – loc. Viatosto,Asti,<0.06,<1,230.00,70.1,0.21,431.00,giugno-dicembre 2019,22.4,<1,11.9,<1,<1,<0.07,7.9,1.6,309,13,32.2
Fraz. Serravalle 78/D,Asti,<0.06,<1,235.00,70.5,0.18,432.00,giugno-dicembre 2019,22.4,<1,11.7,2.30,<1,<0.07,7.8,1.7,309,13.9,32.1
Fraz. Sessant 73/a (San Grato),Asti,<0.06,2.80,120.00,32.9,0.15,241.00,giugno-dicembre 2019,14.4,<1,15.1,<1,7.50,<0.07,8.2,1.2,185,7.3,10.6
Fraz. Serravalle Loc. Briccalone 158,Asti,<0.06,2.70,115.00,33.3,0.14,240.00,giugno-dicembre 2019,14.2,<1,14.3,<1,7.50,<0.07,8.2,1.2,185,7,10.8
Loc. Valmonasca (Mombarone),Asti,<0.06,2.00,120.00,32.9,0.16,236.00,giugno-dicembre 2019,14,<1,14.1,3.50,7.40,<0.07,8.1,1.2,200,7.2,10.7
Str. Vadareglio (Mombarone/Valmolino),Asti,<0.06,<1,230.00,68.1,0.16,425.00,giugno-dicembre 2019,22.4,<1,12.4,<1,<1,<0.07,7.8,1.6,315,14.8,32.2
Fraz. Valmaggiore – loc. Cerro Verde,Asti,<0.06,2.50,125.00,30.1,0.21,238.00,giugno-dicembre 2019,18,<1,25.5,<1,7.70,<0.07,8.1,1.1,190,16.4,12.2
Loc. Valfea – Strada Grilletto 220,Asti,<0.06,2.80,120.00,33.7,0.18,240.00,giugno-dicembre 2019,14.4,<1,14.6,<1,7.30,<0.07,8.3,1.2,185,6.9,10.6
Bricco Giberto 119/f,Asti,<0.06,<1,230.00,71.3,0.15,422.00,giugno-dicembre 2019,22,<1,10.2,1.50,<1,<0.07,7.9,1.6,315,12,32
Fraz.Castiglione 97,Asti,<0.06,<1,135.00,50.5,0.15,261.00,giugno-dicembre 2019,14.4,<1,4.4,<1,9.80,<0.07,8.4,1.2,201,6.1,15
Valle Rossa 149/a (Valcossera),Asti,<0.06,<1,140.00,49.7,0.14,261.00,giugno-dicembre 2019,14.4,<1,4.9,<1,9.80,<0.07,8.4,1.2,201,6.6,15.1
Fraz. Valenzani Via Calcini 2,Asti,<0.06,2.70,115.00,32.9,0.20,240.00,giugno-dicembre 2019,14,<1,14.1,4.30,6.30,<0.07,8.2,1.3,190,9.8,9.4
Fraz.Portacomaro Loc. Poggio 83,Asti,<0.06,2.00,130.00,46.5,0.23,240.00,giugno-dicembre 2019,20,<1,20.5,<1,7.90,<0.07,8.1,1.2,205,7.1,12.9
Str. Colombera 61 (Caniglie),Asti,<0.06,2.50,125.00,44.1,0.19,246.00,giugno-dicembre 2019,20.2,<1,22.4,<1,7.90,<0.07,8.2,1.1,200,7.8,12.9
Loc. Casa Coppi 86,Asti,<0.06,2.60,120.00,32.1,0.18,242.00,giugno-dicembre 2019,17.2,<1,22.4,<1,7.60,<0.07,8.1,1.1,186,9.6,12.2
Loc. Valgera 29,Asti,<0.06,2.50,130.00,32.1,0.18,240.00,giugno-dicembre 2019,18.4,<1,25.3,<1,7.60,<0.07,8.1,1.1,190,14.7,12.2
Fraz. Portacomaro staz. 115,Asti,<0.06,2.20,130.00,42.5,0.20,246.00,giugno-dicembre 2019,20,<1,22.8,<1,7.90,<0.07,8.2,1.1,189,8.9,12.9
Fraz. Variglie – Strada Valdonia 68,Asti,<0.06,<1,225.00,68.9,0.26,417.00,giugno-dicembre 2019,20,<1,6.8,<1,<1,<0.07,8.1,1.6,299,16.5,30.7
Fraz. Vaglierano basso 115,Asti,<0.06,<1,220.00,64.1,0.22,425.00,giugno-dicembre 2019,22.4,<1,15.6,<1,<1,<0.07,7.8,1.6,310,14.2,32.6
