alias_address,alias_city,urlReport
Bricco Roasio n°88,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/RM1.pdf
Fraz. Montegrosso Cinaglio 11,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/RM2.pdf
Fraz. Casabianca 52/b,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REU6.pdf
Strada Mazzola 76 – loc. Viatosto,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REU9.pdf
Fraz. Serravalle 78/D,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REU13.pdf
Fraz. Sessant 73/a (San Grato),Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI9.pdf
Fraz. Serravalle Loc. Briccalone 158,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI10.pdf
Loc. Valmonasca (Mombarone),Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI12.pdf
Str. Vadareglio (Mombarone/Valmolino),Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI13.pdf
Fraz. Valmaggiore – loc. Cerro Verde,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI18.pdf
Loc. Valfea – Strada Grilletto 220,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/PVC2.pdf
Bricco Giberto 119/f,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REU10.pdf
Fraz.Castiglione 97,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI5.pdf
Valle Rossa 149/a (Valcossera),Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI6.pdf
Fraz. Valenzani Via Calcini 2,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI8.pdf
Fraz.Portacomaro Loc. Poggio 83,Asti,http://www.asp.asti.it/wp-content/uploads/composizione_analitica_acqua/analisi/REUI14.pdf
