alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,Casalino,"Casalino, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.523935, 45.358362]}","Casalino, Novara, Piemonte, Italia",POINT
Comune,Cavaglio Spoccia,"Cavaglio San Donnino, Verbano-Cusio-Ossola, Piemonte, 28825, Italia","{'type': 'Point', 'coordinates': [8.6465446, 46.0690434]}","Cavaglio San Donnino, Piemonte, Italia",POINT
Comune,Pisano Novarese,"Pisano, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5089752, 45.7922976]}","Pisano, Piemonte, Italia",POINT
Comune,Agrate Conturbia,"Agrate Conturbia, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5598116, 45.675837]}","Agrate Conturbia, Piemonte, Italia",POINT
Comune,Ameno,"Ameno, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.4413106, 45.7886563]}","Ameno, Piemonte, Italia",POINT
Comune,Arizzano,"Arizzano, Verbano-Cusio-Ossola, Piemonte, 28811, Italia","{'type': 'Point', 'coordinates': [8.582925, 45.957377]}","Arizzano, Piemonte, Italia",POINT
Comune,Armeno,"Armeno, Novara, Piemonte, 28011, Italia","{'type': 'Point', 'coordinates': [8.4391986, 45.8224566]}","Armeno, Piemonte, Italia",POINT
Comune,Arola,"Arola, Verbano-Cusio-Ossola, Piemonte, 28899, Italia","{'type': 'Point', 'coordinates': [8.35859731504903, 45.80919205]}","Arola, Piemonte, Italia",POINT
Comune,Arona,"Arona, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5604081, 45.7598366]}","Arona, Piemonte, Italia",POINT
Comune,Aurano,"Aurano, Verbano-Cusio-Ossola, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5882374, 45.9990876]}","Aurano, Piemonte, Italia",POINT
Comune,Bannio Anzino,"Bannio Anzino, Verbano-Cusio-Ossola, Piemonte, 28871, Italia","{'type': 'Point', 'coordinates': [8.1501535, 45.9849808]}","Bannio Anzino, Piemonte, Italia",POINT
Comune,Barengo,"Barengo, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5139498, 45.5754503]}","Barengo, Piemonte, Italia",POINT
Comune,Baveno,"Baveno, Verbano-Cusio-Ossola, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5050171, 45.9089158]}","Baveno, Piemonte, Italia",POINT
Comune,Bee,"Bee, Verbano-Cusio-Ossola, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5758537, 45.9632681]}","Bee, Piemonte, Italia",POINT
Comune,Belgirate,"Belgirate, Verbano-Cusio-Ossola, Piemonte, 28832, Italia","{'type': 'Point', 'coordinates': [8.571427, 45.838874]}","Belgirate, Piemonte, Italia",POINT
Comune,Bellinzago Novarese,"Bellinzago Novarese, Novara, Piemonte, 28043, Italia","{'type': 'Point', 'coordinates': [8.643233, 45.568768]}","Bellinzago Novarese, Piemonte, Italia",POINT
Comune,Biandrate,"Biandrate, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.462432, 45.452664]}","Biandrate, Piemonte, Italia",POINT
Comune,Boca,"Boca, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.408726, 45.678969]}","Boca, Piemonte, Italia",POINT
Comune,Bogogno,"Bogogno, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.5340665, 45.6672726]}","Bogogno, Piemonte, Italia",POINT
Comune,Bolzano Novarese,"Bolzano Novarese, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.4451747, 45.7627855]}","Bolzano Novarese, Piemonte, Italia",POINT
Comune,Borgo Ticino,"Borgo Ticino, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.60183, 45.6892685]}","Borgo Ticino, Piemonte, Italia",POINT
Comune,Borgolavezzaro,"Borgolavezzaro, Novara, Piemonte, 28071, Italia","{'type': 'Point', 'coordinates': [8.699539, 45.319663]}","Borgolavezzaro, Piemonte, Italia",POINT
Comune,Borgomanero,"Borgomanero, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.4623673, 45.6989107]}","Borgomanero, Piemonte, Italia",POINT
Comune,Borgomezzavalle,"Borgomezzavalle, Verbano-Cusio-Ossola, Piemonte, 28846, Italia","{'type': 'Point', 'coordinates': [8.199444502603226, 46.047315299999994]}","Borgomezzavalle, Piemonte, Italia",POINT
Comune,Briga Novarese,"Briga Novarese, Novara, Piemonte, Italia","{'type': 'Point', 'coordinates': [8.456726, 45.731871]}","Briga Novarese, Piemonte, Italia",POINT
