alias_city,alias_address,georeferencingString,type
AGLIE’,Comune,"AGLIE’, Piemonte, Italia",POINT
AIRASCA,Comune,"AIRASCA, Piemonte, Italia",POINT
ALA DI STURA,Comune,"ALA DI STURA, Piemonte, Italia",POINT
ALBIANO D’IVREA,Comune,"ALBIANO D’IVREA, Piemonte, Italia",POINT
ALMESE,Comune,"ALMESE, Piemonte, Italia",POINT
ALPETTE,Comune,"ALPETTE, Piemonte, Italia",POINT
ANDEZENO,Comune,"ANDEZENO, Piemonte, Italia",POINT
ANDRATE,Comune,"ANDRATE, Piemonte, Italia",POINT
ANGROGNA,Comune,"ANGROGNA, Piemonte, Italia",POINT
ARIGNANO,Comune,"ARIGNANO, Piemonte, Italia",POINT
AVIGLIANA,Comune,"AVIGLIANA, Piemonte, Italia",POINT
BAIRO,Comune,"BAIRO, Piemonte, Italia",POINT
BALANGERO,Comune,"BALANGERO, Piemonte, Italia",POINT
BALDISSERO CANAVESE,Comune,"BALDISSERO CANAVESE, Piemonte, Italia",POINT
BALDISSERO TORINESE,Comune,"BALDISSERO TORINESE, Piemonte, Italia",POINT
BALME,Comune,"BALME, Piemonte, Italia",POINT
BANCHETTE,Comune,"BANCHETTE, Piemonte, Italia",POINT
BARBANIA,Comune,"BARBANIA, Piemonte, Italia",POINT
BARDONECCHIA,Comune,"BARDONECCHIA, Piemonte, Italia",POINT
BARONE CANAVESE,Comune,"BARONE CANAVESE, Piemonte, Italia",POINT
BEINASCO,Comune,"BEINASCO, Piemonte, Italia",POINT
BIBIANA,Comune,"BIBIANA, Piemonte, Italia",POINT
BOBBIO PELLICE,Comune,"BOBBIO PELLICE, Piemonte, Italia",POINT
BOLLENGO,Comune,"BOLLENGO, Piemonte, Italia",POINT
BORGARO TORINESE,Comune,"BORGARO TORINESE, Piemonte, Italia",POINT
BORGIALLO,Comune,"BORGIALLO, Piemonte, Italia",POINT
BORGOFRANCO D’IVREA,Comune,"BORGOFRANCO D’IVREA, Piemonte, Italia",POINT
BORGOMASINO,Comune,"BORGOMASINO, Piemonte, Italia",POINT
BORGONE SUSA,Comune,"BORGONE SUSA, Piemonte, Italia",POINT
BOSCONERO,Comune,"BOSCONERO, Piemonte, Italia",POINT
BRANDIZZO,Comune,"BRANDIZZO, Piemonte, Italia",POINT
BRICHERASIO,Comune,"BRICHERASIO, Piemonte, Italia",POINT
BROSSO,Comune,"BROSSO, Piemonte, Italia",POINT
BRUINO,Comune,"BRUINO, Piemonte, Italia",POINT
BURIASCO,Comune,"BURIASCO, Piemonte, Italia",POINT
BUSANO,Comune,"BUSANO, Piemonte, Italia",POINT
BUSSOLENO,Comune,"BUSSOLENO, Piemonte, Italia",POINT
BUTTIGLIERA ALTA,Comune,"BUTTIGLIERA ALTA, Piemonte, Italia",POINT
CAFASSE,Comune,"CAFASSE, Piemonte, Italia",POINT
CALUSO,Comune,"CALUSO, Piemonte, Italia",POINT
CAMBIANO,Comune,"CAMBIANO, Piemonte, Italia",POINT
CAMPIGLIONE FENILE,Comune,"CAMPIGLIONE FENILE, Piemonte, Italia",POINT
CANDIA CANAVESE,Comune,"CANDIA CANAVESE, Piemonte, Italia",POINT
CANDIOLO,Comune,"CANDIOLO, Piemonte, Italia",POINT
CANISCHIO,Comune,"CANISCHIO, Piemonte, Italia",POINT
CANTALUPA,Comune,"CANTALUPA, Piemonte, Italia",POINT
CANTOIRA,Comune,"CANTOIRA, Piemonte, Italia",POINT
CAPRIE,Comune,"CAPRIE, Piemonte, Italia",POINT
CARAVINO,Comune,"CARAVINO, Piemonte, Italia",POINT
CAREMA,Comune,"CAREMA, Piemonte, Italia",POINT
CARIGNANO,Comune,"CARIGNANO, Piemonte, Italia",POINT
CARMAGNOLA,Comune,"CARMAGNOLA, Piemonte, Italia",POINT
CASALBORGONE,Comune,"CASALBORGONE, Piemonte, Italia",POINT
CASCINETTE D’IVREA,Comune,"CASCINETTE D’IVREA, Piemonte, Italia",POINT
CASELETTE,Comune,"CASELETTE, Piemonte, Italia",POINT
CASELLE TORINESE,Comune,"CASELLE TORINESE, Piemonte, Italia",POINT
CASTAGNETO PO,Comune,"CASTAGNETO PO, Piemonte, Italia",POINT
CASTAGNOLE PIEMONTE,Comune,"CASTAGNOLE PIEMONTE, Piemonte, Italia",POINT
CASTELLAMONTE,Comune,"CASTELLAMONTE, Piemonte, Italia",POINT
CASTELNUOVO NIGRA,Comune,"CASTELNUOVO NIGRA, Piemonte, Italia",POINT
CASTIGLIONE TORINESE,Comune,"CASTIGLIONE TORINESE, Piemonte, Italia",POINT
CAVOUR,Comune,"CAVOUR, Piemonte, Italia",POINT
CERCENASCO,Comune,"CERCENASCO, Piemonte, Italia",POINT
CERES,Comune,"CERES, Piemonte, Italia",POINT
CERESOLE REALE,Comune,"CERESOLE REALE, Piemonte, Italia",POINT
CESANA TORINESE,Comune,"CESANA TORINESE, Piemonte, Italia",POINT
CHIALAMBERTO,Comune,"CHIALAMBERTO, Piemonte, Italia",POINT
CHIANOCCO,Comune,"CHIANOCCO, Piemonte, Italia",POINT
CHIERI,Comune,"CHIERI, Piemonte, Italia",POINT
CHIESANUOVA,Comune,"CHIESANUOVA, Piemonte, Italia",POINT
CHIOMONTE,Comune,"CHIOMONTE, Piemonte, Italia",POINT
CHIUSA DI SAN MICHELE,Comune,"CHIUSA DI SAN MICHELE, Piemonte, Italia",POINT
CHIVASSO,Comune,"CHIVASSO, Piemonte, Italia",POINT
CICONIO,Comune,"CICONIO, Piemonte, Italia",POINT
CINTANO,Comune,"CINTANO, Piemonte, Italia",POINT
CINZANO,Comune,"CINZANO, Piemonte, Italia",POINT
CIRIE’,Comune,"CIRIE’, Piemonte, Italia",POINT
CLAVIERE,Comune,"CLAVIERE, Piemonte, Italia",POINT
COASSOLO TORINESE,Comune,"COASSOLO TORINESE, Piemonte, Italia",POINT
COAZZE,Comune,"COAZZE, Piemonte, Italia",POINT
COLLEGNO,Comune,"COLLEGNO, Piemonte, Italia",POINT
COLLERETTO CASTELNUOVO,Comune,"COLLERETTO CASTELNUOVO, Piemonte, Italia",POINT
COLLERETTO GIACOSA,Comune,"COLLERETTO GIACOSA, Piemonte, Italia",POINT
CONDOVE,Comune,"CONDOVE, Piemonte, Italia",POINT
CORIO,Comune,"CORIO, Piemonte, Italia",POINT
COSSANO CANAVESE,Comune,"COSSANO CANAVESE, Piemonte, Italia",POINT
