alias_address,alias_city,ammoniaca,calcio,conducibilita,data_report,durezza,magnesio,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Cardè,<0.05,43.19,307,24/01/2020,14,11.18,4.89,<0.05,7.86,1.15,221,7.40,21.71
Comune,Cavallerleone,<0.05,64.50,444,24/01/2020,26,22.77,7.99,<0.05,7.72,0.91,317,3.50,74.88
Comune,Cavallermaggiore,<0.05,112.46,617,24/01/2020,36,18.56,34.29,<0.05,7.28,1.57,436,5.14,70.94
Comune,Cervere,<0.05,69.05,478,24/01/2020,22,19.31,34.73,<0.05,7.01,1.59,327,9.98,47.86
Comune,Fossano,<0.05,101.76,545,24/01/2020,28,10.51,35.43,<0.05,7.48,1.81,377,6.17,63.69
Comune,Genola,<0.05,95.04,570,24/01/2020,30,17.29,28.50,<0.05,7.51,1.49,402,4.33,66.64
Comune,Marene,<0.05,67.91,439,24/01/2020,22,12.80,15.31,<0.05,7.47,1.94,300,6.67,47.79
Comune,Monasterolo di Sav.,<0.05,123.21,728,24/01/2020,40,31.27,36.32,<0.05,7.32,1.27,516,5.73,93.45
Comune,Moretta,<0.05,46.32,305,24/01/2020,17,11.78,33.55,<0.05,7.82,0.88,209,7.47,21.55
Comune,Murello,<0.05,85.15,533,24/01/2020,32,24.85,14.79,<0.05,7.75,1.08,360,3.69,83.20
Comune,Piozzo,<0.05,93.47,567,24/01/2020,28,11.17,15.81,<0.05,7.38,2.13,413,15.82,69.71
Comune,Rifreddo,<0.05,7.03,73,24/01/2020,4,3.13,5.40,<0.05,7.14,1.73,59,4.05,7.96
Comune,Ruffia,<0.05,68.92,431,24/01/2020,26,17.82,23.77,<0.05,7.52,1.68,302,5.14,41.37
Comune,Salmour,<0.05,35.15,706,24/01/2020,39,28.46,0.62,<0.05,7.43,2.00,507,9.80,151.70
Comune,Saluzzo,<0.05,23.01,149,24/01/2020,8,5.19,7.11,<0.05,7.25,1.29,36,2.92,12.42
Comune,Sant'Albano Stura,<0.05,75.66,389,24/01/2020,20,6.26,25.92,<0.05,7.59,1.16,277,6.17,34.69
Comune,Savigliano,<0.05,105.16,656,24/01/2020,37,30.87,37.47,<0.05,7.38,1.35,457,4.06,83.08
Comune,Scarnafigi,<0.05,64.56,422,24/01/2020,23,18.46,23.21,<0.05,7.27,1.47,284,5.01,42.93
Comune,Torre San Giorgio,<0.05,42.10,307,24/01/2020,15,11.39,5.42,<0.05,7.75,2.59,214,7.31,21.69
Comune,Trinità,<0.05,65.43,430,24/01/2020,21,10.85,17.30,<0.05,7.19,1.06,293,8.69,52.92
Comune,Verzuolo,<0.05,27.69,172,24/01/2020,10,5.24,7.34,<0.05,7.54,1.12,170,4.17,11.97
Comune,Villafalletto,<0.05,85.26,561,24/01/2020,31,25.13,20.72,<0.05,7.65,1.91,384,3.98,94.80
Comune,Villanova Solaro,<0.05,57.93,410,24/01/2020,21,16.49,22.08,<0.05,7.25,2.01,273,5.33,42.41
Comune,Vottignasco,<0.05,104.11,673,24/01/2020,38,30.60,34.82,<0.05,7.55,2.50,469,5.24,90.90
