alias_city,alias_address,georeferencingString,type
Cardè,Comune,"Cardè, CN, Piemonte",POINT
Cavallerleone,Comune,"Cavallerleone, CN, Piemonte",POINT
Cavallermaggiore,Comune,"Cavallermaggiore, CN, Piemonte",POINT
Cervere,Comune,"Cervere, CN, Piemonte",POINT
Fossano,Comune,"Fossano, CN, Piemonte",POINT
Genola,Comune,"Genola, CN, Piemonte",POINT
Marene,Comune,"Marene, CN, Piemonte",POINT
Monasterolo di Sav.,Comune,"Monasterolo di Sav., CN, Piemonte",POINT
Moretta,Comune,"Moretta, CN, Piemonte",POINT
Murello,Comune,"Murello, CN, Piemonte",POINT
Piozzo,Comune,"Piozzo, CN, Piemonte",POINT
Rifreddo,Comune,"Rifreddo, CN, Piemonte",POINT
Ruffia,Comune,"Ruffia, CN, Piemonte",POINT
Salmour,Comune,"Salmour, CN, Piemonte",POINT
Saluzzo,Comune,"Saluzzo, CN, Piemonte",POINT
Sant'Albano Stura,Comune,"Sant'Albano Stura, CN, Piemonte",POINT
Savigliano,Comune,"Savigliano, CN, Piemonte",POINT
Scarnafigi,Comune,"Scarnafigi, CN, Piemonte",POINT
Torre San Giorgio,Comune,"Torre San Giorgio, CN, Piemonte",POINT
Trinità,Comune,"Trinità, CN, Piemonte",POINT
Verzuolo,Comune,"Verzuolo, CN, Piemonte",POINT
Villafalletto,Comune,"Villafalletto, CN, Piemonte",POINT
Villanova Solaro,Comune,"Villanova Solaro, CN, Piemonte",POINT
Vottignasco,Comune,"Vottignasco, CN, Piemonte",POINT
