alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Bastia Mondovì,0.05,<1,,57.0,0.06,2.5,478,14/02/2020,24.0,<0.05,24.0,<5,1.5,<0.05,7.31,0.27,301,1.5,21.6
Comune,Belvedere Langhe,0.04,<1,,57.0,0.21,2.3,415,17/02/2020,21.8,<0.05,18.0,<5,1.6,<0.05,7.72,0.27,226,1.8,33.2
Comune,Bonvicino,0.04,<1,,51.0,0.30,1.0,311,17/02/2020,14.9,<0.05,5.3,<5,1.8,<0.05,6.97,0.34,199,1.3,54.6
Comune,Carrù,<0.02,<1,,57.0,0.20,10.1,417,13/02/2020,17.0,<0.05,6.6,<5,37.2,<0.05,6.95,1.20,320,5.4,52.8
Comune,Castellino Tanaro,0.04,<1,,64.0,0.08,2.2,529,17/02/2020,27.7,<0.05,28.0,<5,1.4,<0.05,7.54,0.18,309,1.0,11.9
Comune,Cigliè,0.04,<1,,58.0,0.09,2.5,449,14/02/2020,23.5,<0.05,22.0,<5,1.6,<0.05,7.74,0.25,302,1.7,26.1
Comune,Clavesana,0.04,<1,,58.0,0.05,2.2,459,14/02/2020,24.0,<0.05,23.0,<5,1.5,<0.05,7.94,0.22,319,1.5,23.0
Comune,Dogliani,<0.02,<1,,83.0,0.09,9.2,591,13/02/2020,27.8,<0.05,17.0,<5,5.2,<0.05,7.02,2.00,411,5.9,59.0
Comune,Farigliano,<0.02,<1,,58.0,0.18,3.0,453,13/02/2020,23.7,<0.05,23.0,<5,1.6,<0.05,7.14,0.39,300,1.7,23.3
Comune,Igliano,<0.02,<1,,60.0,0.09,2.1,530,13/02/2020,26.4,<0.05,27.0,<5,1.5,<0.05,7.92,0.32,399,1.1,13.0
Comune,Lequio Tanaro,<0.02,<1,,68.0,0.12,4.5,448,13/02/2020,20.4,<0.05,8.2,<5,7.4,<0.05,7.69,0.54,326,3.4,98.0
Comune,Marsaglia,0.04,<1,,59.0,0.06,2.0,437,17/02/2020,22.8,<0.05,20.0,<5,1.5,<0.05,7.73,0.22,201,1.5,28.3
Comune,Monchiero,<0.02,<1,,82.0,0.12,8.1,616,13/02/2020,27.4,<0.05,17.0,<5,4.9,<0.05,7.77,2.0,481,6.5,57.8
Comune,Monforte d'Alba,0.04,<1,,60.0,0.12,2.5,507,14/02/2020,24.7,<0.05,23.0,<5,1.5,<0.05,7.36,0.27,329,1.6,21.7
Comune,Montezemolo,<0.02,<1,,62.0,0.08,2.0,536,13/02/2020,27.2,<0.05,29.0,<5,1.4,<0.05,7.53,0.30,409,1.1,12.2
Comune,Murazzano,0.04,<1,,51.0,0.30,1.0,311,17/02/2020,14.9,<0.05,5.3,<5,1.8,<0.05,6.97,0.34,199,1.3,54.6
Comune,Niella Tanaro,0.05,<1,,60.0,0.14,2.2,463,14/02/2020,24.3,<0.05,23.0,<5,1.5,<0.05,6.95,0.28,302,1.5,23.1
Comune,Paroldo,<0.02,<1,,62.0,0.10,2.0,516,13/02/2020,27.5,<0.05,29.0,<5,1.4,<0.05,7.30,0.30,402,1.1,12.4
Comune,Roascio,0.04,<1,,28.0,0.02,0.7,170,17/02/2020,8.2,<0.05,3.0,<5,1.5,<0.05,7.04,0.43,102,0.96,2.2
Comune,Rocca Cigliè,0.04,<1,,58.0,0.08,1.9,407,17/02/2020,21.9,<0.05,18.0,<5,1.5,<0.05,7.10,0.23,288,1.5,32.0
Comune,Sale delle Langhe,<0.02,<1,,62.0,0.06,2.0,565,13/02/2020,27.1,<0.05,28.0,<5,1.4,<0.05,7.51,0.26,400,1.0,12.1
Comune,Sale San Giovanni,<0.02,<1,,61.0,0.04,1.9,514,13/02/2020,26.8,<0.05,28.0,<5,1.4,<0.05,7.10,0.28,385,1.0,11.9
Comune,Torresina,<0.02,<1,,27.0,0.05,0.8,177,13/02/2020,8.3,<0.05,3.5,<5,1.4,<0.05,6.91,0.67,120,1.1,2.4
