alias_city,alias_address,georeferencingString,type
Bastia Mondovì,Comune,"Bastia Mondovì, CN, Piemonte",POINT
Belvedere Langhe,Comune,"Belvedere Langhe, CN, Piemonte",POINT
Bonvicino,Comune,"Bonvicino, CN, Piemonte",POINT
Carrù,Comune,"Carrù, CN, Piemonte",POINT
Castellino Tanaro,Comune,"Castellino Tanaro, CN, Piemonte",POINT
Cigliè,Comune,"Cigliè, CN, Piemonte",POINT
Clavesana,Comune,"Clavesana, CN, Piemonte",POINT
Dogliani,Comune,"Dogliani, CN, Piemonte",POINT
Farigliano,Comune,"Farigliano, CN, Piemonte",POINT
Igliano,Comune,"Igliano, CN, Piemonte",POINT
Lequio Tanaro,Comune,"Lequio Tanaro, CN, Piemonte",POINT
Marsaglia,Comune,"Marsaglia, CN, Piemonte",POINT
Monchiero,Comune,"Monchiero, CN, Piemonte",POINT
Monforte d'Alba,Comune,"Monforte d'Alba, CN, Piemonte",POINT
Montezemolo,Comune,"Montezemolo, CN, Piemonte",POINT
Murazzano,Comune,"Murazzano, CN, Piemonte",POINT
Niella Tanaro,Comune,"Niella Tanaro, CN, Piemonte",POINT
Paroldo,Comune,"Paroldo, CN, Piemonte",POINT
Roascio,Comune,"Roascio, CN, Piemonte",POINT
Rocca Cigliè,Comune,"Rocca Cigliè, CN, Piemonte",POINT
Sale delle Langhe,Comune,"Sale delle Langhe, CN, Piemonte",POINT
Sale San Giovanni,Comune,"Sale San Giovanni, CN, Piemonte",POINT
Torresina,Comune,"Torresina, CN, Piemonte",POINT
