alias_city,alias_address,urlReport
Bastia Mondovì,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-bastia/
Belvedere Langhe,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-belvedere-langhe/
Bonvicino,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-bonvicino/
Carrù,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-carru/
Castellino Tanaro,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-castellino-tanaro/
Cigliè,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-ciglie/
Clavesana,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-clavesana/
Dogliani,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-dogliani/
Farigliano,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-farigliano/
Igliano,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-igliano/
Lequio Tanaro,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-lequio-tanaro/
Marsaglia,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-marsaglia/
Monchiero,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-monchiero/
Monforte d'Alba,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-monforte/
Montezemolo,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-montezemolo/
Murazzano,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-murazzano/
Niella Tanaro,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-niella-tanaro/
Paroldo,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-paroldo/
Roascio,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-roascio/
Rocca Cigliè,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-rocca-ciglie/
Sale delle Langhe,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-sale-langhe/
Sale San Giovanni,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-sale-san-giovanni/
Torresina,Comune,https://calso.org/qualita-e-risorse/analisi-delle-acque/comune-di-torresina/
