parametro,syn0,syn1,syn2,syn3,syn4,syn5,syn6,syn7,syn8,syn9
residuo_fisso,Residuo fisso a 180° C
durezza,Durezza totale
ph,Concentrazione ioni idrogeno
calcio,Calcio (Ca)
sodio,Sodio (Na)
magnesio,Magnesio (Mg)
potassio,Potassio (K)
solfato,Solfati (SO4)
nitrato,Nitrati (NO3)
nitrito,Nitriti (NO2)
cloruro,Cloruri (Cl)
conducibilita,Conducibilità elettrica spec. a 20°C
fluoruri,Fluoruri (F)
ammoniaca,Ammonio (NH4)
manganese,Manganese (Mn)
arsenico,Arsenico (As)
bicarbonato,Bicarbonato (HCO3)
cloro_residuo,Cloro residuo (Cl2)
