alias_address,alias_city,ammoniaca,cloro_residuo,cloruro,conducibilita,data_report,ferro,fluoruri,nitrato,nitrito,ph,solfato
CapoluogoFontana pubblica dei giardini,Acquedotto di Andorno Micca,<0.05,0.20,2.5,54,12/02/2020,11,<0.1,4.2,<0.05,6.9,1.3
Frazione RavizzaFontana pubblica,Acquedotto di Andorno Micca,<0.05,0.10,1.2,54,13/11/2019,47,<0.10,9.9,<0.05,7.4,0.88
Frazione ColmaFontana pubblica,Acquedotto di Andorno Micca,<0.05,0.09,0.87,53,12/09/2018,36,<0.1,3.2,<0.05,7.2,2.1
Frazione GolzioFontana lavatoio,Acquedotto di Andorno Micca,<0.05,0.09,0.91,110,12/09/2018,82,<0.1,5.9,<0.05,6.9,5.8
Frazione San Giuseppe di Casto.Fontana adiacente la chiesa.,Acquedotto di Andorno Micca,<0.05,0.15,1.1,104,12/09/2018,<5,<0.1,6.9,<0.05,7,2.9
Frazione Cerutti.Fontana.,Acquedotto di Andorno Micca,<0.05,0.07,1.4,67,12/09/2018,,<0.1,8.8,<0.05,7.4,0.81
CapoluogoServizi igienici del Municipio,Acquedotto di Benna,<0.05,0.1,5.1,112,07/04/2020,50,<0.1,3.4,<0.05,7.4,12
CapoluogoFontana del Parco Giochi presso i Giardini Zumaglini,Acquedotto di Biella,<0.05,0.18,1.5,26,06/06/2019,14,<0.10,2.1,<0.05,7.0,1.6
Frazione BarazzettoFontana di Piazza S.Bernardo delle Alpi,Acquedotto di Biella,<0.05,0.11,0.71,34,03/03/2020,14,<0.10,2.0,<0.05,7.2,1.9
CapoluogoFontana angolo C.so 53° Fanteria e Viale Maccalè,Acquedotto di Biella,0.05,0.2,1.8,28,06/05/2016,17,<0.1,2.3,<0.05,6.8,2.2
PolloneFontana di Piazza S. Rocco,Acquedotto di Biella,<0.05,0.13,0.39,38,02/09/2019,14,<0.1,2.2,<0.05,7.9,3
CapoluogoFontana di Piazza S. Sebastiano,Acquedotto di Biella,<0.05,0.29,3.0,44,03/03/2020,19,<0.10,3.4,<0.05,7.1,2.4
CapoluogoFontana all'angolo tra Via Liguria e Via Valle d'Aosta,Acquedotto di Biella,<0.05,0.11,1.7,46,03/03/2020,21,<0.1,2.3,<0.05,7.3,2.4
CapoluogoFontana dell'Orso presso i Giardini Zumaglini,Acquedotto di Biella,<0.05,0.11,2.2,34,09/05/2019,21,<0.1,2.6,<0.05,7.1,2.3
Frazione Biella PiazzoFontana di Piazza Cisterna,Acquedotto di Biella,<0.05,0.17,1.4,30,03/03/2020,17,<0.10,2.1,<0.05,6.9,2.2
"Biella PiazzoFontana del Bottalino, Via Ramella Germanin",Acquedotto di Biella,<0.05,0.19,1.2,21,20/04/2020,22,<0.10,2.8,<0.05,6.6,1.8
Frazione ChiavazzaFontana di Piazza D.F.M. Gatto,Acquedotto di Biella,<0.05,0.28,2.3,33,20/08/2019,34,<0.1,2.2,<0.05,7.2,2.3
Frazione Cossila S.GratoFontana di Piazza G.De Mosso,Acquedotto di Biella,<0.05,0.29,1.9,30,07/09/2017,,<0.1,2.5,<0.05,6.5,2.5
Frazione FavaroFontana di Strada per Oropa al n° 591,Acquedotto di Biella,<0.05,0.22,1.3,26,03/03/2020,<5,<0.10,2.0,<0.05,6.7,1.6
Frazione PavignanoFontana di Via Bertamelina,Acquedotto di Biella,<0.05,0.22,1.2,36,12/03/2020,25,<0.1,1.7,<0.05,7.2,2.2
CapoluogoFontana presso la chiesa di S.Biagio.,Acquedotto di Biella,<0.05,0.08,2.8,74,04/04/2019,83,<0.1,5.5,<0.05,7.6,3.1
ChiavazzaFontana Via Mollie,Acquedotto di Biella,<0.05,0.16,1.2,28,15/04/2019,,<0.10,2.4,<0.05,7.4,2.5
"Chiavazza Via Coppa, fontana parco giochi.",Acquedotto di Biella,<0.05,0.17,1.3,25,23/04/2020,21,<0.1,2.5,0.05,7.0,2.2
Cossila San GiovanniFontana all'incrocio tra la strada di Pralungo e Via Santuario d'Oropa,Acquedotto di Biella,<0.05,0.22,1.8,28,06/06/2019,47,<0.10,2.1,<0.05,6.5,2.0
Capoluogo.Fontana municipio.,Acquedotto di Camandona,<0.05,<0.05,2.3,33,15/05/2018,129,<0.1,2.7,<0.05,6.9,2.1
CapoluogoServizi igienici del Municipio,Acquedotto di Camandona,<0.05,<0.05,1.8,32,19/03/2018,36,<0.1,2.5,<0.05,7,2.3
Frazione PianezzeFontana pubblica,Acquedotto di Camandona,<0.05,<0.05,2.6,35,04/07/2017,,<0.1,3.2,<0.05,6.8,3.5
CapoluogoFontana Municipio,Acquedotto di Camandona,<0.05,<0.05,2.9,41,12/03/2020,52,<0.1,1.7,<0.05,7.3,2.3
Pianezzefontana del parco giochi,Acquedotto di Camandona,<0.05,<0.05,2.9,40,04/07/2019,130,<0.10,1.5,<0.05,7.0,2.9
CapoluogoServizi igienici del Municipio,Acquedotto di Camburzano,<0.05,0.21,0.76,45,10/02/2020,24,<0.1,1.6,<0.05,7.0,1.5
CapoluogoFontana presso il Municipio,Acquedotto di Camburzano,<0.05,0.25,0.96,28,02/04/2020,6.1,<0.1,2.5,<0.05,7.0,1.7
Frazione IondiniFontana Chiesa,Acquedotto di Campiglia Cervo,<0.05,0.22,0.45,20,16/04/2020,10,<0.1,2.0,<0.05,6.9,2.6
CapoluogoFontana municipio,Acquedotto di Campiglia Cervo,<0.05,0.15,0.46,30,19/03/2020,13,<0.1,2.6,<0.05,6.9,2.1
