alias_address,alias_city,geocode,geometry,georeferencingString,type
CapoluogoFontana pubblica dei giardini,Acquedotto di Andorno Micca,"Andorno Micca, BI","{'type': 'Point', 'coordinates': [8.052550000000053, 45.61218000000008]}","Capoluogo Fontana pubblica dei giardini, Andorno Micca, BI, Piemonte",POINT
Frazione RavizzaFontana pubblica,Acquedotto di Andorno Micca,"Ravizza, Andorno Micca, BI","{'type': 'Point', 'coordinates': [8.067180000000064, 45.618160000000046]}","Frazione Ravizza Fontana pubblica, Andorno Micca, BI, Piemonte",POINT
Frazione ColmaFontana pubblica,Acquedotto di Andorno Micca,"Strada per Colma, 13811, Andorno Micca, BI","{'type': 'Point', 'coordinates': [8.06272367067475, 45.60605181923877]}","Frazione Colma Fontana pubblica, Andorno Micca, BI, Piemonte",POINT
Frazione GolzioFontana lavatoio,Acquedotto di Andorno Micca,"Golzio, Andorno Micca, BI","{'type': 'Point', 'coordinates': [8.077680000000043, 45.62343000000004]}","Frazione Golzio Fontana lavatoio, Andorno Micca, BI, Piemonte",POINT
Frazione San Giuseppe di Casto.Fontana adiacente la chiesa.,Acquedotto di Andorno Micca,"San Giuseppe di Casto, Andorno Micca, BI","{'type': 'Point', 'coordinates': [8.073630000000037, 45.61948000000007]}","Frazione San Giuseppe di Casto. Fontana adiacente la chiesa., Andorno Micca, BI, Piemonte",POINT
Frazione Cerutti.Fontana.,Acquedotto di Andorno Micca,"Andorno Micca, BI","{'type': 'Point', 'coordinates': [8.052550000000053, 45.61218000000008]}","Frazione Cerutti. Fontana., Andorno Micca, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Benna,"Benna, BI","{'type': 'Point', 'coordinates': [8.12429000000003, 45.51518000000004]}","CapoluogoServizi igienici del Municipio, Benna, BI, Piemonte",POINT
CapoluogoFontana del Parco Giochi presso i Giardini Zumaglini,Acquedotto di Biella,"Biella, BI","{'type': 'Point', 'coordinates': [8.059780000000046, 45.56041000000005]}","Capoluogo Fontana del Parco Giochi presso i Giardini Zumaglini, Biella, BI, Piemonte",POINT
Frazione BarazzettoFontana di Piazza S.Bernardo delle Alpi,Acquedotto di Biella,"Piazza San Bernardo delle Alpi, 13900, Biella, BI","{'type': 'Point', 'coordinates': [8.032325457045472, 45.56240942954534]}","Frazione Barazzetto Fontana di Piazza S.Bernardo delle Alpi, Biella, BI, Piemonte",POINT
CapoluogoFontana angolo C.so 53° Fanteria e Viale Maccalè,Acquedotto di Biella,"Biella, BI","{'type': 'Point', 'coordinates': [8.059780000000046, 45.56041000000005]}","Capoluogo Fontana angolo C.so 53° Fanteria e Viale Maccalè, Biella, BI, Piemonte",POINT
PolloneFontana di Piazza S. Rocco,Acquedotto di Biella,"Piazza San Rocco, 13818, Tollegno, BI","{'type': 'Point', 'coordinates': [8.050805127813105, 45.59358019171966]}","Pollone Fontana di Piazza S. Rocco, Biella, BI, Piemonte",POINT
CapoluogoFontana di Piazza S. Sebastiano,Acquedotto di Biella,"Piazza San Sebastiano, 13814, Pollone, BI","{'type': 'Point', 'coordinates': [8.006930999999991, 45.58137299999999]}","Capoluogo Fontana di Piazza S. Sebastiano, Biella, BI, Piemonte",POINT
