alias_address,alias_city,georeferencingString,type
CapoluogoFontana pubblica dei giardini,Acquedotto di Andorno Micca,"Capoluogo Fontana pubblica dei giardini, Andorno Micca, BI, Piemonte",POINT
Frazione RavizzaFontana pubblica,Acquedotto di Andorno Micca,"Frazione Ravizza Fontana pubblica, Andorno Micca, BI, Piemonte",POINT
Frazione ColmaFontana pubblica,Acquedotto di Andorno Micca,"Frazione Colma Fontana pubblica, Andorno Micca, BI, Piemonte",POINT
Frazione GolzioFontana lavatoio,Acquedotto di Andorno Micca,"Frazione Golzio Fontana lavatoio, Andorno Micca, BI, Piemonte",POINT
Frazione San Giuseppe di Casto.Fontana adiacente la chiesa.,Acquedotto di Andorno Micca,"Frazione San Giuseppe di Casto. Fontana adiacente la chiesa., Andorno Micca, BI, Piemonte",POINT
Frazione Cerutti.Fontana.,Acquedotto di Andorno Micca,"Frazione Cerutti. Fontana., Andorno Micca, BI, Piemonte",POINT
CapoluogoServizi igienici del Municipio,Acquedotto di Benna,"CapoluogoServizi igienici del Municipio, Benna, BI, Piemonte",POINT
CapoluogoFontana del Parco Giochi presso i Giardini Zumaglini,Acquedotto di Biella,"Capoluogo Fontana del Parco Giochi presso i Giardini Zumaglini, Biella, BI, Piemonte",POINT
Frazione BarazzettoFontana di Piazza S.Bernardo delle Alpi,Acquedotto di Biella,"Frazione Barazzetto Fontana di Piazza S.Bernardo delle Alpi, Biella, BI, Piemonte",POINT
CapoluogoFontana angolo C.so 53° Fanteria e Viale Maccalè,Acquedotto di Biella,"Capoluogo Fontana angolo C.so 53° Fanteria e Viale Maccalè, Biella, BI, Piemonte",POINT
PolloneFontana di Piazza S. Rocco,Acquedotto di Biella,"Pollone Fontana di Piazza S. Rocco, Biella, BI, Piemonte",POINT
CapoluogoFontana di Piazza S. Sebastiano,Acquedotto di Biella,"Capoluogo Fontana di Piazza S. Sebastiano, Biella, BI, Piemonte",POINT
