alias_address,alias_city,urlReport
CapoluogoFontana pubblica dei giardini,Acquedotto di Andorno Micca,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14315
Frazione RavizzaFontana pubblica,Acquedotto di Andorno Micca,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14196
Frazione ColmaFontana pubblica,Acquedotto di Andorno Micca,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13036
Frazione GolzioFontana lavatoio,Acquedotto di Andorno Micca,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13037
Frazione San Giuseppe di Casto.Fontana adiacente la chiesa.,Acquedotto di Andorno Micca,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13040
Frazione Cerutti.Fontana.,Acquedotto di Andorno Micca,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13038
CapoluogoServizi igienici del Municipio,Acquedotto di Benna,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14438
CapoluogoFontana del Parco Giochi presso i Giardini Zumaglini,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13692
Frazione BarazzettoFontana di Piazza S.Bernardo delle Alpi,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14348
CapoluogoFontana angolo C.so 53° Fanteria e Viale Maccalè,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=11074
PolloneFontana di Piazza S. Rocco,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13992
CapoluogoFontana di Piazza S. Sebastiano,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14345
CapoluogoFontana all'angolo tra Via Liguria e Via Valle d'Aosta,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14352
CapoluogoFontana dell'Orso presso i Giardini Zumaglini,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13570
Frazione Biella PiazzoFontana di Piazza Cisterna,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14346
"Biella PiazzoFontana del Bottalino, Via Ramella Germanin",Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14472
Frazione ChiavazzaFontana di Piazza D.F.M. Gatto,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13953
Frazione Cossila S.GratoFontana di Piazza G.De Mosso,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12071
Frazione FavaroFontana di Strada per Oropa al n° 591,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14347
Frazione PavignanoFontana di Via Bertamelina,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14376
CapoluogoFontana presso la chiesa di S.Biagio.,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13456
ChiavazzaFontana Via Mollie,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13508
"Chiavazza Via Coppa, fontana parco giochi.",Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=14491
Cossila San GiovanniFontana all'incrocio tra la strada di Pralungo e Via Santuario d'Oropa,Acquedotto di Biella,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=13693
Capoluogo.Fontana municipio.,Acquedotto di Camandona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12664
CapoluogoServizi igienici del Municipio,Acquedotto di Camandona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=12494
Frazione PianezzeFontana pubblica,Acquedotto di Camandona,http://77.242.187.172/itis/cordar/vedi_risultati2N.php?x=13&y=9&IdCertificato_=11912
