alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Aisone,<0.10,<1,158,59.8,0.07,<5,278,II° semestre 2019,16,<0.20,2.9,<1,2.7,<0.10,7.7,<1.0,170,<3,22
Comune,Alto,<0.10,<1,125.1,25.6,0.19,<5,166,II° semestre 2019,9,<0.20,5.7,<1,<1.0,<0.10,7.7,<1.0,110,<3,<5.0
Comune,Argentera,<0.10,<1,252.8,71,0.14,<5,336,II° semestre 2019,20,<0.20,4.4,<1,<1,<0.10,7.7,<1.0,195,<3,40
Comune,Bagnasco,<0.10,<1,378.4,13.3,0.07,<5,389,II° semestre 2019,6,<0.20,7.2,<1,2,<0.10,8,<1.0,230,<3,<5
Comune,Beinette,<0.10,1,158.8,53,0.16,<5,315,II° semestre 2019,18,<0.20,11.1,<1,3.9,<0.10,8,<1.0,220,3,65.1
Comune,Bellino,<0.10,<1,225.2,56.7,<0.04,<5,271,II° semestre 2019,17,<0.20,4.9,1,1.5,<0.10,8,<1.0,150,<5.0,6
Comune,Bernezzo,<0.10,<1,414.7,44.3,0.04,<5,345,II° semestre 2019,13,<0.20,4.3,<1,5,<0.10,7.7,<1.0,220,<3,36.3
Comune,Borgo San Dalmazzo,<0.10,1,154.2,42.3,0.2,<5,224,II° semestre 2019,13,<0.20,3,<1,2.7,<0.10,7.8,<1.0,140,<3,27
Comune,Boves,<0.10,1,126.1,39.1,0.17,<5,203,II° semestre 2019,11,<0.20,3.1,<1,2.4,<0.10,8.1,<1.0,120,<3,30
Comune,Briga Alta,<0.10,<1,1055.4,59.5,<0.04,<5,252,II° semestre 2019,16,<0.20,<2.0,<1,<1.0,<0.10,7.8,<1.0,150,<3,<5.0
Comune,Brondello,<0.10,2,69.3,9.5,0.06,7.5,84,II° semestre 2019,3,<0.20,<2.0,2,8.4,<0.10,7.6,1.1,40,5,6
Comune,Brossasco,<0.10,2,81.3,12.7,0.11,<5,82,II° semestre 2019,4,<0.20,<2.0,<1,3.7,<0.10,8.1,<1.0,55,<3,<5
Comune,Busca,<0.10,1,197.9,61.9,0.05,<5,334,II° semestre 2019,18,<0.20,7.2,1,4.2,<0.10,7.8,<1.0,240,3,47.1
Comune,Busca (municipio di Valmala),<0.10,<1,49.4,2.2,<0.04,<5,22,II° semestre 2019,2,<0.20,<2.0,<1,1.3,<0.10,6.8,<1.0,20,<5.0,<5.0
Comune,Canosio,<0.10,5,212.9,47,<0.04,<5,275,II° semestre 2019,15,<0.20,7.5,<1,1.7,<0.10,7.9,<1.0,140,<3,83
Comune,Caprauna,<0.10,<1,195.4,51,0.2,<5,229,II° semestre 2019,14,<0.20,<2.0,<1,1,<0.10,8,<1.0,130,<3,<5.0
Comune,Caraglio,<0.10,<1,247.8,63,<0.04,<5,361,II° semestre 2019,21,<0.20,11.6,<1,5.4,<0.10,7.8,<1.0,240,<3,58
