alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,Aisone,"Aisone, Cuneo","{'type': 'Point', 'coordinates': [7.217220000000054, 44.313510000000065]}","Aisone, Piemonte",POINT
Comune,Alto,"Alto, Cuneo","{'type': 'Point', 'coordinates': [8.006250000000023, 44.10937000000007]}","Alto, Piemonte",POINT
Comune,Argentera,"Argentera, Cuneo","{'type': 'Point', 'coordinates': [6.937220000000025, 44.39631000000003]}","Argentera, Piemonte",POINT
Comune,Bagnasco,"Bagnasco, Cuneo","{'type': 'Point', 'coordinates': [8.044730000000072, 44.30713000000003]}","Bagnasco, Piemonte",POINT
Comune,Beinette,"Beinette, Cuneo","{'type': 'Point', 'coordinates': [7.646730000000048, 44.36573000000004]}","Beinette, Piemonte",POINT
Comune,Bellino,"Bellino, Cuneo","{'type': 'Point', 'coordinates': [7.034080000000074, 44.583660000000066]}","Bellino, Piemonte",POINT
Comune,Bernezzo,"Bernezzo, Cuneo","{'type': 'Point', 'coordinates': [7.435710000000029, 44.38721000000004]}","Bernezzo, Piemonte",POINT
Comune,Borgo San Dalmazzo,"Borgo San Dalmazzo, Cuneo","{'type': 'Point', 'coordinates': [7.488040000000069, 44.331830000000025]}","Borgo San Dalmazzo, Piemonte",POINT
Comune,Boves,"Boves, Cuneo","{'type': 'Point', 'coordinates': [7.545920000000024, 44.33253000000008]}","Boves, Piemonte",POINT
Comune,Briga Alta,"Briga Alta, Cuneo","{'type': 'Point', 'coordinates': [7.72801000000004, 44.128540000000044]}","Briga Alta, Piemonte",POINT
Comune,Brondello,"Brondello, Cuneo","{'type': 'Point', 'coordinates': [7.4064200000000255, 44.60134000000005]}","Brondello, Piemonte",POINT
Comune,Brossasco,"Brossasco, Cuneo","{'type': 'Point', 'coordinates': [7.363340000000051, 44.569630000000075]}","Brossasco, Piemonte",POINT
Comune,Busca,"Busca, Cuneo","{'type': 'Point', 'coordinates': [7.472780000000057, 44.516410000000064]}","Busca, Piemonte",POINT
Comune,Busca (municipio di Valmala),"Valmala, Busca, Cuneo","{'type': 'Point', 'coordinates': [7.345940000000041, 44.54475000000008]}","Busca (municipio di Valmala), Piemonte",POINT
Comune,Canosio,"Canosio, Cuneo","{'type': 'Point', 'coordinates': [7.081790000000069, 44.45521000000008]}","Canosio, Piemonte",POINT
Comune,Caprauna,"Caprauna, Cuneo","{'type': 'Point', 'coordinates': [7.956010000000049, 44.11734000000007]}","Caprauna, Piemonte",POINT
Comune,Caraglio,"Caraglio, Cuneo","{'type': 'Point', 'coordinates': [7.4315200000000345, 44.421730000000025]}","Caraglio, Piemonte",POINT
Comune,Caramagna Piemonte,"Caramagna Piemonte, Cuneo","{'type': 'Point', 'coordinates': [7.73771000000005, 44.78046000000006]}","Caramagna Piemonte, Piemonte",POINT
Comune,Cartignano,"Cartignano, Cuneo","{'type': 'Point', 'coordinates': [7.287490000000048, 44.47766000000007]}","Cartignano, Piemonte",POINT
Comune,Casalgrasso,"Casalgrasso, Cuneo","{'type': 'Point', 'coordinates': [7.626830000000041, 44.82006000000007]}","Casalgrasso, Piemonte",POINT
Comune,Castelletto Stura,"Castelletto Stura, Cuneo","{'type': 'Point', 'coordinates': [7.641980000000046, 44.44541000000004]}","Castelletto Stura, Piemonte",POINT
Comune,Castelmagno,"Castelmagno, Cuneo","{'type': 'Point', 'coordinates': [7.21207000000004, 44.40966000000003]}","Castelmagno, Piemonte",POINT
Comune,Celle Macra,"Celle di Macra, Cuneo","{'type': 'Point', 'coordinates': [7.17864000000003, 44.48386000000005]}","Celle Macra, Piemonte",POINT
Comune,Centallo,"Centallo, Cuneo","{'type': 'Point', 'coordinates': [7.588110000000029, 44.50688000000008]}","Centallo, Piemonte",POINT
Comune,Cervasca,"Cervasca, Cuneo","{'type': 'Point', 'coordinates': [7.466890000000035, 44.38408000000004]}","Cervasca, Piemonte",POINT
Comune,Ceva,"Ceva, Cuneo","{'type': 'Point', 'coordinates': [8.035360000000026, 44.38716000000005]}","Ceva, Piemonte",POINT
Comune,Chiusa Pesio,"Chiusa di Pesio, Cuneo","{'type': 'Point', 'coordinates': [7.673770000000047, 44.32576000000006]}","Chiusa Pesio, Piemonte",POINT
Comune,Costigliole Saluzzo,"Costigliole Saluzzo, Cuneo","{'type': 'Point', 'coordinates': [7.486900000000048, 44.56558000000007]}","Costigliole Saluzzo, Piemonte",POINT
Comune,Crissolo,"Crissolo, Cuneo","{'type': 'Point', 'coordinates': [7.156090000000063, 44.699380000000076]}","Crissolo, Piemonte",POINT
Comune,Cuneo,Cuneo,"{'type': 'Point', 'coordinates': [7.548330000000021, 44.38822000000005]}","Cuneo, Piemonte",POINT
Comune,Demonte,"Demonte, Cuneo","{'type': 'Point', 'coordinates': [7.298350000000028, 44.315060000000074]}","Demonte, Piemonte",POINT
Comune,Dronero,"Dronero, Cuneo","{'type': 'Point', 'coordinates': [7.365900000000067, 44.46541000000008]}","Dronero, Piemonte",POINT
Comune,Elva,"Elva, Cuneo","{'type': 'Point', 'coordinates': [7.089270000000056, 44.54146000000003]}","Elva, Piemonte",POINT
Comune,Entracque,"Entracque, Cuneo","{'type': 'Point', 'coordinates': [7.400880000000029, 44.24148000000008]}","Entracque, Piemonte",POINT
Comune,Envie,"Envie, Cuneo","{'type': 'Point', 'coordinates': [7.3709400000000755, 44.68453000000005]}","Envie, Piemonte",POINT
Comune,Faule,"Faule, Cuneo","{'type': 'Point', 'coordinates': [7.580910000000074, 44.80645000000004]}","Faule, Piemonte",POINT
Comune,Frabosa Sottana,"Frabosa Sottana, Cuneo","{'type': 'Point', 'coordinates': [7.799980000000062, 44.30284000000006]}","Frabosa Sottana, Piemonte",POINT
Comune,Frassino,"Frassino, Cuneo","{'type': 'Point', 'coordinates': [7.278670000000034, 44.57176000000004]}","Frassino, Piemonte",POINT
Comune,Gaiola,"Gaiola, Cuneo","{'type': 'Point', 'coordinates': [7.408190000000047, 44.33465000000007]}","Gaiola, Piemonte",POINT
Comune,Gambasca,"Gambasca, Cuneo","{'type': 'Point', 'coordinates': [7.348500000000058, 44.629860000000065]}","Gambasca, Piemonte",POINT
Comune,Garessio,"Garessio, Cuneo","{'type': 'Point', 'coordinates': [8.014620000000036, 44.20518000000004]}","Garessio, Piemonte",POINT
Comune,Isasca,"Isasca, Cuneo","{'type': 'Point', 'coordinates': [7.381560000000036, 44.58656000000008]}","Isasca, Piemonte",POINT
Comune,Lagnasco,"Lagnasco, Cuneo","{'type': 'Point', 'coordinates': [7.5566800000000285, 44.627560000000074]}","Lagnasco, Piemonte",POINT
Comune,Lesegno,"Lesegno, Cuneo","{'type': 'Point', 'coordinates': [7.969490000000064, 44.40179000000006]}","Lesegno, Piemonte",POINT
Comune,Limone Piemonte,"Limone Piemonte, Cuneo","{'type': 'Point', 'coordinates': [7.574710000000039, 44.20468000000005]}","Limone Piemonte, Piemonte",POINT
Comune,Macra,"Macra, Cuneo","{'type': 'Point', 'coordinates': [7.17933000000005, 44.50080000000003]}","Macra, Piemonte",POINT
