alias_city,alias_address,georeferencingString,type
Aisone,Comune,"Aisone, Piemonte",POINT
Alto,Comune,"Alto, Piemonte",POINT
Argentera,Comune,"Argentera, Piemonte",POINT
Bagnasco,Comune,"Bagnasco, Piemonte",POINT
Beinette,Comune,"Beinette, Piemonte",POINT
Bellino,Comune,"Bellino, Piemonte",POINT
Bernezzo,Comune,"Bernezzo, Piemonte",POINT
Borgo San Dalmazzo,Comune,"Borgo San Dalmazzo, Piemonte",POINT
Boves,Comune,"Boves, Piemonte",POINT
Briga Alta,Comune,"Briga Alta, Piemonte",POINT
Brondello,Comune,"Brondello, Piemonte",POINT
Brossasco,Comune,"Brossasco, Piemonte",POINT
Busca,Comune,"Busca, Piemonte",POINT
Busca (municipio di Valmala),Comune,"Busca (municipio di Valmala), Piemonte",POINT
Canosio,Comune,"Canosio, Piemonte",POINT
Caprauna,Comune,"Caprauna, Piemonte",POINT
Caraglio,Comune,"Caraglio, Piemonte",POINT
Caramagna Piemonte,Comune,"Caramagna Piemonte, Piemonte",POINT
Cartignano,Comune,"Cartignano, Piemonte",POINT
Casalgrasso,Comune,"Casalgrasso, Piemonte",POINT
Castelletto Stura,Comune,"Castelletto Stura, Piemonte",POINT
Castelmagno,Comune,"Castelmagno, Piemonte",POINT
Celle Macra,Comune,"Celle Macra, Piemonte",POINT
Centallo,Comune,"Centallo, Piemonte",POINT
Cervasca,Comune,"Cervasca, Piemonte",POINT
Ceva,Comune,"Ceva, Piemonte",POINT
Chiusa Pesio,Comune,"Chiusa Pesio, Piemonte",POINT
Costigliole Saluzzo,Comune,"Costigliole Saluzzo, Piemonte",POINT
Crissolo,Comune,"Crissolo, Piemonte",POINT
Cuneo,Comune,"Cuneo, Piemonte",POINT
Demonte,Comune,"Demonte, Piemonte",POINT
Dronero,Comune,"Dronero, Piemonte",POINT
Elva,Comune,"Elva, Piemonte",POINT
Entracque,Comune,"Entracque, Piemonte",POINT
Envie,Comune,"Envie, Piemonte",POINT
Faule,Comune,"Faule, Piemonte",POINT
Frabosa Sottana,Comune,"Frabosa Sottana, Piemonte",POINT
Frassino,Comune,"Frassino, Piemonte",POINT
Gaiola,Comune,"Gaiola, Piemonte",POINT
Gambasca,Comune,"Gambasca, Piemonte",POINT
Garessio,Comune,"Garessio, Piemonte",POINT
Isasca,Comune,"Isasca, Piemonte",POINT
Lagnasco,Comune,"Lagnasco, Piemonte",POINT
Lesegno,Comune,"Lesegno, Piemonte",POINT
Limone Piemonte,Comune,"Limone Piemonte, Piemonte",POINT
Macra,Comune,"Macra, Piemonte",POINT
Magliano Alpi,Comune,"Magliano Alpi, Piemonte",POINT
Manta,Comune,"Manta, Piemonte",POINT
Margarita,Comune,"Margarita, Piemonte",POINT
