alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Albera,<0.01,<0.5,190,60,<0.2,2,320,01/07/2019,16,<1,4,5,3,<0.01,7-8,0.5,180,<0.5,8
Comune,Alluvioni Piovera,<0.01,2,370,170,<0.2,115,1000,01/07/2019,50,<1,25,<1,10,<0.01,7,2,650,45,55
Comune,Alzano Scrivia,0.02,0.78,265,91,<0.2,34,630,01/07/2019,30,<1,18,<1,<0.2,<0.01,7-8,2.5,380,15.1,66
Comune,Arquata Scrivia,<0.01,0.7,230,60,<0.2,16,500,01/07/2019,22,<1,16,4,2,<0.01,7-8,2,250,10,19
Comune,Avolasca,<0.01,<0.5,150-200,40-60,<0.2,2-5,250-350,01/07/2019,15-20,<1,4-6,4-6,0.5-3,<0.01,7-8,0.5-0.7,150-200,1-5,5-15
Comune,Basaluzzo,<0.01,0.8,280,90,<0.2,12,550,01/07/2019,26,<1,15,<1,16,<0.01,7-8,0.8,330,10,22
Comune,Berzano,<0.01,<0.5,210,60,<0.2,2,350,01/07/2019,20,<1,4,<1,1,<0.01,7-8,0.5,200,<0.5,8
Comune,Borghetto di Borbera,<0.01,<0.5,150-200,40-60,<0.2,2-5,250-350,01/07/2019,15-20,<1,4-6,4-6,0.5-3,<0.01,7-8,0.5-0.7,150-200,1-5,5-15
Comune,Bosco Marengo,<0.01,0.6,270,98,<0.2,21,600,01/07/2019,31,<1,14,<1,40,<0.01,7-8,1.15,370,9,27
Comune,Brignano,<0.01,0.5,250,70,<0.2,10,500,01/07/2019,20-25,<1,16,<1,2,<0.01,7-8,2.5,300,15,55
Comune,Cabella,<0.01,<0.5,190,60,<0.2,2,320,01/07/2019,16,<1,4,5,3,<0.01,7-8,0.5,180,<0.5,8
Comune,Cantalupo,<0.01,<0.5,190,60,<0.2,2,320,01/01/2019,16,<1,4,5,3,<0.01,7-8,0.5,180,<0.5,8
Comune,Capriata D’Orba,<0.01,0.9,190,100,<0.2,70,710,01/07/2019,35,<1,45,2,16,<0.01,7-8,2,430,13,35
Comune,Carbonara Scrivia,<0.01,1.34,253,95,<0.2,114,880,01/01/2019,30,<1,14,<1,3.2,<0.01,7-8,3.3,498,15,65
Comune,Carezzano,<0.01,<0.5,150-200,40-60,<0.2,2-5,250-350,01/07/2019,15-20,<1,4-6,4-6,0.5-3,<0.01,7-8,0.5-0.7,150-200,1-5,5-15
Comune,Casasco,<0.01,<0.5,210,60,<0.2,2,350,01/07/2019,20,<1,4,<1,1,<0.01,7-8,0.5,200,<0.5,8
Comune,Cassano Spinola,<0.05,0.3,397,111,<0.2,133,1444.5,01/07/2019,35,0.37,18,<5,7.3,<0.01,7.45,7.3,511,168,136
Comune,Castellania,<0.01,<0.5,150-200,40-60,<0.2,2-5,250-350,01/07/2019,15-20,<1,4-6,4-6,0.5-3,<0.01,7-8,0.5-0.7,150-200,1-5,5-15
Comune,Castellar Guidobono,<0.01,0.69,414,99,<0.2,10.8,870,01/07/2019,47,<1,28,<1,45,<0.01,7-8,2.3,580,17,106
Comune,Castellazzo Bormida,<0.02,1,230,50,<0.2,35,530,01/07/2019,26-28,<0.1,45,5,36,<0.01,7-8,0.8,360,12,45
Comune,Castelletto D’Orba,<0.01,<0.5,115,10,<0.2,4,198,01/07/2019,10,<1,18,<5,3,<0.01,7-8,0.5,120,4,7
Comune,Castelnuovo,<0.01,<0.5,265-327,90-130,<0.2,45-65,600-800,01/07/2019,30-40,<1,12-17,<1,14,<0.01,7-8,2-3,300-400,30-40,50-70
Comune,Cerreto Grue,<0.01,<1,350,100,<0.2,20,600,01/01/2019,35,<1,25,<5,3,<0.01,7-8,<3,400,20,50
Comune,Dernice,<0.01,<0.5,210,60,<0.2,2,350,01/07/2019,20,<1,4,<1,1,<0.01,7-8,0.5,200,<0.5,8
