alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,Cantalupo,"Cantalupo Ligure, AL","{'type': 'Point', 'coordinates': [9.045520000000067, 44.718470000000025]}","Cantalupo ligure, AL, Piemonte",POINT
Comune,Castelnuovo,"Castelnuovo Scrivia, AL","{'type': 'Point', 'coordinates': [8.885250000000042, 44.98033000000004]}","Castelnuovo Scrivia, AL, Piemonte",POINT
Comune,Rocchetta,"Rocchetta, Pontestura, AL","{'type': 'Point', 'coordinates': [8.302910000000054, 45.13719000000003]}","Rocchetta, AL, Piemonte",POINT
Comune,Serravalle,"Serravalle Scrivia, AL","{'type': 'Point', 'coordinates': [8.85686000000004, 44.72426000000007]}","Serravalle Scrivia, AL, Piemonte",POINT
Comune,Volpedo,"Volpedo, AL","{'type': 'Point', 'coordinates': [8.984250000000031, 44.88943000000006]}","Volpedo, AL, Piemonte",POINT
Comune,Berzano,"Berzano di Tortona, AL","{'type': 'Point', 'coordinates': [8.950480000000027, 44.876220000000046]}","Berzano di Tortona, AL, Piemonte",POINT
Comune,Cabella,"Cabella Ligure, AL","{'type': 'Point', 'coordinates': [9.093950000000063, 44.67431000000005]}","Cabella Ligure, AL, Piemonte",POINT
Comune,Isola S.Antonio,"Isola Sant'Antonio, AL","{'type': 'Point', 'coordinates': [8.850140000000067, 45.03063000000003]}","Isola Sant'Antonio, AL, Piemonte",POINT
Comune,Albera,"Albera Ligure, AL","{'type': 'Point', 'coordinates': [9.066050000000075, 44.70226000000008]}","Albera Ligure, AL, Piemonte",POINT
Comune,Fabbrica Curone,"Fabbrica Curone, AL","{'type': 'Point', 'coordinates': [9.147710000000075, 44.78467000000006]}","Fabbrica Curone, AL, Piemonte",POINT
Comune,Alluvioni Piovera,"Alluvioni Piovera, AL","{'type': 'Point', 'coordinates': [8.792680000000075, 45.00039000000004]}","Alluvioni Piovera, AL, Piemonte",POINT
Comune,Alzano Scrivia,"Alzano Scrivia, AL","{'type': 'Point', 'coordinates': [8.88450000000006, 45.018230000000074]}","Alzano Scrivia, AL, Piemonte",POINT
Comune,Arquata Scrivia,"Arquata Scrivia, AL","{'type': 'Point', 'coordinates': [8.889610000000062, 44.68560000000008]}","Arquata Scrivia, AL, Piemonte",POINT
Comune,Avolasca,"Avolasca, AL","{'type': 'Point', 'coordinates': [8.965020000000038, 44.80427000000003]}","Avolasca, AL, Piemonte",POINT
Comune,Basaluzzo,"Basaluzzo, AL","{'type': 'Point', 'coordinates': [8.70560000000006, 44.76642000000004]}","Basaluzzo, AL, Piemonte",POINT
Comune,Borghetto di Borbera,"Borghetto di Borbera, AL","{'type': 'Point', 'coordinates': [8.95121000000006, 44.730620000000044]}","Borghetto di Borbera, AL, Piemonte",POINT
Comune,Bosco Marengo,"Bosco Marengo, AL","{'type': 'Point', 'coordinates': [8.680250000000058, 44.82275000000004]}","Bosco Marengo, AL, Piemonte",POINT
Comune,Brignano,"Brignano, Brignano-Frascata, AL","{'type': 'Point', 'coordinates': [9.04018000000002, 44.81479000000007]}","Brignano, AL, Piemonte",POINT
Comune,Capriata D’Orba,"Capriata d'Orba, AL","{'type': 'Point', 'coordinates': [8.686920000000043, 44.73396000000008]}","Capriata D’Orba, AL, Piemonte",POINT
