alias_city,alias_address,georeferencingString,type
Albera,Comune,"Albera, AL, Piemonte",POINT
Alluvioni Piovera,Comune,"Alluvioni Piovera, AL, Piemonte",POINT
Alzano Scrivia,Comune,"Alzano Scrivia, AL, Piemonte",POINT
Arquata Scrivia,Comune,"Arquata Scrivia, AL, Piemonte",POINT
Avolasca,Comune,"Avolasca, AL, Piemonte",POINT
Basaluzzo,Comune,"Basaluzzo, AL, Piemonte",POINT
Berzano,Comune,"Berzano, AL, Piemonte",POINT
Borghetto di Borbera,Comune,"Borghetto di Borbera, AL, Piemonte",POINT
Bosco Marengo,Comune,"Bosco Marengo, AL, Piemonte",POINT
Brignano,Comune,"Brignano, AL, Piemonte",POINT
Cabella,Comune,"Cabella, AL, Piemonte",POINT
Cantalupo,Comune,"Cantalupo, AL, Piemonte",POINT
Capriata D’Orba,Comune,"Capriata D’Orba, AL, Piemonte",POINT
Carbonara Scrivia,Comune,"Carbonara Scrivia, AL, Piemonte",POINT
Carezzano,Comune,"Carezzano, AL, Piemonte",POINT
Casasco,Comune,"Casasco, AL, Piemonte",POINT
Cassano Spinola,Comune,"Cassano Spinola, AL, Piemonte",POINT
Castellania,Comune,"Castellania, AL, Piemonte",POINT
Castellar Guidobono,Comune,"Castellar Guidobono, AL, Piemonte",POINT
Castellazzo Bormida,Comune,"Castellazzo Bormida, AL, Piemonte",POINT
Castelletto D’Orba,Comune,"Castelletto D’Orba, AL, Piemonte",POINT
Castelnuovo,Comune,"Castelnuovo, AL, Piemonte",POINT
Cerreto Grue,Comune,"Cerreto Grue, AL, Piemonte",POINT
Dernice,Comune,"Dernice, AL, Piemonte",POINT
Fabbrica Curone,Comune,"Fabbrica Curone, AL, Piemonte",POINT
Fraconalto,Comune,"Fraconalto, AL, Piemonte",POINT
Francavilla Bisio,Comune,"Francavilla Bisio, AL, Piemonte",POINT
Frugarolo,Comune,"Frugarolo, AL, Piemonte",POINT
Garbagna,Comune,"Garbagna, AL, Piemonte",POINT
Gavazzana,Comune,"Gavazzana, AL, Piemonte",POINT
Gavi,Comune,"Gavi, AL, Piemonte",POINT
Gremiasco,Comune,"Gremiasco, AL, Piemonte",POINT
Grondona,Comune,"Grondona, AL, Piemonte",POINT
Guazzora,Comune,"Guazzora, AL, Piemonte",POINT
Isola S.Antonio,Comune,"Isola S.Antonio, AL, Piemonte",POINT
Masio,Comune,"Masio, AL, Piemonte",POINT
Molino dei Torti,Comune,"Molino dei Torti, AL, Piemonte",POINT
Momperone,Comune,"Momperone, AL, Piemonte",POINT
Monleale,Comune,"Monleale, AL, Piemonte",POINT
Montacuto,Comune,"Montacuto, AL, Piemonte",POINT
Montemarzino,Comune,"Montemarzino, AL, Piemonte",POINT
Novi Ligure,Comune,"Novi Ligure, AL, Piemonte",POINT
Ovada,Comune,"Ovada, AL, Piemonte",POINT
Paderna,Comune,"Paderna, AL, Piemonte",POINT
Parodi Ligure,Comune,"Parodi Ligure, AL, Piemonte",POINT
Pasturana,Comune,"Pasturana, AL, Piemonte",POINT
Pontecurone,Comune,"Pontecurone, AL, Piemonte",POINT
Pozzol Groppo,Comune,"Pozzol Groppo, AL, Piemonte",POINT
Pozzolo Formigaro,Comune,"Pozzolo Formigaro, AL, Piemonte",POINT
Predosa,Comune,"Predosa, AL, Piemonte",POINT
Rivalta Bormida,Comune,"Rivalta Bormida, AL, Piemonte",POINT
Rocca Grimalda,Comune,"Rocca Grimalda, AL, Piemonte",POINT
Rocchetta,Comune,"Rocchetta, AL, Piemonte",POINT
San Cristoforo,Comune,"San Cristoforo, AL, Piemonte",POINT
Sant’Agata Fossili,Comune,"Sant’Agata Fossili, AL, Piemonte",POINT
Sarezzano,Comune,"Sarezzano, AL, Piemonte",POINT
Serravalle,Comune,"Serravalle, AL, Piemonte",POINT
Silvano D’Orba,Comune,"Silvano D’Orba, AL, Piemonte",POINT
Spineto Scrivia,Comune,"Spineto Scrivia, AL, Piemonte",POINT
Stazzano,Comune,"Stazzano, AL, Piemonte",POINT
Strevi,Comune,"Strevi, AL, Piemonte",POINT
Tassarolo,Comune,"Tassarolo, AL, Piemonte",POINT
Tortona,Comune,"Tortona, AL, Piemonte",POINT
Vignole Borbera,Comune,"Vignole Borbera, AL, Piemonte",POINT
Viguzzolo,Comune,"Viguzzolo, AL, Piemonte",POINT
Volpedo,Comune,"Volpedo, AL, Piemonte",POINT
