alias_city,alias_address,urlReport
Albera,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/albera/
Alluvioni Piovera,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/alluvioni-piovera/
Alzano Scrivia,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/alzano-scrivia/
Arquata Scrivia,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/arquata-scrivia/
Avolasca,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/avolasca/
Basaluzzo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/basaluzzo/
Berzano,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/berzano/
Borghetto di Borbera,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/borghetto-di-borbera/
Bosco Marengo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/bosco-marengo/
Brignano,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/brignano/
Cabella,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/cabella/
Cantalupo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/cantalupo/
Capriata D’Orba,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/capriata-dorba/
Carbonara Scrivia,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/carbonara-scrivia/
Carezzano,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/carezzano/
Casasco,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/casasco/
Cassano Spinola,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/cassano-spinola/
Castellania,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/castellania/
Castellar Guidobono,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/castellar-guidobono/
Castellazzo Bormida,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/castellazzo-bormida/
Castelletto D’Orba,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/castelletto-dorba/
Castelnuovo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/castelnuovo/
Cerreto Grue,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/cerreto-grue/
Dernice,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/dernice/
Fabbrica Curone,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/fabbrica-curone/
Fraconalto,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/fraconalto/
Francavilla Bisio,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/francavilla-bisio/
Frugarolo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/frugarolo/
Garbagna,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/garbagna/
Gavazzana,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/gavazzana/
Gavi,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/gavi/
Gremiasco,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/gremiasco/
Grondona,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/grondona/
Guazzora,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/guazzora/
Isola S.Antonio,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/isola-s-antonio/
Masio,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/masio/
Molino dei Torti,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/molino-dei-torti/
Momperone,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/momperone/
Monleale,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/monleale/
Montacuto,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/montacuto/
Montemarzino,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/montemarzino/
Novi Ligure,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/novi-ligure/
Ovada,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/ovada/
Paderna,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/paderna/
Parodi Ligure,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/parodi-ligure/
Pasturana,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/pasturana/
Pontecurone,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/pontecurone/
Pozzol Groppo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/pozzol-groppo/
Pozzolo Formigaro,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/pozzolo-formigaro/
Predosa,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/predosa/
Rivalta Bormida,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/rivalta-bormida/
Rocca Grimalda,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/rocca-grimalda/
Rocchetta,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/rocchetta/
San Cristoforo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/san-cristoforo/
Sant’Agata Fossili,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/santagata-fossili/
Sarezzano,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/sarezzano/
Serravalle,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/serravalle/
Silvano D’Orba,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/silvano-dorba/
Spineto Scrivia,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/spineto-scrivia/
Stazzano,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/stazzano/
Strevi,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/strevi/
Tassarolo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/tassarolo/
Tortona,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/tortona/
Vignole Borbera,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/vignole-borbera/
Viguzzolo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/viguzzolo/
Volpedo,Comune,https://www.gestioneacqua.it/servizi/qualita-dellacqua/volpedo/
