alias_address,alias_city,cloruro,data_report,durezza,fluoruri,nitrato,ph,residuo_fisso,sodio
Comune,Beura,<1,/2016/08/01,4,<0.2,6,7.1,<125,<2
Comune,Bognanco,<1,/2016/08/01,4,<0.2,6,7.5,<125,2
Comune,Craveggia,<1,/2016/08/01,0,<0.2,6,6.8,<125,2
Comune,Crevoladossola,<1,/2016/08/01,3,<0.2,7,7.3,<125,<2
Comune,Crodo,<1,/2016/08/01,4,<0.2,<6,7.2,<125,<2
Comune,Domodossola,<1,/2016/08/01,9,<0.2,6,7.3,<125,3
Comune,Malesco,<1,/2016/08/01,1,<0.2,6,7.1,<125,<2
Comune,Masera,<1,/2016/08/01,4,<0.2,7,7.7,<125,<2
Comune,Montecrestese,<1,/2016/08/01,10,<0.2,8,7.6,<125,3
Comune,Premia,<1,/2016/08/01,5,<0.2,6,7.3,<125,<2
Comune,Re,<1,/2016/08/01,2,<0.2,7,7.4,<125,<2
Comune,S.Maria Maggiore,<1,/2016/08/01,0,<0.2,<6,7,<125,<2
Comune,Toceno,<1,/2016/08/01,1,<0.2,<6,6.8,<125,<2
Comune,Trontano,<1,/2016/08/01,1,<0.2,6,6.8,<125,<2
Comune,Varzo,<1,/2016/08/01,6,<0.2,<6,7.6,<125,<2
Comune,Villette,<1,/2016/08/01,5,<0.2,7,7.4,<125,<2
