alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,ALA DI STURA,"Ala di Stura, Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.305909, 45.31515]}","ALA DI STURA, Piemonte, Italia",POINT
Comune,BALANGERO,"Balangero,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.5202821, 45.2753229]}","BALANGERO, Piemonte, Italia",POINT
Comune,BALME,"Balme,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.2154316, 45.3025045]}","BALME, Piemonte, Italia",POINT
Comune,CAFASSE,"Cafasse,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.5172354, 45.2459605]}","CAFASSE, Piemonte, Italia",POINT
Comune,CANTOIRA,"Cantoira,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.3801242, 45.3433486]}","CANTOIRA, Piemonte, Italia",POINT
Comune,CERES,"Ceres,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.3896883, 45.3133772]}","CERES, Piemonte, Italia",POINT
Comune,CHIALAMBERTO,"Chialamberto,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.3414713, 45.3636694]}","CHIALAMBERTO, Piemonte, Italia",POINT
Comune,COASSOLO TORINESE,"Coassolo Torinese,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.4604581, 45.2975828]}","COASSOLO TORINESE, Piemonte, Italia",POINT
Comune,CORIO,"Corio,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.5320874, 45.3134988]}","CORIO, Piemonte, Italia",POINT
Comune,FIANO,"Fiano,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.5226852, 45.2168706]}","FIANO, Piemonte, Italia",POINT
Comune,GERMAGNANO,"Germagnano,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.4694832, 45.2638716]}","GERMAGNANO, Piemonte, Italia",POINT
Comune,GIVOLETTO,"Givoletto,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.496416, 45.162248]}","GIVOLETTO, Piemonte, Italia",POINT
Comune,LA CASSA,"La Cassa,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.516316, 45.180348]}","LA CASSA, Piemonte, Italia",POINT
Comune,LANZO TORINESE,"Lanzo Torinese,  Ceronda e Casternone, Torino, Piemonte, 10074, Italia","{'type': 'Point', 'coordinates': [7.4774108, 45.2733505]}","LANZO TORINESE, Piemonte, Italia",POINT
Comune,MEZZENILE,"Mezzenile,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.3944587, 45.2951292]}","MEZZENILE, Piemonte, Italia",POINT
Comune,MONASTERO DI LANZO,"Monastero di Lanzo,  Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.4396812, 45.3018726]}","MONASTERO DI LANZO, Piemonte, Italia",POINT
Comune,PESSINETTO,"Pessinetto, Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.4041615, 45.289093]}","PESSINETTO, Piemonte, Italia",POINT
Comune,VAL DELLA TORRE,"Val della Torre, Ceronda e Casternone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.445015, 45.155147]}","VAL DELLA TORRE, Piemonte, Italia",POINT
Comune,CIRCOSCRIZIONE 6 TORINO,"Strada Settimo, Circoscrizione 6, San Mauro Torinese, Torino, Piemonte, 10156, Italia","{'type': 'Point', 'coordinates': [7.7451,45.1227]}","Strada Settimo, Circoscrizione 6, San Mauro Torinese, Torino, Piemonte, 10156, Italia",POINT
Comune,SANT’ AMBROGIO DI TORINO,"Sant'Ambrogio di Torino, Torino, Piemonte, 10057, Italia","{'type': 'Point', 'coordinates': [7.362315, 45.099445]}","SANT’AMBROGIO DI TORINO, Piemonte, Italia",POINT
Comune,SANT’ ANTONINO DI SUSA,"Sant'Antonino di Susa, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.273613, 45.107044]}","SANT’ANTONINO DI SUSA, Piemonte, Italia",POINT
Comune,AGLIE’,"Agliè, Torino, Piemonte, 10011, Italia","{'type': 'Point', 'coordinates': [7.7687226, 45.3633748]}","AGLIE’, Piemonte, Italia",POINT
Comune,AIRASCA,"Airasca, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.484321, 44.917042]}","AIRASCA, Piemonte, Italia",POINT
Comune,ALBIANO D’IVREA,"Albiano d'Ivrea, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.950621, 45.432959]}","ALBIANO D’IVREA, Piemonte, Italia",POINT
Comune,ALMESE,"Almese, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.39455, 45.1168763]}","ALMESE, Piemonte, Italia",POINT
Comune,ALPETTE,"Alpette, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.578978, 45.408916]}","ALPETTE, Piemonte, Italia",POINT
Comune,ANDEZENO,"Andezeno, Torino, Piemonte, 10020, Italia","{'type': 'Point', 'coordinates': [7.870527, 45.037748]}","ANDEZENO, Piemonte, Italia",POINT
Comune,ANDRATE,"Andrate, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.880318, 45.52736]}","ANDRATE, Piemonte, Italia",POINT
Comune,ANGROGNA,"Angrogna, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.2238156, 44.8435821]}","ANGROGNA, Piemonte, Italia",POINT
Comune,ARIGNANO,"Arignano, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.9015941, 45.0402748]}","ARIGNANO, Piemonte, Italia",POINT
Comune,AVIGLIANA,"Avigliana, Torino, Piemonte, 10051, Italia","{'type': 'Point', 'coordinates': [7.398616, 45.077145]}","AVIGLIANA, Piemonte, Italia",POINT
Comune,BAIRO,"Bairo, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.7554467, 45.3865872]}","BAIRO, Piemonte, Italia",POINT
Comune,BALDISSERO CANAVESE,"Baldissero Canavese, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.744217, 45.410256]}","BALDISSERO CANAVESE, Piemonte, Italia",POINT
Comune,BALDISSERO TORINESE,"Baldissero Torinese, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.8165308, 45.0686356]}","BALDISSERO TORINESE, Piemonte, Italia",POINT
Comune,BANCHETTE,"Banchette, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.856318, 45.453558]}","BANCHETTE, Piemonte, Italia",POINT
Comune,BARBANIA,"Barbania, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.630317, 45.291252]}","BARBANIA, Piemonte, Italia",POINT
Comune,BARDONECCHIA,"Bardonecchia, Torino, Piemonte, 10052, Italia","{'type': 'Point', 'coordinates': [6.7127908, 45.0782514]}","BARDONECCHIA, Piemonte, Italia",POINT
Comune,BARONE CANAVESE,"Barone Canavese, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.8730627, 45.3255274]}","BARONE CANAVESE, Piemonte, Italia",POINT
Comune,BEINASCO,"Beinasco, Torino, Piemonte, 10092, Italia","{'type': 'Point', 'coordinates': [7.5793974, 45.022097]}","BEINASCO, Piemonte, Italia",POINT
Comune,BIBIANA,"Bibiana, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.288219, 44.798937]}","BIBIANA, Piemonte, Italia",POINT
Comune,BOBBIO PELLICE,"Bobbio Pellice, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.1167645, 44.8079522]}","BOBBIO PELLICE, Piemonte, Italia",POINT
Comune,BOLLENGO,"Bollengo, Torino, Piemonte, 10012, Italia","{'type': 'Point', 'coordinates': [7.94202, 45.470859]}","BOLLENGO, Piemonte, Italia",POINT
Comune,BORGARO TORINESE,"Borgaro Torinese, Torino, Piemonte, 10071, Italia","{'type': 'Point', 'coordinates': [7.6579731, 45.1521446]}","BORGARO TORINESE, Piemonte, Italia",POINT
Comune,BORGIALLO,"Borgiallo, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.668515, 45.417055]}","BORGIALLO, Piemonte, Italia",POINT
Comune,BORGOFRANCO D’IVREA,"Borgofranco d'Ivrea, Torino, Piemonte, 10013, Italia","{'type': 'Point', 'coordinates': [7.858017, 45.51286]}","BORGOFRANCO D’IVREA, Piemonte, Italia",POINT
Comune,BORGOMASINO,"Borgomasino, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.987523, 45.363257]}","BORGOMASINO, Piemonte, Italia",POINT
Comune,BORGONE SUSA,"Borgone di Susa, Via Mario Tacca, Borgone di Susa, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.2360913, 45.1233785]}","BORGONE SUSA, Piemonte, Italia",POINT
Comune,BOSCONERO,"Bosconero, Torino, Piemonte, 10090, Italia","{'type': 'Point', 'coordinates': [7.7618626, 45.2675134]}","BOSCONERO, Piemonte, Italia",POINT
Comune,BRANDIZZO,"Brandizzo, Torino, Piemonte, 10032, Italia","{'type': 'Point', 'coordinates': [7.8380043, 45.1766065]}","BRANDIZZO, Piemonte, Italia",POINT
Comune,BRICHERASIO,"Bricherasio, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.3052956, 44.8234086]}","BRICHERASIO, Piemonte, Italia",POINT
Comune,BROSSO,"Brosso, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.8032885, 45.4925019]}","BROSSO, Piemonte, Italia",POINT
Comune,BRUINO,"Bruino, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.4685506, 45.0211522]}","BRUINO, Piemonte, Italia",POINT
Comune,BURIASCO,"Buriasco, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.41032, 44.87364]}","BURIASCO, Piemonte, Italia",POINT
Comune,BUSANO,"Busano, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.6557322, 45.3294385]}","BUSANO, Piemonte, Italia",POINT
Comune,BUSSOLENO,"Bussoleno, Torino, Piemonte, 10053, Italia","{'type': 'Point', 'coordinates': [7.1447103, 45.1396795]}","BUSSOLENO, Piemonte, Italia",POINT
Comune,BUTTIGLIERA ALTA,"Buttigliera Alta, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.434488, 45.068804]}","BUTTIGLIERA ALTA, Piemonte, Italia",POINT
Comune,CALUSO,"Caluso, Torino, Piemonte, 10014, Italia","{'type': 'Point', 'coordinates': [7.895722, 45.304955]}","CALUSO, Piemonte, Italia",POINT
Comune,CAMBIANO,"Cambiano, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.772026, 44.968346]}","CAMBIANO, Piemonte, Italia",POINT
Comune,CAMPIGLIONE FENILE,"Campiglione-Fenile, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.322312759550277, 44.8045985]}","CAMPIGLIONE FENILE, Piemonte, Italia",POINT
Comune,CANDIA CANAVESE,"Candia Canavese, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.885121, 45.327755]}","CANDIA CANAVESE, Piemonte, Italia",POINT
Comune,CANDIOLO,"Candiolo, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.601722, 44.959244]}","CANDIOLO, Piemonte, Italia",POINT
Comune,CANISCHIO,"Canischio, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.5961265, 45.373987]}","CANISCHIO, Piemonte, Italia",POINT
Comune,CANTALUPA,"Cantalupa, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.330317, 44.945941]}","CANTALUPA, Piemonte, Italia",POINT
Comune,CAPRIE,"Caprie, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.331914, 45.118845]}","CAPRIE, Piemonte, Italia",POINT
Comune,CARAVINO,"Caravino, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.960322, 45.398258]}","CARAVINO, Piemonte, Italia",POINT
Comune,CAREMA,"Carema, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.8104064, 45.5833024]}","CAREMA, Piemonte, Italia",POINT
Comune,CARIGNANO,"Carignano, Torino, Piemonte, 10041, Italia","{'type': 'Point', 'coordinates': [7.673225, 44.906943]}","CARIGNANO, Piemonte, Italia",POINT
Comune,CARMAGNOLA,"Carmagnola, Torino, Piemonte, 10022, Italia","{'type': 'Point', 'coordinates': [7.7490214, 44.8502895]}","CARMAGNOLA, Piemonte, Italia",POINT
Comune,CASALBORGONE,"Casalborgone, Torino, Piemonte, Italia","{'type': 'Point', 'coordinates': [7.940426, 45.130451]}","CASALBORGONE, Piemonte, Italia",POINT
