alias_address,alias_city,ammoniaca,arsenico,bicarbonato,calcio,cloro_residuo,cloruro,conducibilita,data_report,durezza,fluoruri,magnesio,manganese,nitrato,nitrito,ph,potassio,residuo_fisso,sodio,solfato
Comune,Arborio,4.8,0.13,<0.1,<0.05,<1,1.7,9.8,2° semestre 2019,18.4,<0.05,1.7,,<5,,8.7,<1.0,195,134,11.4
Comune,Asigliano V.se,4.5,0.19,<0.1,<0.05,<1,1.4,9.4,2° semestre 2019,33.7,<0.05,1.5,,<5,,12.4,<1,258,152,8.2
Comune,Azeglio,37.4,0.07,<0.1,<0.05,34.5,1.6,20.9,2° semestre 2019,68.8,<0.05,14.5,,<5,,26.0,<1.0,481,221,7.1
Comune,Balocco,<1.0,0.05,<0.1,<0.05,<1.0,<1.0,9.5,2° semestre 2019,29.6,<0.05,2.7,,10,,11.4,<1.0,253,147,13.9
Comune,Borgosesia,13.2,0.09,<0.1,<0.05,4.9,1.4,3.5,2° semestre 2019,11.3,<0.05,3.4,,<5,,4.3,<1.0,109,39,4.3
Comune,Borriana,3.9,0.10,<0.1,0.08,4.4,1.2,2.7,2° semestre 2019,7.9,<0.05,6.2,,<5,,3.1,<1.0,89,40,5.9
Comune,Brusnengo,2.6,0.08,<0.1,0.05,1.8,<1,<1,2° semestre 2019,3.2,<0.05,1.2,,<5,,1.0,<1,34,23,2.0
Comune,Buronzo,3.8,0.06,<0.10,0.05,5.2,1.4,2.7,2° semestre 2019,9.2,<0.05,6.4,,<5,,3.5,<1.0,86,25,5.8
Comune,Caresanablot,2.0,0.17,<0.1,<0.05,<1,<1,5.3,2° semestre 2019,18.9,<0.05,1.4,,<5,,7.0,<1,162,95,7.4
Comune,Carisio,8.8,<0.05,<0.1,<0.05,9.7,<1.0,7.1,2° semestre 2019,9.3,<0.05,5.7,,<5,,5.3,<1.0,129,38,4.6
Comune,Carisio Crocicchio,3.7,0.12,<0.1,<0.05,5.4,1.3,2.6,2° semestre 2019,9.0,<0.05,7.4,,7,,3.3,<1.0,95,36,7.1
Comune,Castelletto Cervo,4.2,0.05,0.2,<0.05,<1,1.3,9.4,2° semestre 2019,21.5,<0.05,62.2,,10,,9.3,<1.0,441,143,64.3
Comune,Cerrione,3.7,0.08,<0.1,<0.05,5.1,1.2,2.0,2° semestre 2019,6.3,<0.05,6.0,,<5,,2.4,<0.1,82,37,5.2
Comune,Collobiano,3.7,<0.05,<0.1,<0.05,5.7,1.3,2.8,2° semestre 2019,9.4,<0.05,7.2,,11,,3.5,<1.0,96,42,7.2
Comune,Crescentino,22.0,0.07,<0.10,<0.05,7.3,1.2,10.6,2° semestre 2019,32.4,<0.05,2.6,,<5,,12.5,<1.0,261,122,6.4
Comune,Curino,2.8,0.16,<0.1,0.06,1.7,<1.0,1,2° semestre 2019,4.5,<0.05,2.6,,<5,,1.4,<1.0,44,23,3.7
Comune,Donato,2.9,0.13,<0.1,<0.05,2.1,<1,<1,2° semestre 2019,2.6,<0.05,1.3,,6,,1.2,<1.0,37,20,3.1
Comune,Fontanetto Po,6.3,0.07,<0.1,<0.05,<1,1.2,8.1,2° semestre 2019,29.6,<0.05,8.5,,<5,,10.8,<1.0,262,142,14.7
Comune,Formigliana,<1,<0.05,<0.10,<0.05,3.8,<1.0,10.9,2° semestre 2019,13.1,<0.05,1.5,,<5,,7.8,<1.0,168,97,7.3
Comune,Gattinara,6.2,0.06,0.6,<0.05,2.7,<1,6.6,2° semestre 2019,24.5,<0.05,101.2,,<5,,8.9,<1.0,442,98,62.6
Comune,Gifflenga,4.7,0.05,0.1,<0.05,<1,1.1,5.3,2° semestre 2019,13.4,<0.05,2.1,,<5,,5.6,<1.0,150,83,10.8
Comune,Graglia,2.4,0.14,<0.1,<0.05,1.6,<1,<1.0,2° semestre 2019,1.4,<0.05,<1,,<5,,<1.0,<1,18,13,1.2
Comune,Greggio,<1,0.05,<0.1,<0.05,<1,<1,10.1,2° semestre 2019,22.4,<0.05,1.7,,<5,,9.8,<1,214,144,11.6
Comune,Lignana,7.1,0.15,<0.1,<0.05,<1,1.9,11.6,2° semestre 2019,41.4,<0.05,1.8,,<5,,15.2,<1.0,303,173,8.0
Comune,Livorno Ferraris,18.3,<0.05,<0.1,<0.05,6.8,1.7,14.5,2° semestre 2019,35.7,<0.05,3.0,,<5,,15.0,<1.0,311,167,9.1
Comune,Lozzolo,2.9,0.09,<0.1,<0.05,1.8,<1,1.1,2° semestre 2019,4.0,<0.05,1.3,,<5,,1.4,<1.0,84,24,1.9
Comune,Massazza,3.8,0.15,0.1,<0.05,5.0,1.2,2.7,2° semestre 2019,8.2,<0.05,6.6,,<5,,3.2,<1.0,86,32,5.4
Comune,Masserano,4.7,0.06,<0.1,<0.05,6.6,<1,1.0,2° semestre 2019,4.1,<0.05,5.2,,<5,,1.4,<1.0,64,25,6.4
Comune,Mongrando,3.9,0.07,<0.1,0.06,4.6,1.1,2.5,2° semestre 2019,7.3,<0.05,6.1,,8,,2.9,<1.0,79,46,5.2
Comune,Mottalciata,4.3,0.12,<0.1,<0.05,4.2,1.1,2.7,2° semestre 2019,10.1,<0.05,5.4,,<5,,3.6,<1.0,97,54,6.0
Comune,Oldenico,<1,0.10,<0.1,<0.05,<1,<1,7.8,2° semestre 2019,21.2,<0.05,1.3,,<5,,8.6,<1.0,196,118,9.7
Comune,Piverone,23.7,0.08,<0.1,0.1,1.1,1.7,16.0,2° semestre 2019,34.6,<0.05,3.6,,<5,,15.3,1.0,301,155,7.8
Comune,Roasio,3.0,0.05,<0.1,<0.05,1.8,<1,1,2° semestre 2019,4.1,<0.05,1,,<5,,1.4,<1,36,23,1.9
Comune,Ronsecco,37.5,<0.05,<0.1,<0.05,5.8,1.6,20.9,2° semestre 2019,38.1,<0.05,7.6,,<5,,18.3,<1.0,353,166,5.3
Comune,Roppolo,27.4,0.14,<0.1,<0.05,3.1,2.0,22.5,2° semestre 2019,43.4,<0.05,4.6,,<5,,20.3,<1.0,409,216,5.9
Comune,Rovasenda,4.9,<0.05,0.8,<0.05,<1,1.7,9.1,2° semestre 2019,20.0,<0.05,121.9,,10,,8.8,<1.0,570,134,92.4
Comune,Sali V.se,8.4,0.11,0.1,<0.05,<1,1.8,12.2,2° semestre 2019,39.3,<0.05,2.5,,<5,,15.0,<1.0,255,178,7.5
Comune,Salussola,8.3,0.07,<0.1,<0.05,21.5,0.9,13.6,2° semestre 2019,13.8,<0.05,8.6,,<5,,9.1,<1.0,196,79,7.4
