alias_address,alias_city,geocode,geometry,georeferencingString,type
Comune,Arborio,"Arborio, Vercelli","{'type': 'Point', 'coordinates': [8.389200000000073, 45.49616000000003]}","Arborio, Piemonte",POINT
Comune,Asigliano V.se,"Asigliano Vercellese, Vercelli","{'type': 'Point', 'coordinates': [8.412670000000048, 45.26324000000005]}","Asigliano Vercellese, Piemonte",POINT
Comune,Azeglio,"Azeglio, Torino","{'type': 'Point', 'coordinates': [7.995640000000037, 45.42384000000004]}","Azeglio, Piemonte",POINT
Comune,Balocco,"Balocco, Vercelli","{'type': 'Point', 'coordinates': [8.280880000000025, 45.45548000000008]}","Balocco, Piemonte",POINT
Comune,Borgosesia,"Borgosesia, Vercelli","{'type': 'Point', 'coordinates': [8.273970000000077, 45.718000000000075]}","Borgosesia, Piemonte",POINT
Comune,Borriana,"Borriana, Biella","{'type': 'Point', 'coordinates': [8.038690000000031, 45.50882000000007]}","Borriana, Piemonte",POINT
Comune,Brusnengo,"Brusnengo, Biella","{'type': 'Point', 'coordinates': [8.25225000000006, 45.59423000000004]}","Brusnengo, Piemonte",POINT
Comune,Buronzo,"Buronzo, Vercelli","{'type': 'Point', 'coordinates': [8.271420000000035, 45.482480000000066]}","Buronzo, Piemonte",POINT
Comune,Caresanablot,"Caresanablot, Vercelli","{'type': 'Point', 'coordinates': [8.387260000000026, 45.35874000000007]}","Caresanablot, Piemonte",POINT
Comune,Carisio,"Carisio, Vercelli","{'type': 'Point', 'coordinates': [8.20028000000002, 45.411140000000046]}","Carisio, Piemonte",POINT
Comune,Carisio Crocicchio,"Carisio, Vercelli","{'type': 'Point', 'coordinates': [8.20028000000002, 45.411140000000046]}","Carisio Crocicchio, Piemonte",POINT
Comune,Castelletto Cervo,"Castelletto Cervo, Biella","{'type': 'Point', 'coordinates': [8.226810000000057, 45.51580000000007]}","Castelletto Cervo, Piemonte",POINT
Comune,Cerrione,"Cerrione, Biella","{'type': 'Point', 'coordinates': [8.06448000000006, 45.468300000000056]}","Cerrione, Piemonte",POINT
Comune,Collobiano,"Collobiano, Vercelli","{'type': 'Point', 'coordinates': [8.34764000000007, 45.39691000000005]}","Collobiano, Piemonte",POINT
Comune,Crescentino,"Crescentino, Vercelli","{'type': 'Point', 'coordinates': [8.101540000000057, 45.19046000000003]}","Crescentino, Piemonte",POINT
Comune,Curino,"Curino, Biella","{'type': 'Point', 'coordinates': [8.236110000000053, 45.627680000000055]}","Curino, Piemonte",POINT
Comune,Donato,"Donato, Biella","{'type': 'Point', 'coordinates': [7.9078700000000595, 45.528940000000034]}","Donato, Piemonte",POINT
Comune,Fontanetto Po,"Fontanetto Po, Vercelli","{'type': 'Point', 'coordinates': [8.192800000000034, 45.19425000000007]}","Fontanetto Po, Piemonte",POINT
Comune,Formigliana,"Formigliana, Vercelli","{'type': 'Point', 'coordinates': [8.285960000000046, 45.43046000000004]}","Formigliana, Piemonte",POINT
Comune,Gattinara,"Gattinara, Vercelli","{'type': 'Point', 'coordinates': [8.371800000000064, 45.62924000000004]}","Gattinara, Piemonte",POINT
Comune,Gifflenga,"Gifflenga, Biella","{'type': 'Point', 'coordinates': [8.229940000000056, 45.49414000000007]}","Gifflenga, Piemonte",POINT
Comune,Graglia,"Graglia, Biella","{'type': 'Point', 'coordinates': [7.981700000000046, 45.558610000000044]}","Graglia, Piemonte",POINT
Comune,Greggio,"Greggio, Vercelli","{'type': 'Point', 'coordinates': [8.385200000000054, 45.452360000000056]}","Greggio, Piemonte",POINT
Comune,Lignana,"Lignana, Vercelli","{'type': 'Point', 'coordinates': [8.346910000000037, 45.28698000000003]}","Lignana, Piemonte",POINT
Comune,Livorno Ferraris,"Livorno Ferraris, Vercelli","{'type': 'Point', 'coordinates': [8.080500000000029, 45.28083000000004]}","Livorno Ferraris, Piemonte",POINT
Comune,Lozzolo,"Lozzolo, Vercelli","{'type': 'Point', 'coordinates': [8.323410000000024, 45.62597000000005]}","Lozzolo, Piemonte",POINT
Comune,Massazza,"Massazza, Biella","{'type': 'Point', 'coordinates': [8.161670000000072, 45.49214000000006]}","Massazza, Piemonte",POINT
Comune,Masserano,"Masserano, Biella","{'type': 'Point', 'coordinates': [8.226460000000031, 45.59340000000003]}","Masserano, Piemonte",POINT
Comune,Mongrando,"Mongrando, Biella","{'type': 'Point', 'coordinates': [8.010470000000055, 45.52655000000004]}","Mongrando, Piemonte",POINT
Comune,Mottalciata,"Mottalciata, Biella","{'type': 'Point', 'coordinates': [8.207610000000045, 45.507430000000056]}","Mottalciata, Piemonte",POINT
Comune,Oldenico,"Oldenico, Vercelli","{'type': 'Point', 'coordinates': [8.37874000000005, 45.40330000000006]}","Oldenico, Piemonte",POINT
Comune,Piverone,"Piverone, Torino","{'type': 'Point', 'coordinates': [8.007370000000037, 45.44772000000006]}","Piverone, Piemonte",POINT
