alias_city,alias_address,georeferencingString,type
Arborio,Comune,"Arborio, Piemonte",POINT
Asigliano V.se,Comune,"Asigliano Vercellese, Piemonte",POINT
Azeglio,Comune,"Azeglio, Piemonte",POINT
Balocco,Comune,"Balocco, Piemonte",POINT
Borgosesia,Comune,"Borgosesia, Piemonte",POINT
Borriana,Comune,"Borriana, Piemonte",POINT
Brusnengo,Comune,"Brusnengo, Piemonte",POINT
Buronzo,Comune,"Buronzo, Piemonte",POINT
Caresanablot,Comune,"Caresanablot, Piemonte",POINT
Carisio,Comune,"Carisio, Piemonte",POINT
Carisio Crocicchio,Comune,"Carisio Crocicchio, Piemonte",POINT
Castelletto Cervo,Comune,"Castelletto Cervo, Piemonte",POINT
Cerrione,Comune,"Cerrione, Piemonte",POINT
Collobiano,Comune,"Collobiano, Piemonte",POINT
Crescentino,Comune,"Crescentino, Piemonte",POINT
Curino,Comune,"Curino, Piemonte",POINT
Donato,Comune,"Donato, Piemonte",POINT
Fontanetto Po,Comune,"Fontanetto Po, Piemonte",POINT
Formigliana,Comune,"Formigliana, Piemonte",POINT
Gattinara,Comune,"Gattinara, Piemonte",POINT
Gifflenga,Comune,"Gifflenga, Piemonte",POINT
Graglia,Comune,"Graglia, Piemonte",POINT
Greggio,Comune,"Greggio, Piemonte",POINT
Lignana,Comune,"Lignana, Piemonte",POINT
Livorno Ferraris,Comune,"Livorno Ferraris, Piemonte",POINT
Lozzolo,Comune,"Lozzolo, Piemonte",POINT
Massazza,Comune,"Massazza, Piemonte",POINT
Masserano,Comune,"Masserano, Piemonte",POINT
Mongrando,Comune,"Mongrando, Piemonte",POINT
Mottalciata,Comune,"Mottalciata, Piemonte",POINT
Oldenico,Comune,"Oldenico, Piemonte",POINT
Piverone,Comune,"Piverone, Piemonte",POINT
Roasio,Comune,"Roasio, Piemonte",POINT
Ronsecco,Comune,"Ronsecco, Piemonte",POINT
Roppolo,Comune,"Roppolo, Piemonte",POINT
Rovasenda,Comune,"Rovasenda, Piemonte",POINT
Sali V.se,Comune,"Sali Vercellese, Piemonte",POINT
Salussola,Comune,"Salussola, Piemonte",POINT
San Germano V.se,Comune,"San Germano Vercellese, Piemonte",POINT
San Giacomo V.se,Comune,"San Giacomo Vercellese, Piemonte",POINT
Sandigliano,Comune,"Sandigliano, Piemonte",POINT
Santhià,Comune,"Santhià, Piemonte",POINT
Sostegno,Comune,"Sostegno, Piemonte",POINT
Tricerro,Comune,"Tricerro, Piemonte",POINT
Vallanzengo,Comune,"Vallanzengo, Piemonte",POINT
Valle San Nicolao,Comune,"Valle San Nicolao, Piemonte",POINT
Villa del Bosco,Comune,"Villa del Bosco, Piemonte",POINT
Villanova B.se,Comune,"Villanova B.se, Piemonte",POINT
Villarboit,Comune,"Villarboit, Piemonte",POINT
Vinzaglio,Comune,"Vinzaglio, Piemonte",POINT
Viverone,Comune,"Viverone, Piemonte",POINT
